film,person,topic
Last Temptation of Christ,Martin Scorsese,
Legally Blonde,,Lawyers and the Legal Process
Let There Be Light,John Huston,
Lethal Weapon,,Action and Adventure
Life is Beautiful,Roberto Benigni,Jews in Film and TV
Little Big Man,Arthur Penn,Native Americans in the Movies
Little Women (Louisa May Alcott),Louisa May Alcott,Literature and Theater
Little Women (Louisa May Alcott),Louisa May Alcott;Gillian Armstrong,Literature and Theater
Lolita,Vladmir Nabokov,Literature and Theater
Lolita,Vladmir Nabokov;Adrian Lyne,Literature and Theater
Long Day's Journey Into Night,Eugene O'Neill,Literature and Theater
Long Day's Journey Into Night,Sidney Lumet,
Long Walk Hom,Richard Pearce,African Americans in Film
Lost Highway,David Lynch,
Lumumba,,African Cinema and African Cinematic Representation
Mad Men,,
Madame DuBarry;Passion,Ernst Lubitsch,
Man From Laramie,Anthony Mann,
Mansfield Park,Jane Austen,Literature and Theater
Matrix Trilogy,Andy Wachowski;Lana Wachowski,The Matrix Trilogy
Mean Streets,Martin Scorsese,
Menace II Society,Allen Hughes;Albert Hughes,African Americans in Film
Merry Widow,Ernst Lubitsch,
Misery,Stephen King,Literature and Theater
Moby Dick,John Huston,
Monster's Ball,Marc Forster,African Americans in Film
Mr. Johnson,,African Cinema and African Cinematic Representation
Mrs. Dalloway,Virginia Woolf,Literature and Theater
Mulholland Drive,David Lynch,
My Darling Clementine,John Ford,
Mystery Train,Jim Jarmusch,
Network,Sidney Lumet,
New Jack City,Mario Van Peebles,African Americans in Film
New York New York,Martin Scorsese,
New York Stories (Life Lessons),Martin Scorsese,
News From Home,Chantal Akerman,
Night on Earth,Jim Jarmusch,
Ninotchka,Ernst Lubitsch,
No Direction Home,Martin Scorsese,
One Survivor Remembers,Kary Antholis,Jewish Studies
Panther,Mario Van Peebles,African Americans in Film
Persuasion,Jane Austen,Literature and Theater
Pocahontas,Arthur Penn,Native Americans in the Movies
Portrait of Dorian Gray,Oscar Wilde,Literature and Theater
Powwow Highway,Jonathan Wacks,Native Americans in the Movies
Precious,Lee Daniels,African Americans in Film
Pride & Prejudice,Jane Austen,Literature and Theater
Pride & Prejudice,Jane Austen;Joe Wright;Keira Knightley;Matthew Macfadyen,Literature and Theater
Pride & Prejudice,Jane Austen;Andrew Davies;Collin Firth,Literature and Theater
Prizzi's Honor,John Huston,
Raging Bull,Martin Scorsese,
Railroaded,Anthony Mann,
Raw Deal,Anthony Mann,
Rio Grande,John Ford,
Rosewood,John Singleton,African Americans in Film
Saaraba: Utopia,,African Cinema and African Cinematic Representation
Salomé,Oscar Wilde,Literature and Theater
Sango Malo,,African Cinema and African Cinematic Representation
Sankofa,,African Cinema and African Cinematic Representation
Scarlet Letter,Nathaniel Hawthorn,Literature and Theater
Scarlet Letter,Nathaniel Hawthorn;Demi Moore,Literature and Theater
Sense & Sensibility,Jane Austen;Emma Thompson;Hugh Grant;Kate Winslet;Alan Rickman;Harriet Walker,Literature and Theater
Separate But Equal,George Stevens Jr.,African Americans in Film
Sergeant Rutledge,John Ford,
Seven Women,John Ford,
Shaft,Gordon Parks,African Americans in Film;Blaxploitation
Shaft,Gordon Parks,African Americans in Film; Blaxploitation
Shaka Zulu(TV),,African Cinema and African Cinematic Representation
Shattered Glass,Billy Ray,Journalists in the Movies
She Wore a Yellow Ribbon,John Ford,
Shutter Island,Martin Scorsese,
Smoke Signals,Chris Eyre,Native Americans in the Movies
So This Is Paris,Ernst Lubitsch,
Sons and Lovers,D.H. Lawrence,Literature and Theater
Sophie's Choice,Alan J. Pakula,Jews in Film and TV
Stagecoach,John Ford,
Straight Out of Brooklyn,Matty Rich,African Americans in Film
Stranger Than Paradise,Jim Jarmusch,
Sweet Sweetback's Baadasssss Song,Melvin Van Peebles,African Americans in Film;Blaxploitation
Taxi Driver,Martin Scorsese,
The African Queen,John Huston,
The Asphalt Jungle,John Huston,
The Aviator,Martin Scorsese,
The Black Press: Soldiers Without Swords,,African American Studies
The Color Purple,Alice Walker,Literature and Theater
The Crucible,Arthur Miller,Literature and Theater
The Dead,John Huston,
The Departed,Martin Scorsese,
The Dirty Dozen,Robert Aldrich,
The Eternal Jew (Der Ewige Jude),Fritz Hippler,Jews in Film and TV
The Fox,D.H. Lawrence,Literature and Theater
The Fuehrer Gives a City to the Jews (Fuehrer schenkt den Juden eine Stadt),Kurt Gerron;Adolf Hitler,Jewish Studies
The Fugitive Kind,Sidney Lumet,
The Furies,Anthony Mann,
The Goldbergs,,Jews in Film and TV
The Golem,Paul Wegener;Henrik Galeen,Jews in Film and TV
The Good Earth,Pearl S. Buck,Literature and Theater
The Grapes of Wrath,John Ford,
The Great Gatsby,F. Scott Fitzgerald,Literature and Theater
The Group,Sidney Lumet,
The Hours,Virginia Woolf,Literature and Theater
The Hurricane,John Ford,
The Informer,John Ford,
The Innocents,Henry James,Literature and Theater
The Jazz Singer,Alan Crosland;Gordon Hollingshead,Jews in Film and TV
The Killing of Sister George,Robert Aldrich,
The Last Waltz,Martin Scorsese,
The Little Girl Who Sold The Sun (La Petite Vendeuse de Soleil),,African Cinema and African Cinematic Representation
The Maltese Falcon,John Huston,
The Man Who Shot Liberty Valance,John Ford,
The Marx Brothers,Chico Marx;Harpo Marx;Groucho Marx;Zeppo Marx;Gummo Marx,Jews in Film and TV
The Misfits,John Huston,
The Naked Spur,Anthony Mann,
The New World,Terrence Malick,Native Americans in the Movies
The Night Porter,Liliana Cavani,Jews in Film and TV
The Oyster Princess,Ernst Lubitsch,
The Pawnbroker,Sidney Lumet,
The Quiet American,Graham Greene,Literature and Theater
The Quiet Man,John Ford,
The Reader,Stephen Daldry,Jews in Film and TV
The Red Badge of Courage,John Huston,
The Rocking Horse,D.H. Lawrence,Literature and Theater
The Searchers,John Ford,
The Smiling Lieutenant,Ernst Lubitsch,
The Specialist,Luis Llosa,Jewish Studies
The Straight Story,David Lynch,
The Thin Man,Dashiell Hammett,Literature and Theater
The Treasure of the Sierra Madre,John Huston,
The Trial,Franz Kafka;Harold Pinter,Literature and Theater
Things to Come,H.G. Wells,Literature and Theater
Thunderheart,Michael Apted,Native Americans in the Movies
T-Men,Anthony Mann,
To Be or Not To Be,Ernst Lubitsch,
To Kill a Mockingbird,,Lawyers and the Legal Process
To Sleep with Anger,Charles Burnett,African Americans in Film
Touki-Bouki,,African Cinema and African Cinematic Representation
Trouble in Paradise,Ernst Lubitsch,
Twelve Angry Men,Sidney Lumet,
Twin Peaks,David Lynch,
Under the Volcano,John Huston,
Vanya on 42nd Street,Anton Chekhov,Literature and Theater
Vera Cruz,Robert Aldrich,
Washington Square,Henry James,Literature and Theater
Wend Kuuni,,African Cinema and African Cinematic Representation
Whatever Happened to Baby Jane?,Robert Aldrich,
Where the Wild Things Are,Spike Jonze,
Who's Afraid of Virginia Woolf,Edward Albee,Literature and Theater
Wild at Heart,David Lynch,
Wilde,Oscar Wilde,Literature and Theater
Winchester '73,Anthony Mann,
Windtalkers,John Woo,Native Americans in the Movies
Wings of the Dove,Henry James,Literature and Theater
Wise Blood,John Huston,
Wizard of Oz,L. Frank Baum,Literature and Theater
Women in Love,D.H. Lawrence,Literature and Theater
Wuthering Heights,Charlotte Bronte;William Wyler,Literature and Theater
Xala,Ousmane Sembène,African Cinema and African Cinematic Representation
Xala,,African Cinema and African Cinematic Representation
Yeelen,,African Cinema and African Cinematic Representation
Yentl,Barbra Streisand,Jews in Film and TV
Young Mr. Lincoln,John Ford,
Zan Boko,,African Cinema and African Cinematic Representation
