"Source:","http://www.lib.berkeley.edu/MRC/transgressivewomen.html"
"

Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies
"The Flapper (1920)","Directed by Alan Crosland. Cast: Olive Thomas, Warren Cook, Theodore Westman, Jr., Katherine Johnston, Arthur Housman. The story of an innocent girl from the country who comes to a boarding school and enjoys the sophisticated life of a liberated women until she gets mixed up with some crooks and must do what's responsible. Issued with: Olive Thomas, everybody's sweetheart. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2016"">DVD X2016Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0011193/"">Credits and other information from the Internet Movie DatabaseЖ

See also:
â€¢149;Golden, Eve. ""Olive Thomas."" In: Golden images : 41 essays on silent film stars / by Eve Golden ; foreword by Bob King. Jefferson, N.C. : McFarland, c2001. (Main (Gardner) Stacks PN1998.2 .G65 2001; Moffitt PN1998.2 .G65 2001)

","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Her First Flame(1920)","Director: Bruno C. Becker. Cast: Gale Henry, Milburn Morante, Hap Ward, Phyllis Allen. It is the year 1950; women have taken over men's jobs and have become the aggressors in romantic situations. Lizzie Hap stuffs the ballot box, defeats her opponent, Minnie Fish, and is thereby elected Fire Chief of the all female fire department, and succeeds in winning the hand of her fair loved one, Willie Wart. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6825"">DVD X6825Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0248081/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Ich mochte kein Mann sein: A Comedy in Three Acts (I Don't Want to be a Man)(Germany, 1920)","Directed by Ernst Lubitsch. Ossi, a tomboy full of a fun-loving spirit, tired or being urged to behave like a ""proper young lady,"" heads to a local men's store and has herself fitted for an evening suit. Soon she's out on the streets in top hat, white tie, and tails, her hair groomed like a boy's, she rides the street car, and goes to a ballroom where she's soon drinking champagne and smoking cigars, flirting with (and even kissing) her own guardian. 45 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6815"">DVD 6815Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0010281/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Sex (1920)","Directed by Fred Niblo. Cast: Louise Glaum, William Conklin, Viola Barry, Myrtle Stedman, Irving Cummings. A cabaret star who uses her sex appeal to lure men, ruin marriages and then move on to better prospects, finds the tables turned when she gets married and her husband is seduced by another woman. Special features: ""Photo gallery of un-clad and under-clad stars from the silent era and into the early 1930s, including Louise Brooks, Clara Bow, Douglas Fairbanks, Mae Mest, and many more."" 81 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2017"">DVD X2017Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0011679/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Sappho (aka. Mad love) (1921)","Director, Dimitri Buchowetzky. Cast: Pola Negri, Johannes Riemann, Alfred Abel, Albert Steinrâ€¢252;ck. The engineer Georg de la Croix suffers a nervous breakdown due to the continuous unfaithfulness of his lover, Dame Sappho. Georg ends up in a lunatic asylum. His brother, Richard wants to avenge him but instead falls in love with the beautiful woman himself. 82 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4388"">DVD X4388Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0012645/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Salomâ€¢233; (1922)","Directed by Charles Bryant. Cast: Alla Nazimova, Mitchell Lewis, Nigel De Brulier, Rose Dione, Earl Schenck.Salome, the daughter of Herodias, seduces her step-father/uncle Herod, governor of Judea, with a salacious dance. In return, he promises her the head of the prophet John the Baptist. 74 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4955"">DVD 4955Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0013571/"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/litbib.html#salome"">Ж
","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Lady of the Night (1925)","Directed by Monta Bell. Cast: Norma Shearer, Malcolm McGregor, George K. Arthur, Dale Fuller. Handsome David Page is loved by two very different women: Molly, an overpainted and undereducated floozy, and Florence, a refined graduate of a finishing school. Since both lovelorn ladies are played by Norma Shearer, melodrama fans know they're in for double the romantic heartache. Shearer was on the cusp of stardom when she took these showy dual roles. She makes both women strong characters, but it's her Molly who stands out: blowzy, crude, aching with love and longing for class. 64 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5548"">DVD X5548Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0016005/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"My Lady of Whims(1925)","Director: Dallas M. Fitzerald. Cast: Clara Bow, Donald Keith, Carmelita Geraghty, Francis McDonald, Lee Moran. Prudence is actually a nice girl at heart, even though she's led her indulgent but worried Dad to believe she's kicking up her heels and living life to the full in Greenwich Village. So Dad hires a muscle man to track down his ""wayward"" daughter and see that she stays out of trouble. 44 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3189"">DVD X3189Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0017184/"">Credits and other information from the Internet Movie DatabaseЖ

See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/flapperbib.html#bow"">Clara Bow bibliographyЖ

","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Within the Law (1926)","Directed by Frank Lloyd. Cast: Norma Talmadge, Jack Mulhall, Joseph Kilgour, Helen Ferguson, Eileen Percy, Lew Cody.Follows a shopgirl who is unjustly accused of stealing and then sent to jail. She plots revenge against her former employer, using 'rich men's' legal tricks, yet staying 'within the law.' 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2921"">DVD X2921Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0014619/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
"Parisian Love (1925)","Directed by Louis J. Gasnier. Cast: Clara Bow, Donald Keith, Lillian Leighton, James Gordon Russell, Hazel Keener, Lou Tellegen, Jean De Briac, Otto Matiesen, Alyce Mills. Marie, a dancer in a seedy district of Paris, attempts to seduce the wealthy man who stole her lover in an elaborate scheme of revenge. 70 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1573"">DVD 1573Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0016201/"">Credits and other information from the Internet Movie DatabaseЖ","Vamps, Vixens, Femmes Fatales and Kick-ass Gurrrls: Transgressive Women in the Movies"
