"Source:","http://www.lib.berkeley.edu/MRC/disasterfilms.html"
"

Disaster Films


"
"Bibliography on this topic: ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/disasterbib.html"">Disaster film bibliographyЖ","Disaster Films"
"Armageddon (1998)","Directed by Michael Bay. Cast: Bruce Willis, Billy Bob Thornton, Liv Tyler, Ben Affleck, Will Patton, Peter Stormare, Keith David, Owen Wilson, William Fichtner, Eddie Griffin, Steve Buscemi. The U.S. government calls upon an oil-well driller and his colorful crew to save the world by flying to an asteroid that's on a collision course for earth and setting off a nuclear bomb to divert it. 151 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2655"">DVD X2655Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0120591/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Deutsch, James I. ""Gender Representations: As the World Ends: Traditional Gender Roles in Apocalyptic Science-Fiction Films of the Late 1990s."" Gender in Film & the Media, 2000, p39-45, 7p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=19365122&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Goldman, Stuart J. ""The science of Hollywood."" Sky and Telescope, June 1998, Vol. 95 Issue 6, p28-31, 4p Ѭ href=""hhttp://search.ebscohost.com/login.aspx?direct=true&db=brb&AN=503516463&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Persons, Mitch. ""Armageddon: The Dirty Dozen Meets Nasa in a Bruce Willis Meteor Disaster Epic"" Cinefantastique, Jul98, Vol. 30 Issue 3, p7-12, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=25740302&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149; Richards, Andy. ""Armageddon"" Sight & Sound, September 1998, Vol. 8 Issue 9, p36-38, 3p Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00100677"">Full-text of this article / review is available:UC users onlyЖ

","Disaster Films"
"Black Sunday (1976)","Directed by John Frankenheimer. Cast: Robert Shaw, Bruce Dern, Marthe Keller, Fritz Weaver, Bekim Fehmiu. A Black September terrorist group attempts to blow up a Goodyear blimp hovering over the Super Bowl stadium with 80,000 people and the President of the United States in attendance. 143 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5871"">DVD 5871Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0075765/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149; Engle, Gary D. ""John Frankenheimer. An Interview."" Film Criticism; Fall77, Vol. 2 Issue 1, p2-14, 13p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=31286079&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Semmerling, Tim Jon. ""Black Sunday: The Loss of Frontier Heroism (1976)."" In: ""Evil"" Arabs in American popular film : orientalist fear Austin : University of Texas Press, 2006. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10245793"">Full-text available onlineЖ [UC Berkeley users only]; Print: MAIN: PN1995.9.A68 S46 2006)

","Disaster Films"
"The China Syndrome (1979)","Directed by James Bridges. Cast: Jane Fonda, Jack Lemmon, Michael Douglas, Richard Herd, Peter Donat, Scott Brady. It started as just another assignment. Reporter Kimberly Wells and cameraman Richard Adams were covering the daily routine at an Los Angeles power plant when the unthinkable occurred: a nuclear accident that could have wiped out Southern California. And Richard caught it all on tape. When their TV station refuses to air the footage, Wells and Adams recruit plant supervisor Jack Godell to expose the terrifying truth: the facility is a ticking bomb. But with millions of dollars at stake, company officials cannot let the story break. When the trio attempts to broadcast live from the plant's control room, the utility company does everything in its power to silence Godell permanently, as the world watches. Special features: Two exclusive documentaries featuring new interviews with stars Jane Fonda and Michael Douglas ; deleted scenes ; filmographies ; previews. Associate producer, James Nelson ; executive producer, Bruce Gilbert. 122 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8912"">DVD 8912Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0078966/"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;British Academy of Film and Television Arts Awards - Best Actor (Jack Lemmon); Best Actress (Jane Fonda)
â€¢149;Cannes Film Festival - Best Actor (Jack Lemmon)



Ѭ href=""http://www.lib.berkeley.edu/MRC/disasterbib.html#chinasyndrome"">See separate bibliography of reviews and articles about this filmЖ","Disaster Films"
"The Day After Tomorrow (2004)","Directed by Roland Emmerich. Cast: Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok, Jay O. Sanders, Sela Ward, Austin Nichols, Arjay Smith, Tamlyn Tomita. When global warming triggers the onset of a new Ice Age, tornadoes flatten Los Angeles, a tidal wave engulfs New York City and the entire Northern Hemisphere begins to freeze solid. Now, climatologist Jack Hall, his son Sam, and a small band of survivors must ride out the growing superstorm and stay alive in the face of an enemy more powerful and relentless than anything anyone has ever encountered: Mother Nature. 123 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7478"">DVD 7478Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0319262/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/scifibib.html#aftertomorrow"">See separate bibliography of reviews and articles about this filmЖ","Disaster Films"
"DC 9/11: Time of Crisis (TV, 2003)","Directed by Brian Trenchard-Smith. Cast: Timothy Bottoms, John Cunningham, David Fonteno, Gregory Itzin, Penny Johnson Jerald, Stephen Macht, Mary Gordon Murray, Lawrence Pressman, Scott Alan Smith, George Takei. A drama telling the story of the days directly after the 9/11 attacks. Focuses on the difficult decisions and tasks faced by President George Bush and his staff on September 11, 2001 and the days following the attacks. Based on in-depth interviews and extensive research, the film recounts the tragic events from the moment Bush hears the news of the attacks to significant briefings with advisors. Chronicles national security meetings, links with Osama bin Laden and the al Qaeda network. Illustrates the Administrations strategy for responding both to the terrorists and the American people. 129 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6423"">DVD 6423Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0353042/"">Credits and other information from the Internet Movie DatabaseЖ
","Disaster Films"
"Deep Impact (1998)","Directed by Mimi Leder. Cast: Morgan Freeman, Tea Leoni, Robert Duvall, Maximilian Schell, Elijah Wood, Vanessa Redgrave, James Cromwell. 'Deep Impact' is the story of the world's reaction to a death sentence. As a comet approaches the earth which might not be destroyed or diverted before it reaches earth, each individual struggles in the face of extinction to find what most matters to him or her. Special features: Commentary with director Mimi Leder and visual effects supervisor, Scott Farrar, preparing for the end, making an impact, creating the perfect traffic jam, parting thoughts, photo gallery, trailer. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7662"">DVD 7662Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0120647/"">Credits and other information from the Internet Movie DatabaseЖ
","Disaster Films"
"Disaster Movie (2008)","Directed by Jason Friedberg & Aaron Seltzer. Cast: Matt Lanter, Vanessa Minnillo, Gary 'G Thang' Johnson, Nicole Parker, Crista Flanagan, Kimberly Kardashian, Ike Barinholtz, Carmen Electra. This parody of disaster films follows the comic misadventures of a group of ridiculously attractive twenty-somethings during one fateful night as they try to make their way to safety. All the while every known natural disaster and catastrophic event, including asteroids, tornadoes and earthquakes, all hit the city. As they strive to overcome the disasters in their path, they must solve a series of mysteries to end the rampant destruction. Special features: ""Girl fight"" ; ""High school muscial"" sing-along ; ""I'm f**king Matt Damon"" sing-along ; ""Sitting down with a stand-up"" ; Cast & crew audio commentary ; ""G-Thang's tour"" ; ""Straight from the ladies"" ; ""Who's spoofing who"" ; ""This is how we do it"" 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X841"">DVD X841Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt1213644/"">Credits and other information from the Internet Movie DatabaseЖ
","Disaster Films"
"Earthquake (1974)","Directed by Mark Robson. Cast: Charlton Heston, Ava Gardner, George Kennedy, Lorne Greene, Genevieve Bujold, Richard Roundtree, Walter Matthau. When the most catastrophic earthquake of all time rips through Southern California, it levels Los Angeles and sends shock waves through the lives of all who live there. 123 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X947"">DVD X947Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0071455/"">Credits and other information from the Internet Movie DatabaseЖ
","Disaster Films"
"The High and the Mighty (1954)","Directed by William A. Wellman. Cast: John Wayne, Claire Trevor, Laraine Day, Robert Stack, Jan Sterling. A commercial airliner develops engine trouble while flying over the Pacific Ocean. The pilot panics, so it is up to the washed-up co-pilot to get the plane down safely. Based on an Ernest K. Gann bestseller. 148 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1032"">DVD X1032Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0047086/"">Credits and other information from the Internet Movie DatabaseЖ
","Disaster Films"
"How It Feels to Be Run Over (UK, 1900)","Directed by Cecil Hepworth. As the camera looks down an open road, a horse and carriage approaches, and passes by to one side of the field of view. Soon afterwards, an automobile comes up the road, straight towards the camera. As it gets nearer, the occupants start to wave frantically, but can a collision be avoided? ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1098"">DVD 1098Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0000309/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Cahill, James Leo. ""How It Feels to Be Run Over: Early Film Accidents"" Discourse: Journal for Theoretical Studies in Media & Culture, Fall2008, Vol. 30 Issue 3, p289-316, 28p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=44900599&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","Disaster Films"
