"Source:","http://www.lib.berkeley.edu/MRC/cedlectures.html"
"
UC Berkeley
"[Aravenais, Alejandro] Elemental + Siamese","A lecture presented in the UCB Latin America Now series, which is devoted to the work of a new generation of Latin American architects. This program features a lecture by Chilian architect Alejandro Aravenais, an adjunct Professor at the Universidad Catolica de Chile and Visiting Professor at the Harvard Design School. He concludes his address with a 26 minute video including footage of Elemental, a housing project in the Chilian desert and his unusually shaped Siamese Towers. This event took place at the University of California, Berkeley on October 1, 2006. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7229"">DVD 7229Ж","UC Berkeley
College of Environmental Design Lectures"
"[Arets, Wiel] Multitude","A lecture by Wiel Arets, founder of Wiel Arets Architect & Associates BV, Rotterdam, Netherlands. Considered one of the most influential architects in Holland today, his international reputation is founded on the design projects of the Academy for the Arts and Architecture in Maastricht, the Two Apartment Blocks in Tilburg, the AZL Pension Fund Head Office and his characteristic series of police stations in Vals, Boxtel, and South Limburg. Here he presents a selection of his various projects. This event took place at the University of California, Berkeley on February 25, 2002. 105 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8812"">Video/C 8812Ж","UC Berkeley
College of Environmental Design Lectures"
"[Aycock, Alice]Alice Aycock","A lecture by Alice Aycock, an internationally renowed sculptor and artist of outdoor and gallery works. Ms. Aycock's outdoor sculptures and installations blur the boundaries between sculpture and architecture and some of her notable works have involved close collaboration with architects. This event took place at the University of California, Berkeley in 1999. 90 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8618"">Video/C 8618Ж","UC Berkeley
College of Environmental Design Lectures"
"[Behnisch, Stefan] Ecology - Design - Synergy","This lecture is presented by Stefan Behnisch, Architect and Principal of Behnisch Architekten, a firm noted for its aesthetically refined, energy-efficient and sustainable building projects in Europe and the United States. This event took place at the University of California, Berkeley on February 25, 2009. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1417"">DVD X1417Ж","UC Berkeley
College of Environmental Design Lectures"
"[Baker, David] Housing Design vs. Default.","A lecture by David Baker, of David Baker FAIA & Associates, Architects located in San Francisco, which has designed several award-winning projects and public buildings. February 8, 2001. 70 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7796"">Video/C 7796Ж","UC Berkeley
College of Environmental Design Lectures"
"[Barclay, Sandra and Crousse, Jean Pierre]Between the Desert and the Ocean","A lecture presented in the UCB Latin America Now series, which is devoted to the work of a new generation of Latin American architects. This program features a lecture by Peruvian architects Sandra Barclay and Jean Pierre Crousse, of the firm Barclay & Crousse Architecture in Lima, Peru. This event took place at the University of California, Berkeley on November 8, 2006. 74 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7230"">DVD 7230Ж","UC Berkeley
College of Environmental Design Lectures"
"[Barkow, Frank] Matters of Fact: The Architecture of Barkow Leiblinger","A lecture by German Architect Frank Barkow of the Berlin-based firm Barkow Leiblinger. The firm has worked on a wide range of industrial and cultural projects in the United States, Germany and Switzerland. Major projects include the American Pavilion at the EXPO2000 in Hanover, the biosphere for the 2001 National Horticultural Show in Potsdam and a new building for the Dept. of Architecture at Cornell University. This event took place at the University of California, Berkeley on April 9, 2003. 75 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9556"">Video/C 9556Ж","UC Berkeley
College of Environmental Design Lectures"
"[Beatley, Timothy]Green Urbanism: Planning for Resilient and Biophilic Cities","A lecture by Marshall Berman who teaches political theory and urbanism at City College New York and City University New York and is noted for his seminal work on modernist experience in the 20th century. This event took place at the University of California, Berkeley on October 26, 2009. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5960"">DVD X5960Ж","UC Berkeley
College of Environmental Design Lectures"
"[Benitez, Solano]Messages From the Bottle.","A lecture presented in the UCB Latin America Now series, which is devoted to the work of a new generation of Latin American architects. This program features a lecture by Solano Benitez of the firm Gabinete de Arquitectura in Asuncion, Paraguay. This event took place at the University of California, Berkeley on November 29, 2006. 78 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7232"">DVD 7232Ж","UC Berkeley
College of Environmental Design Lectures"
"[Benjamin, David; Yang; Soo-In] Life Now","This lecture is presented by David Benjamin and Soo-In Yang, of ""Living Architects"" and authors of ""life size."" This event took place at the University of California, Berkeley on April 23, 2008. 71 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9684"">DVD 9684Ж","UC Berkeley
College of Environmental Design Lectures"
