"Source:","http://www.lib.berkeley.edu/MRC/Sovietfilm.html"
"

Contents:
"
"â€¢149; Ѭ href=""#soviet"">Russia (Soviet Union)Ж","â€¢149; Ѭ href=""#russia"">Russian Silent FilmЖ","â€¢149; Ѭ href=""#czech"">CzechoslovakiaЖ","â€¢149; Ѭ href=""#hungary"">HungaryЖ","â€¢149; Ѭ href=""#poland"">PolandЖ","â€¢149; Ѭ href=""#romania"">RomaniaЖ","â€¢149; Ѭ href=""#yugo"">Yugoslavia/Serbia/Croatia/MacedoniaЖ"
"Anna (Anna: ot 6 do 18) (1993)","Directed by Nikita Mikhalkov. Cast: Anna Mikhalkova, Nikita Mikhalkov, Nadezhda Mikhalkova. Juxtaposing macrocosm and microcosm, the film sets the collapse of the Soviet Union against the growth of Mikhalkov's daughter Anna over the course of 13 years, beginning in 1980. Every year, starting at age six, Anna is subjected to an interview centering on the same five questions. Her personal evolution is interwoven with archival footage and propaganda films tracing the death throes of the Soviet Empire from the last years of the Brezhnev regime through Gorbachev's perestroika reforms to the first steps toward democracy under Boris Yeltsin. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6645"">Video/C 6645Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0106290"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#mikhalkov"">Nikita Mikhalkov bibliographyЖ


"
"Anna Karenina (1967)","Director, Aleksandr Zarkhi. Cast: Tatyana Samojlova, Nikolai Gritsenko, Vasili Lanovoy, Yuri Yakovlev. Anna Karenina is the young wife of an aging Russian aristocrat. She has an affair with the handsome Count Vronsky. By following her desires Anna complicates her life, falls into a depression and ends it in a suicide under a train. Based on the novel by Leo Tolstoy. 145 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6542"">DVD 6542Ж","â€¢149;Ѭ href=""http://yoursay.imdb.com/title/tt0061359/"">Credits and other information from the Internet Movie DatabaseЖ
â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=85062d9c-111a-4606-94d3-3c6950c0cd74"">View this video onlineЖ
Reviews and articles:

â€¢149;Lanoux, Andrea. ""Anna Karenina through Film."" In: Approaches to teaching Tolstoy's Anna Karenina / edited by Liza Knapp and Amy Mandelker. New York : Modern Language Association of America, 2003. (Main Stack PG3365.A63.A69 2002)
â€¢149;Makoveeva, Irina. ""Cinematic Adaptations of Anna Karenina."" Studies in Slavic Cultures, vol. 2, pp. 111-34, 2001

"
"Aprili (Avril, April ) (1961)","Director, Otar Iosseliani. Cast: T. Chanturia, Gia Chiraqadze, A. Chikvaidze, V. Maisuradze, A. Jorbenadze. A critique of materialism, the film is about a young couple who live in a rundown empty apartment. Their love is so strong that it makes the water flow and the electricity work, but when they start purchasing furniture and knickknacks, they fight and grow apart. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4448"">DVD 4448Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0247184/"">Credits and other information from the Internet Movie DatabaseЖ

","See also:","â€¢149;Lopate, Phillip. ""Georgia on My Mind."" Film Comment. New York: Jan/Feb 2005. Vol. 41, Iss. 1; pg. 56, 6 pgs Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00308867"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Shatirishvili, Zaza. ""The montage of Tbilisi culture."" Film International 2006, Vol. 4 Issue 23, p48-51, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=23122056&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ"
"Autumn Marathon (Osennii marafon) (1979)","Director, Georgi Daneliya. Cast: Oleg Basilashvili, Natalia Gundareva, Marina Neëlova, Evgenii Leonov, Norbert Kukhinke, Nikolai Kriuchkov, Galina Volchek. A mild-mannered college professor finds his life made difficult by hounding students, a nagging wife, a demanding mistress, and a neighbor who insists the professor jog with him each morning at dawn. 94 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4825"">DVD X4825Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0079679/"">Credits and other information from the Internet Movie DatabaseЖ
"
"Bakenbardi: Sidewhiskers (1990)","Directed by Yuri Mamin. The Pushkin Club is a group of reactionaries who affect 19th century dress and want to remove from Russia ""the scum of Western influence."" In this original, biting satire a warning about the rise of militarism and fascism in Russia is sounded. 110 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2255"">vhs 999:2255Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0106290"">Credits and other information from the Internet Movie DatabaseЖ"
"Ballad of a Soldier (Ballada o soldate) (1959)","Directed by Grigori Chukhraj. A young Russian soldier is given a six-day leave as a reward for an act of bravery in battle. As he journeys home he encounters the devastation of his war-torn country, witnesses glimmers of hope among the people, and falls in love. With its poetic visual imagery this unconventional meditation on the effects of war is a milestone in Russian cinema. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1163"">DVD 1163Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0052600"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://www.cinema.mosfilm.ru/Film.aspx?id=aede322a-705c-4904-921c-22d9c9e42144"">View this video onlineЖ

â€¢149;Awards
â€¢149;British Academy of Film and Television Arts Awards - Best Film from any Source
â€¢149;San Francisco International Film Festival - Best Film; Best Director



Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#ballad"">See separate bibliography of reviews and articles about this filmЖ"
"The Barber of Siberia (Sibirskiy tsiryulnik) (1998)","Directed by Nikita Mikhalkov. Cast: Julia Ormond, Oleg Menshikov, Aleksei Petrenko, Richard Kharris, Nikita Mikhalkov. A foreign entrepreneur ventures to Russia in 1885 with dreams of selling a new experimental steam-driven harvester in the wilds of Siberia. Julia Ormond portrays his assistant, who falls in love with a young Russian officer, and spends the next 10 years perfecting the harvester and pursuing her love, who has been exiled to Siberia. 180 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8988"">DVD 8988Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0120125/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:

â€¢149;Toumarkine, D. ""12."" Film Journal International v. 112 no. 3 (March 2009) p. 41 Ѭ href=""http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790e941a81a197ed1fcafef41cd6dade1191aa2a9b47ed9bab7b894c6fb0654496ad&fmt=P%20Toumarkine,%20D.%2012.%20Film%20Journal%20International%20v.%20112%20no.%203%20(March%202009)%20p.%2041"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Graffy, J. ""The barber of Siberia."" Sight & Sound v. ns10 no. 7 (July 2000) p. 39-40 Ѭ href=""http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790e941a81a197ed1fca2dd72cc5082b4191a4962a593cceff594c52d2590cd9525b&fmt=H%20Graffy,%20J.%20The%20barber%20of%20Siberia.%20Sight%20&%20Sound%20v.%20ns10%20no.%207%20(July%202000)%20p.%2039-40"">Full-text of this article / review is available:UC users onlyЖ



See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#mikhalkov"">Nikita Mikhalkov bibliographyЖ


"
"Bezhin Meadow (1937)","Directed by Sergei Eisenstein. A tale in which peasant settlements were forcibly reorganized into state affliated collective farms. Video Disc 180"
"Brilliantovaya ruka (Diamond Hand) (1968)","Directed by Leonid Gaidai. Semyon Gorbunkov goes on a cruise. In Istanbul, he slips and breaks his arm. What he didn't know is that this was a signal for a gang of smugglers (a real smuggler - Gena - was also on board the same ship). So his arm gets bandaged with gold and diamonds. After he returns home, the gangsters are trying to get their stuff back, while the police try to catch them using Gorbunkov and his arm. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD4456"">DVD4456Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0062759/"">Credits and other information from the Internet Movie DatabaseЖ"
"Brother (Brat) (1997)","Directed by Aleksei Balabanov. After being discharged from the Army, Danila runs afoul of the authorities. He goes to live with his brother, a gangster, in the free-wheeling city of Leningrad and is soon immersed in the city's organized crime scene. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4218"">DVD 4218Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0118767/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Ahlbeck, Reid. ""Bowling Green, Ohio: Brat (Brother): Directed by Aleksei Balabanov."" Dialogue. Jan/Feb 2002. Vol. 25, Iss. 1; p. 48 (2 pages)
â€¢149;Hashamova, Yana. ""Aleksei Balabanov's Russian Hero: Fantasies of Wounded National Pride."" Slavic and East European Journal, Summer 2007. Vol. 51, Iss. 2; pg. 295 Ѭ href=""http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790e941a81a197ed1fca828f3a3ba2d0556367134af9a673e54cd74ec09645baefd1&fmt=P%20Hashamova,%20Y.%20Aleksei%20Balabanov's%20Russian%20Hero:%20Fantasies%20of%20Wounded%20National%20Pride.%20Slavic%20and%20East%20European%20Journal%20v.%2051%20no.%202%20(Summer%202007)%20p.%20295-311"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Larsen, Susan. ""National identity, cultural authority, and the post-Soviet blockbuster: Nikita Mikhalkov and Aleksei Balabanov."" Slavic Review. Fall 2003. Vol. 62, Iss. 3; p. 491 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hia&AN=H001679103.01&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Romney, Jonathan. ""Aleksei Balabanov."" Sight & Sound; Sep2009, Vol. 19 Issue 9, p24-24, 1/8p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=43699598&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

"
