"Source:","http://www.lib.berkeley.edu/MRC/FSM.html"
"
The Free Speech Movement


"
"â€¢149; Sound Recordings: See separate listings for:
"Beyond Sproul Plaza: Analysis of the Free Speech Movement.","Performers: Mario Savio, Bettina Aptheker, Charles Hitch, Ronald Reagan, Alex Sherriffs, Charles Young, Austin Goheen, Reggie Edgerton, Robert Barber, Robert Karplus, Art Rosenfeld, Robert Stebbins, Karl Pister, Roger Heyns, Mervin Field.
Examines the fiscal impact of negative public opinion which developed towards the University of California after eight years of demonstrations and sit-ins by students at the University of California, Berkeley. Presents an overview of the variety of instructional programs offered by the 9 campuses and the impact of a reduced budget on the various teaching programs, faculty recruitment and retention. Includes a historical overview of demonstrations and sit-ins at UCB during the Free Speech Movement, demonstrations against the ROTC program and the Vietnam War. Originally shown on KPIX television on June 9, 1971. 54 min.  [preservation copy] 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7366"">DVD 7366Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5508"">Video/C 5508Ж","The Free Speech Movement"
"Decision in the Streets.","Covers the tumultuous beginnings of the Bay Area civil rights and peace movements from 1960 to 1965. Segments include 1960's anti-House Un-American Activities Committee demonstrations; Hands-Off-Cuba demonstrations in 1962 and 1963; the 1963 march protesting the Birmingham church bombings; mass arrests of protesters sitting in at the Sheraton Palace Hotel over racist hiring practices; the 1964 anti-Goldwater Republican convention protests; the Free Speech Movement at Berkeley, California and more. 35 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2795"">Video/C 2795Ж","The Free Speech Movement"
"[Free Speech Movement] U. C. Fallout: Let Freedom Rain?","News coverage of the sit-in protest and arrest of 800 student demonstrators at the University of California, Berkeley over demands to engage in political activity on campus. Film includes extensive panel discussion by professors, students, administrators, and politicians concerning the issue of ""free speech"" on the U.C. campus. Mario Savio, Clark Kerr, Edmund G. Brown, Joan Baez, Edward Strong. Panel: Owen Chamberlain, Joseph Tussman, Adrian Kragen, David Louisell, Scott Keech, Martin Roysher, Willie Brown...[et al.]. Cap Weinberger, moderator. 120 min.  Pt. 1-3","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+456"">Video/C 456Ж","The Free Speech Movement"
"[Free Speech Movement, 30th Anniversary] The Current Political Situation.","Key participants in the Free Speech Movement which occurred at the University of California, Berkeley in 1964 address students on the 30th anniversary of the student movement at the International House concerning their views on the current political situation in the United States. Taped at the University of California, Berkeley during the Free Speech Movement 30th Anniversary Celebration & Reunion, December 1-4, 1994. Videographer, Harold Adler. 150 min.  [preservation copy] 
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/fsmpoliticalsituation1.asx"">Part I: View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/fsmpoliticalsituation2.asx"">Part II: View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9649"">DVD 9649Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3647"">Video/C 3647Ж","The Free Speech Movement"
"[Free Speech Movement 30th Anniversary] Noon Rally, Sproul Plaza.","Key participants in the Free Speech Movement which occurred at the University of California, Berkeley in 1964 address students thirty years later in Sproul Plaza, the sight of the student strike and current sight of the ""open forum"" for ideological debate at UCB which resulted from the Free Speech Movement. Taped at the University of California, Berkeley during the Free Speech Movement 30th Anniversary Celebration & Reunion, December 1-4, 1994. Speakers: Margot Adler, Jackie Goldberg, Maureen Karpan, Mario Savio, Jack Weinberg. Videographer, Harold Adler. 90 min.  [preservation copy] .
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/sproulrally1994.asx"">View this video onlineЖ 
Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9648"">DVD 9648Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3646"">Video/C 3646Ж","The Free Speech Movement"
"[Free Speech Movement, 30th Anniversary] Thirty Years Later...FSM Poetry Central.","Poetry readings open the 30th Anniversary celebration of the Free Speech Movement that occurred on the University of California, Berkeley campus in 1964. Readings take place in Caffe Mediterraneum on Telegraph Avenue, Berkeley on November 30, 1994. Performers: Alta, Michael Rossman, John Oliver Simon, Julia Vinograd. Videographer, Harold Adler. 120 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3644"">Video/C 3644Ж","The Free Speech Movement"
"[Free Speech Movement, 30th Anniversary] What Happened in the FSM? The Issues, the Events, the Spirit.","A panel of participants in the Free Speech Movement which occured at the University of California, Berkeley in 1964 engage in a historical retrospective on the movement's impact and debate current political situations and philosophies. Panel: Gentri Anders, Ken Cloke, Troy Duster, Barbara Garson, David Goines. Taped at the University of California, Berkeley during the Free Speech Movement 30th Anniversary Celebration & Reunion, December 1-4, 1994. Videographer, Harold Adler. 135 min.  
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/whathappenedfsm.asx"">View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9647"">DVD 9647Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3645"">Video/C 3645Ж","The Free Speech Movement"
"Free Speech or Anarchy?","A television documentary examining the events at the University of California, Berkeley in 1964 surrounding the Free Speech Movement and its aims and goals. Includes FSM demonstrations, Jackie Goldberg and Mario Savio addressing the demonstrators; Clark Kerr explaining the official position of the university; the arrest of Jack Weinberg followed by Sproul Hall sit-ins; an address by governor Edmund G. Brown; Chancellor Edward Strong and campus police addressing the demonstrators; arrests followed by a general student strike and interviews with FSM demonstrators and students and faculty who did not support the strike. Videocassette release of a segment from the television program Assignment Four (KRON TV). Performers: Narrator: Jerry Jensen. Jackie Goldberg, Clark Kerr, Arthur Lee Goldberg, Brian Turner, Edward W. Strong, Mario Savio, Jack Weinberg, Edmund G. Brown, John Reynolds, Don Mulford, Henry F. May. 1964. 25 min.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7476"">DVD 7476Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5714"">Video/C 5714Ж","The Free Speech Movement"
"FSM (Free Speech Movement) Project","â€¢149; Interview with Peter Dale Scott, 3/13/77. Poet and political commentator, Peter Scott, is interviewed concerning his experiences during the Free Speech Movement which occurred in 1964 at the University of California, Berkeley. Scott, a professor at UCB during that time, gives his analysis of events and expounds upon the philosophy of the student activists. 29 min.  
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/3802.asx"">View this video onlineЖ 
Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X108"">DVD X108Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3802"">Video/C 3802Ж","â€¢149; Interview with Bettina Aptheker, 5/4/78. Author, historian and feminist, Bettina Aptheker, presents a historical overview of the Free Speech Movement which occurred in 1964 at the University of California, Berkeley. She lectures upon her experiences as one of the organizing and participating students of the movement and concludes by answering questions from the audience. 60 min.  
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/3803.1.asx"">Part I: View this video onlineЖ 
Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/3803.2.asx"">Part II: View this video onlineЖ 
Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9564"">DVD 9564Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3803"">Video/C 3803Ж","â€¢149; Interview with Howard Jetter, 5/8/78. Observations of the events during the Free Speech Movement which occurred in 1964 at the University of California, Berkeley, by a high school instructor studying while on sabbatical at the university during the time of the movement. 39 min. 
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/3804.asx"">View this video onlineЖ 
Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3804"">Video/C 3804Ж","â€¢149; Interview with Pat Brown, 10/13/78. Interview with Pat Brown, Governor of California from 1959-1967, concerning his view of events during the Free Speech Movement which occurred in 1964 at the University of California, Berkeley. 32 min.  
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/3805.asx"">View this video onlineЖ 
Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X109"">DVD X109Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3805"">Video/C 3805Ж","â€¢149; Interview with Clark Kerr, 1978.Interview with Clark Kerr, University of California, Berkeley chancellor from 1952 through 1967, concerning his view of events and decisions made by himself and other university administrators during the Free Speech Movement which occurred in 1964 at the University of California, Berkeley. 58 min.  
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/3806.asx"">View this video onlineЖ 
Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X441"">DVD X441Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3806"">Video/C 3806Ж","â€¢149; Interview with John Searle and Persons on the Street, 1978. John Searle, philosophy professor at the University of California, Berkeley is interviewed concerning his experiences during the Free Speech Movement which occurred in 1964 at the University of California, Berkeley. Searle analyses the objectives and outcomes of the movement and expounds upon the philosophy of the student activists. Film concludes with interviews of students on campus 15 years after these events occurred concerning the extent of their knowledge of the issues of the Free Speech Movement. 113 min.  
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/3807.asx"">John Searle: View this video onlineЖ 
Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ
â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx/asx2/3807b.asx"">Persons on the Street: View this video onlineЖ 
Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X523"">DVD X523Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3807"">Video/C 3807Ж","The Free Speech Movement"
"FSM Demonstrations, 12/10/64.","News coverage of the Free Speech Movement demonstrations and sit-ins at the University of California, Berkeley in 1964. Featuring: Mario Savio, Clark Kerr, Edmund G. Brown, Joan Baez, Edward Strong. Originally shown on the KQED Television Program, Profile Bay Area on December 10, 1964. 17 min.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7162"">DVD 7162Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5510"">Video/C 5510Ж","The Free Speech Movement"
