"Source:","http://www.lib.berkeley.edu/MRC/homelessnessmovies.html"
"
The Homeless, Hobos, Tramps, and Bums in the Movies


","See also:"
"Boxcar Bertha (1972)","Directed by Martin Scorsese. Cast: Barbara Hershey, David Carradine, Barry Primus, Bernie Casey, John Carradine. Based on characters in the book Sister of the road, which is the autobiography of Bertha Thompson. Set in the 1930's, a homeless woman (Bertha) and an union organizer team up on a crime spree to get revenge from a railroad company. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3302"">DVD 3302Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0068309"">Credits and other information from the Internet Movie DatabaseЖ
","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Catching Out: A Film About Trainhopping and Living Free [Documentary]","In this engaging film, several contemporary hobos embrace an American tradition by traveling on the rails for free. The film features a seasoned eco-activist named Lee, a young nomad named Jessica, and a tramp couple known as Switch and Baby Girl. In three interwoven stories, Catching out follows these trainhoppers as they navigate between the constraints of society and the freedom of the road. Special features: Trailer; ""All lit up"" music video; The journey: making-of featurette; alternate/deleted scenes; production stills; poster. A film by Sarah George. 2002. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X262"">DVD X262Ж","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Central Station (Central do Brasil) (Brazil, 1998)","Directed by Walter Salles. Cast: Fernanda Montenegro, Marilia Pera, Vinícius de Oliveira. When a young Brazilian boy witnesses his mother's accidental death, a lonely retired school-teacher reluctantly takes the child under her wing. Although they initially distrust each other, the two form an uncommon bond as they venture from the bustling city to Brazil's barren and remote northeast region in search of the boy's father. 106 min.; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8547"">DVD 8547Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2446"">vhs 999:2446Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0140888"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards

â€¢149;British Academy of Film and Television Arts Awards - Best Foreign-language Film
â€¢149;Golden Globes, USA - Best Foreign Language Film
â€¢149;National Board of Review, USA - Best Foreign Language Film

","Reviews and articles:

â€¢149; Kaufman, Anthony. ""Sentimental journey as national allegory: an interview with Walter Salles."" Cineaste Winter 1998 v24 i1 p19(3) Ѭ href=""http://proquest.umi.com/pqdweb?did=38107344&sid=3&Fmt=4&clientId=1566&RQT=309&VName=PQD"">Full-text of this article / review is available:Ж


","The Homeless, Hobos, Tramps, and Bums in the Movies"
"La Ciudad (The City) (1998)","Directed by David Riker. Filmed through intensive collaboration with the New York Latino immigrant community over a five-year period, La Ciudad tells four stories about recently arrived illegal immigrants from Mexico and Latin America to New York City weaving a rich narrative tapestry of present day immigrant life. The film's four stories center on a group of day-laborers scavenging for bricks; two teenagers from the same hometown who meet in the projects and fall in love; a homeless father who tries to enroll his daughter in school; and a garment worker who seeks justice in the sweatshops. 88 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4833"">DVD 4833Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2755"">vhs 999:2755Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0168589"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinoBib.html#cuidad"">See separate bibliography of reviews and articles about this filmЖ
","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Comportamento Humano (Brazil, 1995)","Directed by Flavio Leandro de Souza. A short film depicting the lives of homeless children in Rio de Janeiro. Silent film, not subtitled. 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1991"">vhs 999:1991Ж","The Homeless, Hobos, Tramps, and Bums in the Movies"
"De la calle (Street Lives)) (Mexico, 2001)","Directed by Gerardo Tort. Cast: Luis Fernando Peña, Maya Zapata, Armando Hernandez, Mario Zaragoza. Tells the story of homeless children living on the streets and in the sewers of Mexico City wandering in packs, stealing, using drugs, and hoping for a better life someday. 81 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9456"">DVD 9456Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0279765/"">Credits and other information from the Internet Movie DatabaseЖ","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Crainquebille (France, 1922)","Directed by Jacques Feyder. Cast: Maurice de Feraudy, Françoise Rosay, Felix Oudart. In this great satirical classic of the French cinema a Parisian street merchant is unjustly accused and jailed but afterwards finds happiness as a tramp. 77 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6474"">DVD 6474Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0013033/"">Credits and other information from the Internet Movie DatabaseЖ
","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Diary of a Lost Girl (Das Tagebuch einer Verlorenen) (Germany, 1929)","Directed by G.W. Pabst, G.W. Thymiane Henning (Louise Brooks), an innocent young girl, is raped by the clerk of her father's pharmacy. She becomes pregnant, is rejected by her family, and must fend for herself in a harsh, cruel world [Internet Movie Database] 99 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1173"">DVD 1173Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:127"">vhs 999:127Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0020475/"">Credits and other information from the Internet Movie DatabaseЖ
","Related web sites:","â€¢149; Ѭ href=""http://www.pandorasbox.com/"">Louise Brooks Society web siteЖ","See also:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/Germanfilmbib.html#Pabst"">G.W. Pabst bibliographyЖ","â€¢149; Lulu in Berlin. Video/C 1849","The Homeless, Hobos, Tramps, and Bums in the Movies"
"A Dog's Life (1918)","Directed by Charlie Chaplin. Cast: Charlie Chaplin, Edna Purviance, Tom Wilson, Sidney Chaplin, Albert Austin . ""Poor Charlie lives in a vacant lot. He tries to get a job but when he gets to the head of the employment line the jobs are gone. Back ""home"" he rescues Scraps, a bitch being attacked by other strays. Together they manage to steal some sausages from a lunch wagon. They enter a dance hall where Edna is a singer and unwilling companion to the clientele. He is thrown out when he can't pay. Back ""home"" Scraps digs up a money-filled wallet buried by crooks. They return to the dance hall to find Edna fired. The wallet goes back and forth between Charlie and the crooks. Charlie, Edna and Scraps end up very happily."" [Ѭ href=""http://us.imdb.com/title/tt0009018/plotsummary"">IMDBЖ] ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+284"">DVD 284Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+13"">DVD 13Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0009018/"">Credits and other information from the Internet Movie DatabaseЖ","The Homeless, Hobos, Tramps, and Bums in the Movies"
"Down and Out in Beverly Hills (1986)","Directed by Paul Mazursky. Cast: Nick Nolte, Bette Midler, Richard Dreyfuss, Evan Richards, Elizabeth Pena. Rescued from drowning in the swimming pool of a Beverly Hills couple, a disconsolate bum brings startling and hilarious changes to the entire household, including the family dog, Matisse. 103 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6065"">DVD 6065Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0090966/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Morgan, Janice. ""From Clochards to Cappuccinos: Renoir's Boudu is ""Down and Out"" in Beverly Hills.""Cinema Journal, Winter90, Vol. 29 Issue 2, p23-35, 13p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=31391805&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Vestrich, Roy M. ""The Culture-Clash Comedies of the 1980s."" In: Beyond the stars: Plot conventions in American popular film / edited by Paul Loukides and Linda K. Fuller. Bowling Green, Ohio : Bowling Green University Popular Press, c1990 Main (Gardner) Stacks; Moffitt PN1995.9.C36 B49 1990)


","The Homeless, Hobos, Tramps, and Bums in the Movies"
