"Source:","http://www.lib.berkeley.edu/MRC/religiousfilms.html"
"
Religious Themes in the Movies & Television


Ж
"The Bible According to Hollywood","Film excerpts. Vol. 1. Intolerance -- The wanderer -- King of Kings (1927) -- Noah's ark -- Sign of the cross -- The crusades -- Susan and God -- Song of Bernadette -- Samson and Delilah -- Fabiola -- Quo Vadis -- David and Bathsheba -- Miracle of Our Lady of Fatima. -- Vol. 2. The robe -- The Egyptian -- The prodigal -- Ten Commandments -- Ben Hur -- Solomon and Sheba -- Story of Ruth -- Esther and the King -- Spartacus -- King of Kings (1961) -- Gospel according to St. Matthew -- The Bible.
In the beginning, there was Cecil B. DeMille -- the pioneer of epic film directors, and the man who started Hollywood's long history of Biblical-themed extravaganzas. This documentary presents a complete look at the history of this motion picture genre through the use of extensive film trailers and the words of directors, producers and stars who comment on how the films were made, why they were so popular, and how they launched the careers of some of Hollywood's biggest stars. c1994. 90 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9318"">Video/C 9318Ж","Religious Themes in the Movies & Television"
"Big Love","Television series about a polygamist and independent businessman who lives in Salt Lake City with his three wives and seven children. Cast: Bill Paxton, Jeanne Tripplehorn, Chloâ€¢235; Sevigny, Ginnifer Goodwin, Amanda Seyfried, Douglas Smith, Shawn Doyle, Melora Walters, Joel McKinnon Miller, Daveigh Chase, Jolean Wejbe, Grace Zabriskie, Matt Ross, Harry Dean Stanton.","â€¢149;SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html"">TV videographyЖ","Religious Themes in the Movies & Television"
"The Birth of Christ (Naissance, la vie et la mort du Christ)(Excerpt) (France, 1906)","Directed by Alice Guy. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2028"">DVD X2028Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0139714/"">Credits and other information from the Internet Movie DatabaseЖ
","Religious Themes in the Movies & Television"
"Black Narcissus (1947)","Director, Michael Powell and Emeric Pressburger. Cast: Deborah Kerr, Sabu, David Farrar, Flora Robson, Esmond Knight, Jean Simmons, Kathleen Byron. This film marks a harrowing descent into madness, when a young British nun is ordered to establish a convent in the remote Himalayan mountains. Sister Clodagh is a serious young novitiate assigned to lead a crucial mission, with the reluctant recommendation of her Mother Superior. Together with a disparate group of nuns, Sister Clodagh will face strange peoples and customs, a harsh and unforgiving climate and a wrenching struggle with her own past that will prove the ultimate test of her devotion and faith. Special features: Audio commentary by Michael Powell and documentary on Jack Cardiff and Black Narcissus, rare behind-the-scenes production stills, including shots not used in the final version of the film, original theatrical trailer. 101 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+510"">DVD 510Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0039192"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/ukbib.html#narcissus"">See separate bibliography of reviews and articles about this filmЖ","Religious Themes in the Movies & Television"
"Blasphemy: the Movie (2001)","Directed by John Mendoza. Cast: Carlos Leon, Tony Perez, Irene Olga Lopez, Karmin Murcelo. Set during Christmas, Blasphemy tells the story of what happens when Martin Garcia reveals to his devoutly religious parents that he doesn't believe in God. A chorus of Gods and prophets add to the chaos by commenting as the film unfolds. Presented at the International Latino Film Festival held in the San Francisco Bay Area. 81 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3908"">vhs 999:3908Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0283267/"">Credits and other information from the Internet Movie DatabaseЖ
","Religious Themes in the Movies & Television"
"The Blood of Jesus (1941)","Directed by Spencer Williams. Spencer Williams, who later became Andy on the Amos'n'Andy Television series was the star, director, producer and writer of this film, an unusual piece that offers a glimpse into Southern Baptist life from an African American perspective. 68 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1589"">DVD 1589Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:928"">vhs 999:928Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0033406/"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ


Reviews and articles:

â€¢149;Cripps, Thomas. Black American Literature Forum, v12 n4 p128-34 Win 1978. ""The Films of Spencer Williams."" Ѭ href=""http://links.jstor.org/sici?sici=0148-6179%28197824%2912%3A4%3C128%3ATFOSW%3E2.0%20.CO%3B2-8"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Giles, Mark. ""The Blood of Jesus: Timeless Black Values."" Black Camera - A Micro Journal of Black Film Studies 15:1 [Spring-Summer 2000] p.6-7 Ѭ href=""http://iipaft.chadwyck.com/cgi/fulltext?ACTION=BYID&warn=N&div=2&SUBSET=1&ENTRIES=1&ID=00138114&JID=JID15363155&ROYID=LOUJID15363155"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Strecker, Damien. ""No Laughing Matter: Spencer Williams, Jr.'s Christian Moral Vision in ""The Blood of Jesus"". Black Camera - A Micro Journal of Black Film Studies 20:2 [Fall-Winter 2005] p.6-7

","Religious Themes in the Movies & Television"
"The Book of Life (1998)","Directed by Hal Hartley. Cast: Martin Donovan, P.J. Harvey, Thomas Jay Ryan, Dave Simonds, Miho Nikaido, D.J. Mendel, James Urbaniak. In this dark comedy about the Apocalypse, Jesus arrives at JFK Airport with his assistant, Magdalena. He transfers the ""Book of Life"" to computer disk and battles the Devil for human souls, with second thoughts about whether these lives are worth saving. 63 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3783"">DVD 3783Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0167059/"">Credits and other information from the Internet Movie DatabaseЖ
","Religious Themes in the Movies & Television"
"Breaking the Waves (Denmark / Sweden / France / Netherlands / Norway / Iceland, 1996)","Directed by Lars von Trier. Cast: Emily Watson, Stellan Skarsgard, Katrin Cartlidge, Jean-Marc Barr, Udo Kier. Bess, a pious young Scottish woman, prays to God to send her husband, Jan, home from his job on an offshore oil rig. When an accident sends him home paralyzed, she's filled with guilt and submits to his wish that she take on other lovers, convinced that this will aid in his recovery. 152 min. ; also ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+785"">DVD 785Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4096"">DVD X4096Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0115751"">Credits and other information from the Internet Movie DatabaseЖ
","Ѭ href=""http://www.lib.berkeley.edu/MRC/vontrierbib.html#waves"">See separate bibliography of reviews and articles about this filmЖ","Religious Themes in the Movies & Television"
"Brother Sun, Sister Moon (Fratello sole, sorella luna) (Italy / UK, 1973)","Directed by Franco Zeffirelli. Cast: Graham Faulkner, Judi Bowker, Alec Guinness, Leigh Lawson, Kenneth Cranham, Lee Montague, Valentina Cortese, Michael Feast, Nicholas Willatt. A compelling, insightful look at the early years of Saint Francis of Assisi, who abandoned a life of wealth and comfort to seek spiritual values, eventually founding the religious order of Franciscans. 121 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2345"">DVD 2345Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0069824/"">Credits and other information from the Internet Movie DatabaseЖ

","Reviews and articles:

â€¢149;Aste, Mario. ""Zeffirelli's Personal Encounter with St. Francis: Brother Sun, Sister Moon."" RLA: Romance Languages Annual, vol. 3, pp. 146-51, 1992
â€¢149;Kozlovic, Anton Karl. ""Saint Cinema: The Construction of St. Francis of Assisi in Franco Zeffirelli's Brother Sun Sister Moon (1972)."" Journal of Religion and Popular Culture, vol II, Fall 2002 Ѭ href=""http://www.usask.ca/relst/jrpc/article-brothersun.html"">Full-text of this article / review is available:Ж
â€¢149;William Johnson. ""Brother Sun, Sister Moon."" Film Quarterly, Vol. 26, No. 4. (Summer, 1973), p. 60.Ѭ href=""http://links.jstor.org/sici?sici=0015-1386%28197322%2926%3A4%3C60%3ABSSM%3E2.0.CO%3B2-X"">Full-text of this article / review is available:Ж

","Religious Themes in the Movies & Television"
"A Buddha (Un Buda) (Argentina, 2005)","Directed by Diego Rafecas. Cast: Agustâ€¢237;n Markert, Carolina Fal, Julieta Cardinali, Diego Rafecas, Tina Serrano. Affected by the disappearance of his father by the military during Argentina's Dirty War, a young man struggles to find himself spiritually in the immensity and violence of the big city. He journeys to a mountain Zen Buddhist retreat while his family and friends try to understand him. Presented at the International Latino Film Festival held in the San Francisco Bay Area. 108 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+999:3910"">Video/C 999:3910Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0428283/"">Credits and other information from the Internet Movie DatabaseЖ
","Religious Themes in the Movies & Television"
"Camila. (Argentina, 1984)","Directed by Maria-Luisa Bemberg. Recounts the true story of a young Catholic socialite from Buenos Aires, Camila O'Gorman, who falls in love and runs away with a young Jesuit priest, Ladislao Gutierrez, in 1847. Eventually they are found and executed by the repressive government. 105 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1552"">DVD 1552Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:244"">vhs 999:244Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0087027/"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinAmFilmBib.html#camila"">See separate bibliography of reviews and articles about this filmЖ","Religious Themes in the Movies & Television"
