"Source:","http://www.lib.berkeley.edu/MRC/50svid.html"
"The Fifties"
"â€¢149;Ѭ href=""#documentaries"">Documentary Works and Primary SourcesЖ","â€¢149;Ѭ href=""#blacklist"">McCarthyism and BlacklistingЖ","â€¢149;Ѭ href=""#movies"">Movies Set In/About the 1950'sЖ","â€¢149;For Fifties TV programs SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html"">TVЖ","â€¢149;For Fifties TV commercials SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/commercials.html"">CommericalsЖ","â€¢149;For Fifties popular music SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/music.html"">Musical Traditions of the WorldЖ","â€¢149;For Cold War Propaganda and Atomic Hysteria/1950's Social and Cultural Propaganda SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/propaganda.html"">PropagandaЖ","The Fifties"
"","See also the following MRC Videographies:","The Fifties"
"The Century: America's Time.","â€¢149;Best Years. Demobilization after World War II meant difficult changes as the U.S., geared up for war, resumed a peacetime existence. This program describes America's new status as a superpower, as the nation shouldered the responsibility for rebuilding Europe and Japan--and for containing Soviet ambitions. The challenge faced by veterans and spouses to become reacquainted after years of separation and hardship is highlighted. 45 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6361"">Video/C 6361Ж","â€¢149; Coming Apart; Picture This. In the late 1940's, while the Soviet Union and the U.S. eyed each other over the Iron Curtain, conservative Americans at all levels of society worried about communist infiltration--especially in the movie industry, since that medium plays a huge role in shaping public perceptions and attitudes. This program reveals a time of McCarthyism and career-ending blacklists, a time when freedom of speech itself became a casualty in the desperate fight to protect democracy from ""The red menace."" 43 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6351"">Video/C 6351Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"Chronicle of an American Suburb","Presents the history of Park Forest. Ill., a suburb that came into being after World War II. Includes interviews with people who were the first residents of the town as well as their children who grew up there. Directed, written & edited by H. James Gilmore. 2002. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3281"">DVD X3281Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"Related web sites:","â€¢149; Ѭ href=""http://www.berkeleymedia.com/catalog/berkeleymedia/films/american_studies/chronicle_of_an_american_suburb"">Berkeley Media LLC catalog descriptionЖ","The Fifties","Documentary Works and Primary SourcesЖ"
"Classic Commericals of the 50's and 60's","Over 50 hours of TV commercial classics. ca 60 min each.  Part 1-47 CONSULT Ѭ href=""http://oskicat.berkeley.edu/"">OskiCatЖ FOR CONTENTS OF EACH VOLUME
For other TV Commercials and Programs of the 1950's, SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/PopcultureVid.html"">Popular CultureЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3932"">Video/C 3932Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"The Cold War. 1998. 47 min. each installment.","â€¢149;Comrades, 1917-1945. Though ideological enemies, the Soviet Union and the United States are allies against Hitler during WWII. At the end of the war, Europe is divided, and the one-time allies now confront each other knowing that the United States has the atomic bomb. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5735"">Video/C 5735Ж","â€¢149;Iron Curtain, 1945-1947. The Soviet Union dominates Eastern Europe. Churchill warns of the consequences. Stalin insists that the governments of the Soviet Union's client states be pro-communist. Impoverished after the war, Great Britain opts out as a world power. The United States assumes the mantle of world leadership. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5735"">Video/C 5735Ж","â€¢149; Marshall Plan, 1947-1952. The United States adopts the Truman doctrine, pledging to defend freedom worldwide. Secretary of State George Marshall plans to bolster economic recovery in Europe. Seeing this as a threat, Stalin forbids his satellites to participate. The world effectively divides. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5735"">Video/C 5735Ж","â€¢149;Berlin, 1948-1949 In Berlin, the American, British and French sectors form a Western enclave in the Soviet zone of divided Germany. In June 1948, the Soviets blockade the city, but the Western allies successfully airlift in supplies. In August 1949, Soviet scientists explode an atomic bomb, establishing nuclear parity between the two superpowers. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5736"">Video/C 5736Ж","â€¢149; Reds, 1947-1953. Following Stalin's domination of Eastern Europe and the loss of China, American democracy falls victim to anti-communist hysteria, but survives it. Eisenhower is elected President. In the Soviet Union, Stalin reinforces the climate of terror on which his rule is based. When he dies in 1953, the Soviet people mourn the end of an era. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5736"">Video/C 5736Ж","â€¢149;Korea, 1949-1953. In June 1950, North Korea invades the South, with Stalin's blessing. The United States, backed by the United Nations, defends South Korea, and then is confronted by communist China. In mid-1951, the war grinds to a bloody stalemate but eventually an armistice is signed. Aggression has been contained. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5736"">Video/C 5736Ж","â€¢149; After Stalin, 1953-1956. Thaw is conceivable with Stalin's death. Khrushchev outmaneuvers Malenkov for power and visits the West. Germans, Poles and Hungarians attempt to rise against Soviet rule. In 1956, an uprising in Hungary is ruthlessly crushed by Soviet tanks. The United States, pledged to contain rather than overthrow communism, does nothing. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5737"">Video/C 5737Ж","â€¢149;Sputnik, 1949-1961. In the mid-50s, the Soviet Union seems to be forging ahead. In October 1957, the first Soviet satellite Sputnik orbits the earth--to the dismay and fear of the United States, frustrated by its own ineffectual space program. In 1961, the Soviets launch Yuri Gargarin into space. America will have to meet the challenge. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5737"">Video/C 5737Ж","â€¢149; The Wall, 1958-1963. The fate of Germany remains unresolved. West Germany has been admitted to NATO. Within East Germany, Berlin is divided between East and West by an open border. Thousands seize the chance to flee the communist system. To keep their people in, the East Germans, with Soviet backing, build The Wall. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5737"">Video/C 5737Ж","â€¢149;Cuba, 1959-1962. Khruschev decides, with Castro's agreement, to install short-range and medium-range missiles in Cuba, only 90 miles from the U.S. The United States detects the missile sites and blockades the island. The superpowers confront each other; but rather than embark on nuclear war, they each step back. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5738"">Video/C 5738Ж","â€¢149;Vietnam, 1954-1968. Vietnam has been divided since the end of French colonial rule. The North is run by communists, the South by anti-communists. Ignoring warnings against involvement in a nationalist struggle, the United States commits its armed forces. American protests against the war mount as the U.S. begins to realize this is not a war it can win. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5738"">Video/C 5738Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"Committee on Un-American Activities","The first film by a private citizen which criticizes a US government committee, includes 1930s footage of House Un-American Activities Committee (HUAC) Chairman Martin Dies (D) of Texas attacking ""subversives"" in labor unions; the Hollywood Witch Hunts; the Cold War blacklistings; and the 1960 San Francisco hearings. The film contains an analysis of how the HUAC subpoened the newsfilms of the City Hall protests from TV stations KRON & KPIX and used federal facilities to edit them into ""Operation Abolition. Among the HUAC's critics shown: Presidents Roosevelt and Truman, civil rights leader Rev. Wyatt T. Walker, Congressmen James Roosevelt & Phillip Burton, and Frank Wilkinson. Freedom of Information Act files also reveal that the HUAC, in violation of the First Amendment, investigated Robert Carl Cohen for making this film. Archival sound reproductions supplied by KPFA-Radio (Berkekely, Cal.); archival images supplied by KRON-TV and KPIX-TV (San Francisco, Cal.). 45 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8373"">DVD 8373Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+65"">Video/C 65Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"Current Events, 1950's Style: 1951/1952.","Contains: Nixon's ""Checkers"" speech (9/23/52) -- See it now (12/23/51) -- See it now (2/24/52) -- See it now (6/29/52). In the ""Checker's speech"" Richard Nixon responds to accusations of receiving illegal campaign contributions. See It Now produced in the 50s by CBS, though not television's first public affairs program, was surely its most significant. Hosted by Edward R. Murrow, it was the first public affairs show to use its own film footage instead of newsreel; no interviews were rehearsed and it pioneered the use of field producers, who supervised the filming on location. Its first show on Nov. 18, 1951 marked the first commercial coast-to-coast television broadcast. c1985. 112 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7142"">Video/C 7142Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"Current Events 1950s Style, II.","Contents: Plymouth news caravan (4/18/55) -- Plymouth news caravan (4/20/55) -- You can change the world (1952) -- The White House Story (1961). A compilation of television news programs from the 1950s and 1960s. Includes two episodes of Plymouth news caravan, an early television news program produced by NBC with host John Cameron Swayze. You can change the world is a promotional program for the Christophers, a movement that tried to recruit good people into jobs important to society such as education. Jack Benny and other Hollywood stars show their support for the movement. The final program is a tour of the newly renovated White House hosted by Mrs. John F. Kennedy. She discusses the historical elements of the building and furnishings. c1985. 113 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7143"">Video/C 7143Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"[David Halberstam's] The Fifties.
","â€¢149;Volume 1: The Fear and the Dream. First segment in a six part series on the United States in the Fifties. In the postwar U.S., new affluence mingled with the fear of the new menace of communism. Film discusses the conditions encountered by WWII veterans, the building of the first housing tract, the development of the nuclear arms race and the hydrogen bomb, anti-Communist hysteria and McCarthyism, events leading to the Korean War and the development of popular literature in the 50's focusing on Mickey Spillane. 90 min.  [preservation copy] 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9403"">DVD 9403Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5378"">Video/C 5378Ж","â€¢149;Volume 2: Selling the American Way. Still haunted by the Great Depression, Americans needed to be coaxed into enjoying their new-found affluence. This episode shows how the invention of television and the perfection of the art of advertising were used in both commerce and politics. Highlights advertising gurus Norman Vincent Peale and Rosser Reeves, shows how Richard Nixon applied slick new media techniques to save his career and how Washington learned to manipulate the media, hiding undercover operations in places like Iran, Guatemala and ultimately, Vietnam. 50 min.  [preservation copy] 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9404"">DVD 9404Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5379"">Video/C 5379Ж","â€¢149;Volume 3: Let's Play House. This segment describes the personal unrest sometimes felt in the outwardly tranquil fifties, including dissatisfaction with women's roles as housewives and men's roles in the corporate rat race. Feminist Betty Friedan, Sloan Wilson, author of The man in the gray flannel suit, and Grace Metalious, whose steamy novel Petyon Place exposed small-town hypocrisy, are discussed as representative of the gap between the idealized nuclear family of the 1950s and the way things really were. 50 min.  [preservation copy] 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9405"">DVD 9405Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5380"">Video/C 5380Ж","â€¢149;Volume 4: A Burning Desire. During this time of social claustrophobia and sexual taboos, a handful of individuals brought a world of suppressed desires into the open. The publication of the famed ""Kinsey Report"", pin-up girl Marilyn Monroe, Hugh Hefner's Playboy, and Margaret Sanger's crusade for the pill are profiled as key movements that set the stage for the sexual revolution to come. 50 min.  [preservation copy] 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9406"">DVD 9406Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5381"">Video/C 5381Ж","â€¢149;Volume 5: The Beat. This episode shows how the culture of the Beats and the rise of rock 'n' roll helped forge the youth culture that would explode in the sixties. Focuses on Jack Kerouac, Allen Ginsberg, Neal Cassady, jazz greats Charlie Parker and Thelonious Monk, the rise of country/rock and Elvis Presley. 50 min.  [preservation copy] 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9407"">DVD 9407Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5382"">Video/C 5382Ж","â€¢149;Volume 5: The Rage Within and The Road to the Sixties. ""The Rage Within"" shows how America in the fifties is finally forced to examine issues of racial discrimination through the murder of Emmet Till, the rise of athletes like Bill Russell and Willie Mays, school desegregation, the Montgomery bus strike, and leadership by Martin Luther King, Jr. ""The Road to the Sixties"" shows American involvement with fast cars, fast food, the space race, the rise of Fidel Castro in Cuba and a rising restlessness as the country hurtles toward the next decade. 50 min.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9408"">DVD 9408Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5383"">Video/C 5383Ж","The Fifties","Documentary Works and Primary SourcesЖ"
"Dawn of the Eye: Inventing Television News, 1946-1959; History of Film and TV News, 1946-1959","At first no one knew quite what to do with television news until radio news veterans like Edward R. Murrow introduced controversial subjects and the public began watching in droves. The Senate anti-communist hearings conducted by Joseph McCarthy in the 1950s drew thousands to their TV sets each day. Political conventions in the U.S. entered prime time while Korean War correspondents covered American servicemen in Korea and Canadian journalism followed American television techniques in convering their political campaigns. 47 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5944"">Video/C 5944Ж","The Fifties","Documentary Works and Primary SourcesЖ"
