"Source:","http://www.lib.berkeley.edu/MRC/greekfilm.html"
"
Greek Cinema
"Electra (Greece, 1962)","Directed by Michael Cacoyannis (Mihalis Kakogiannis). Cast: Irene Papas, Aleka Katseli, Yannis Fertis, Theano Ioannidou, Notis Peryalis. ""Desolation and despair reign supreme in the kingdom of Mycenae. The great Agamemnon has been brutally murdered; his son Orestes has fled and his daughter Electra has been imprisoned within the walls of the castle. All hope seems lost until the sacred oracle speaks and replaces Electra's broken spirit with an unquenchable desire for justice and bloody vengeance."" 113 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1092"">DVD 1092Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0055950"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149; Georgakas, Dan. ""From Stella to Iphigenia: the woman-centered films of Michael Cacoyannis."" (Critical Essay) Cineaste Spring 2005 v30 i2 p24(7) Ѭ href=""http://web5.infotrac.galegroup.com/itw/infomark/913/914/68621679w5/purl=rc1_EAIM_0_A130932594&dyn=33!xrn_3_0_A130932594?sw_aep=ucberkeley"">Full-text of this article / review is available:Ж
â€¢149;MacDonald, Marianne. ""Interviews with Michael Cacoyannis and Irene Papas."" Bucknell Review, 1991, Vol. 35 Issue 1, p159-184, 26p
â€¢149;MacDonald, Marianne; Winkler, Marin M.
""Michael Cacoyannis and Irene Papas on Greek Tragedy."" In: Classical myth & culture in the cinema / edited by Martin M. Winkler. Oxford ; New York : Oxford University Press, 2001. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10087281"">Full text available onlineЖ (UCB users only); print Main (Gardner) Stacks PN1995.9.M96 C59 2001)

","Greek Cinema"
"Eternity and a Day (Mia aioniotita kai mia mera) (Germany / Greece / France / Italy, 1998)","Directed by Constantine Giannaris. Cast: Bruno Ganz, Fabrizio Bentivoglio, Isabelle Renauld, Achilleas Skevis. A celebrated Greek writer, who is terminally ill, sets his sights on one last idyllic day. Embarking on a voyage to relive an idealized time with his long lost wife, his day is interrupted when he happens upon a lost and troubled eight-year-old boy, an illegal immigrant from Albania. The two strangers, crossing paths at a special moment in time, share a poignant life experience. 129 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X229"">DVD X229Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3185"">vhs 999:3185Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0156794/"">Credits and other information from the Internet Movie DatabaseЖ","Greek Cinema"
"From the Edge of the City (Apo tin akri tis polis) (1998)","Directed by Constantine Giannaris. Cast: Stathis Papadopoulos, Costas Cotsianidis, Panagiotis Chartomatsidis, Anestis Polychronidis, Dimitris Papoulidis. Buff and eighteen, Sasha lives with his mother and father in a Kazakhstan immigrant settlement on the outskirts of Athens. At night, he and his teenaged friends rollerblade through the city, where they hang out in brothels and work as male prostitutes. Every day they endure an obstacle course of johns, drug dealers, pimps and gangsters, as they try desperately to survive in a country that is not their own. 94 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1319"">DVD 1319Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0181547"">Credits and other information from the Internet Movie DatabaseЖ","Greek Cinema"
"A Girl in Black (To Koritsi me ta mavra) (1956)","Directed by Michael Cacoyannis (Mihalis Kakogiannis). Cast: Ellie Lambetti, Dimitri Horn, Eleni Zafiriou, George Foundas, Notis Perghialis. A young Athenian writer, on holiday on the island of Hydra, lodges with a family of impoverished gentility. The daughter of the house falls in love with him but he is too immature to respond until a disaster, provoked by spiteful, vengeful peasants, shocks him into an awareness of his own involvement in life and its responsibilities. 101 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+708"">DVD 708Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0049419"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149; Golden Globe Awards - Best Foreign Language Film




Reviews and articles:
â€¢149; Georgakas, Dan. ""From Stella to Iphigenia: the woman-centered films of Michael Cacoyannis."" (Critical Essay) Cineaste Spring 2005 v30 i2 p24(7) Ѭ href=""http://web5.infotrac.galegroup.com/itw/infomark/913/914/68621679w5/purl=rc1_EAIM_0_A130932594&dyn=33!xrn_3_0_A130932594?sw_aep=ucberkeley"">Full-text of this article / review is available:Ж

","Greek Cinema"
"Hostage (Omiros) (Greece / Turkey, 2005)","Directed by Constantine Giannaris. Cast: Stathis Papadopoulos, Theodora Tzimou, Giannis Stankoglou. In a desperate attempt to reclaim his honor, a young Albanian immigrant hijacks a bus in northern Greece. Demanding a ransom and safe return to his country, he holds the passengers hostage at gunpoint. Based on a true story. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7215"">DVD 7215Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0465552/"">Credits and other information from the Internet Movie DatabaseЖ
","Greek Cinema"
"The Hunters (Oi kynigoi) (1977)","Written and directed by Theodoros Angelopoulos. Cast: Vangelis Kazan, Betty Valassi, Giorgis Danis, Mary Chronopoulou, Ilias Stamatiou, Aliki Georgouli, Nikos Kouros, Eva Kotamanidou, Stratos Pachis, Christophoros Nezer, Dimitris Kamberidis. The Hunters is an allegorical tale in which a group of hunters stumble upon the corpse of a man who appears to have been killed during the civil war. The group, which includes an industrialist, a militarist and a politician, must decide what to do with the body as fresh blood begins emerging from its wounds, apparently symbolising their guilt over the war. 143 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7186"">DVD X7186Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0076286/"">Credits and other information from the Internet Movie DatabaseЖ
","Greek Cinema"
"Iphigenia (Ifigeneia) (Greece, 1977)","Directed by Michael Cacoyannis. Cast: Irene Pappas (Clytemnestra), Costa Kazakos (Agamemnon), Tatiana Papamousko (Iphigenia). Presents the ancient Greek tragedy in which the Greek leader, Agememnon, must sacrifice his daughter as punishment for having offended the gods. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+814"">Video/C 814Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0076208/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Cacoyannis, Michael.
""Iphigenia, A Visual Essay."" In: Classical myth & culture in the cinema / edited by Martin M. Winkler. Oxford ; New York : Oxford University Press, 2001. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10087281"">Full text available onlineЖ (UCB users only); print Main (Gardner) Stacks PN1995.9.M96 C59 2001)
â€¢149; Georgakas, Dan. ""From Stella to Iphigenia: the woman-centered films of Michael Cacoyannis."" (Critical Essay) Cineaste Spring 2005 v30 i2 p24(7) Ѭ href=""http://web5.infotrac.galegroup.com/itw/infomark/913/914/68621679w5/purl=rc1_EAIM_0_A130932594&dyn=33!xrn_3_0_A130932594?sw_aep=ucberkeley"">Full-text of this article / review is available:Ж
â€¢149;Hartigan, Karelisa. ""Classical text and the director: the force(s) of necessity: Iphigenia at Aulis Euripides' play and Cacoyannis' film."" Theatre Studies, 1989, Issue 34, p47-64, 18p
â€¢149;MacDonald, Marianne.
""Eye of the Camera, Eye of the Victim: Iphigenia by Euripides and Cacoyannis."" In: Classical myth & culture in the cinema / edited by Martin M. Winkler. Oxford ; New York : Oxford University Press, 2001. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10087281"">Full text available onlineЖ (UCB users only); print Main (Gardner) Stacks PN1995.9.M96 C59 2001)
â€¢149;MacDonald, Marianne. ""Cacoyannis's and Euripides' Iphigenia: the dialectic of power."" Bucknell Review, 1991, Vol. 35 Issue 1, p127-158, 32p
â€¢149;MacDonald, Marianne. ""Interviews with Michael Cacoyannis and Irene Papas."" Bucknell Review, 1991, Vol. 35 Issue 1, p159-184, 26p
â€¢149;MacDonald, Marianne; Winkler, Marin M.
""Michael Cacoyannis and Irene Papas on Greek Tragedy."" In: Classical myth & culture in the cinema / edited by Martin M. Winkler. Oxford ; New York : Oxford University Press, 2001. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10087281"">Full text available onlineЖ (UCB users only); print Main (Gardner) Stacks PN1995.9.M96 C59 2001)

","Greek Cinema"
"Landscape in the Mist (Topio Sten Homichle) (France / Greece / Italy, 1988)","Directed by Theo Angelopoulos. Cast: Michalis Zeke, Tania Palaiologou, Stratos Tzortzoglou. This is the story of a journey across Greece by two children who've run away to find the father in Germany they've never seen, but whom their unwed mother has described in order ""to give them something to dream about."" 126 min. ; ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7191"">DVD X7191Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5656"">DVD X5656Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2978"">vhs 999:2978Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0096288/"">Credits and other information from the Internet Movie DatabaseЖ
","Greek Cinema"
"The Last Homecoming (O teleftaios gyrismos)(Cyprus, 2008)","Director, Corinna Avraamidou. Cast: Stavros Louras, Popi Avraam, Dimitris Xistras, Christopher Greco. Alexandra and Orestes are a young couple who decide to spend the summer holidays in the picture-perfect seaside town on Cyprus with Orestes' family. Phaedra, the mother of Orestes, decides to stage a play with the help of family and townspeople. When Orestes' brother and Phaedra's old lover enter the scene, tensions begin to mount, relationships are tested, and love and betrayal are all on the program. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2198"">DVD X2198Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt1321487/"">Credits and other information from the Internet Movie DatabaseЖ","Greek Cinema"
"A Matter of Dignity (To Teleutaio psemma) (1958)","Directed by Michael Cacoyannis (Mihalis Kakogiannis). Cast: Ellie Lambetti, George Pappas, Athena Michaelidou, Eleni Zafiriou. Cloe, a girl from a wealthy Greek family on the verge of bankruptcy, is pressured to marry a boring Greek-American millionaire whom she fundamentally despises. In love with another man, torn between passion and duty, Cloe must choose her destiny. 101 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+709"">DVD 709Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0051065"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Georgakas, Dan. ""From Stella to Iphigenia: the woman-centered films of Michael Cacoyannis."" (Critical Essay) Cineaste Spring 2005 v30 i2 p24(7) Ѭ href=""http://web5.infotrac.galegroup.com/itw/infomark/913/914/68621679w5/purl=rc1_EAIM_0_A130932594&dyn=33!xrn_3_0_A130932594?sw_aep=ucberkeley"">Full-text of this article / review is available:Ж

","Greek Cinema"
