"Source:","http://www.lib.berkeley.edu/MRC/dutchfilm.html"
"
Dutch Language Films


Ж
"Een pak slaag (Mr. Slotter's Jubilee)(Netherlands , 1979)","Directed by Bert Haanstra. Cast: Kees Brusse, Paul Steenbergen, Bernard Droog, Jeroen Krabbé, Eric Schneider, Ellen de Thouars, Eric van Ingen, Annet Nieuwenhuyzen. When Old Slieps retires from managing a baby-buggy factory, he passes his mantle on to Hein Slotter, a dull yet efficient manager. As time goes by, the company directors who intensely dislike the man develop a plan to humiliate Slotter at a celebration of his 25th anniversary as a means of venting their feelings. Based on the novel by Anton Koolhaas. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2165"">DVD X2165Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0079691/"">Information about Nightmail from the Internet Movie DatabaseЖ","Dutch Language Films"
"Fanfare (1958)","Directed by Bert Haanstra. Cast: Hans Kaart, Bernard Droog, Ineke Brinkman, Wim Van den Heuvel, Andrea Domburg, Albert Mol, Henk van Buuren, Herbert Joeks, Johan Valk, Ton Lutz, Riek Schagen, Sara Heyblom, Dio Huysmans. After a fight the brass band in a small village splits up into two separate bands. They both want to win a contest and will do anything to prevent the other band from winning it. 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2165"">DVD X2165Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0051600/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"Interview (2003)","Directed by Theo van Gogh. Cast: Pierre Bokma, Katja Schuurman. Against his will, a renowned journalist from a well-respected paper must interview the most popular actress in the Netherlands. Like competitors, the two go head-to-head while fighting an underlying sexual tension. Who will win this battle of razor-sharp tongues? 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6529"">DVD X6529Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0360674/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"Karakter (Character) (1997)","Directed by Mike van Diem. Cast: Jan DeCleir, Fedja Van Huet, Betty Schuurman, Tamar Van Den Dop, Victor Low, Hans Kesting. Dreverhaven is dead. The city's most feared bailiff, the curse of the poor, the agent of law without compassion--discovered with a knife through his heart. A self-taught lawyer who just passed his exams was the last person to see Drevehaven alive. Now, the police want to know why he visited the old man, and the young barrister is ready to tell the story of a lifetime. 125 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5532"">DVD 5532Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0119448/"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;Academy Award - Best Foreign Language Film



Reviews and articles:
â€¢149;Bosma, Peter. ""Character."" In: The cinema of the Low Countries / edited by Ernest Mathijs. London ; [New York] : Wallflower Press, 2004. (Main Stack PN1993.5.B425.C56 2004)

","Dutch Language Films"
"Keetje Tippel (Katie Tippel; Girl named Katy Tippel) (1975)","Directed by Paul Verhoeven. Cast: Rutger Hauer, Monique Van de Ven, Eddy Brugman, Andrea Domburg. In 1881 a young Dutch girl moves with her poor family from the farm to Amsterdam. Forced into prostitution by her mother, the feisty Keetje advances herself through a series of degrading jobs to become a woman of means, education and attainment. 77 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6177"">DVD 6177Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0073233/"">Credits and other information from the Internet Movie DatabaseЖ","Dutch Language Films"
"Lieve jongens (Dear Boys) (Netherlands, 1980)","Directed by Paul de Lussanet. Cast: Hugo Metsers, Hans Dagelet, Bill Van Dijk, Albert Mol. An exploration of the problem older homosexuals have in holding on to their younger lovers, as exemplified by the sexual fantasies of a middle-aged writer and the young men who dominate his life. Based on: Lieve jongens by Gerard Reve. 90 min.  ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4455"">DVD X4455Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3797"">vhs 999:3797Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0081051/"">Credits and other information from the Internet Movie DatabaseЖ","Dutch Language Films"
"May 6th (06/05)(2004)","Director, Theo van Gogh. Cast: Thijs Romer, Tara Elders, Cahit Olmez, Jack Wouterse, Johnny de Mol, Caro Lenssen. A dangerous game of cat and mouse is set in motion following the murder of a prominent Dutch politician. Tabloid photographer Jim de Booy, a crime scene witness, stumbles into an investigation that reveals a complex conspiracy, putting his life and the lives of everyone close to him at risk. Based on events surrounding the 2002 assassination of Pim Fortuyn. 117 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8558"">DVD 8558Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0419952/"">Credits and other information from the Internet Movie DatabaseЖ","Dutch Language Films"
"Mira (Belgium / Netherlands, 1971)","Director, Fons Rademakers. Cast: Willeke van Ammelrooy, Jan Decleir, Freek de Jonge Tells the story of a small and conservative West-Flemish village opposing the construction of a bridge over the Scheldt. 95 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7906"">DVD 7906Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0067436/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Martens, Erik. ""Mira."" In: The cinema of the Low Countries / edited by Ernest Mathijs. London ; [New York] : Wallflower Press, 2004. (Main Stack PN1993.5.B425.C56 2004)

","Dutch Language Films"
"Morlang (2001)","Director, Tjebbo Penning. Cast: Paul Freeman, Diana Kent, Susan Lynch, Eric van der Donk, Marcel Faber. When Morlang, a successful artist, learns that Ellen, his wife and muse of 15 years, has had an affair, he reacts by having an affair with a young admirer. The results are unexpected and devastating and strains the married couples relationship even more. The film is loosely based on a true story. 95 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6339"">DVD 6339Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0257935/"">Credits and other information from the Internet Movie DatabaseЖ
","Dutch Language Films"
"Najib & Julia(Netherlands, TV, 2002)","Director, Theo van Gogh. Cast: Tara Elders, Hanin Msellek, Jack Wouterse, Marlies Heuer. In this modern-day Romeo and Juliet story made for Dutch television, a hockey player, Julia, falls in love with a Moroccan pizza-delivery boy, Najib. In Dutch without subtitles. 300 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7824"">DVD 7824Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0338627/"">Credits and other information from the Internet Movie DatabaseЖ","Dutch Language Films"
