"Source:","http://www.lib.berkeley.edu/MRC/frenchculture.html"
"
French History and CultureContents:
"
"â€¢149; Ѭ href=""#history"">French History and Culture:Ж

â€¢149; Ѭ href=""#arts"">Art, Architecture, Music, Dance, TheaterЖ
"Louis XV et le Petit Trianon (1979)","Louis XV built le Petit Trianon in 1751--a pleasure house and retreat for the king that reflected the splendors of the Frech capital, truly the center of aristocratic life and baroque art. Louis XVI would later give it and its gardens to Marie Antoinette as her private domain. In French with English subtitles. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1168"">Video/C 1168Ж","French History and Culture"
"Louvre.","Presents paintings, drawings, sculpture, and objets d'art from antiquity through the middle of the 19th century chosen from the 7 departments of the Louvre Museum. Motion sequences with narration illustrate a number of the most important masterpieces. 1. Painting. Drawing -- 2. Sculpture. Objets d'art -- 3. Near and Middle Eastern antiquities. Egyptian antiquities. Greek and Roman antiquities. Narrated in English with alternate sound track in French. 3 videodiscs. c1989. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FD+13"">Video/D 13Ж","French History and Culture"
"Louvre: A Museum in Time.","One of the greatest inventions of the modern Western world, the idea of a ""museum"" appeared in Europe between the 17th and 18th centuries. No other civilization had ever considered gathering a large number of works of art with different origins in one place. This film traces the extraordinary history of the Louvre through two centuries, presenting how the Louvre was established and how the idea of ""museum"" became a reality. Presented in ""celebration of the bicentennial of the Louvre Museum & the opening of the Richelieu wing and the Grand Louvre."" c1993. 54 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9454"">Video/C 9454Ж","French History and Culture"
"Louvre: Selected Places","This program takes viewers on a guided tour of the new Grand Louvre in its totality, entering places which have never before been seen by the public, including the immense sculpture courts, the new installation of Taureaux of Khorsabad, the gilded apartments of the Duke de Morny, the ancient offices of the Finance Minister, and the round galley of the Seasons of Poussin. Highlights include the Great Gallery, the Medieval Castle, Egyptian antiquities, the Venus de Milo and the Mona Lisa. Presented in ""celebration of the bicentennial of the Louvre Museum & the opening of the Richelieu wing and the Grand Louvre."" c1993. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9455"">Video/C 9455Ж","French History and Culture"
"Mathematics of Architecture Building by Numbers (Seeing through mathematics; Building by numbers) (1997)","This film demonstrates how major architects from Andrea Palladio to Le Corbusier to Bernard Tschumi used math to design their projects. In the 20th century, Le Corbusier used ratios to purify proportional relationships in his Villa La Roche. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5373"">Video/C 5373Ж","French History and Culture"
"Notre-Dame, Cathedral of Amiens: The Power of Change in Gothic (1220-1269) (1995)","Amiens Cathedral, located north of Paris and built in the 50 years after 1220, offers an extraordinary experience of Gothic space and structure, expressing the height of the technical prowess of the Middle Ages. Using the most sophisticated techniques of our own age, advanced computer animation employing Softimage on Silicon Graphics computers at Columbia University, professor Stephen Murray and his team tell the original story of how the great French cathedral is encoded as an image of Heaven, the way it was built, and why it nearly collapsed. 13 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4722"">Video/C 4722Ж","French History and Culture"
"Related web sites:","â€¢149; Ѭ href=""http://www.columbia.edu/cu/udar/magazine/96-summer/amiens/index.html"">Amiens Project websiteЖ","French History and Culture"
"Paris, Living Space (1983)","Traces the history of the design of Paris, France, as seen through the work of five individuals whose efforts shaped the city into a system of linked thoroughfares, boulevards, and axes which have transcended individual projects and given Paris its unique character. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2591"">Video/C 2591Ж","French History and Culture"
"Paris: A Metropolitan Masterpiece. (Architecture 2000.)","This program investigates the era of modernization in Paris that saw Renzo Piano and Richard Rogers's Pompidou Cultural Center become a popular landmark while Carlos Ott's prestigious Bastille Opera House failed to meet city planners' expectations. Additional structures highlighted include the Grand Arch; ""The pyramid"" at the Louve, designed by I. M. Pei; the Institute of The Arab World; Jean Nouvel's ""Endless tower; the City of Science and Industry; and the skyscrapers of La Defense. c1999. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7076"">Video/C 7076Ж","French History and Culture"
"Paris in the 19th Century: The Making of a Modern City","Thoroughly maps out the transformation of Paris during the 19th century from a stifling, congested city to an aesthetically pleasing model of Industial Age modernity. French experts discuss key construction projects such as the Rue de Rivoli, the Parisian railroad system, the Bois de Boulogne and the Bois de Vincennes, the Paris aqueducts and sewers and the Eiffel Tower, all within the context of French history. 1998. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9087"">Video/C 9087Ж","French History and Culture"
"Paris, Roman d'une Ville. (Paris, Story of a City). (Anthony Roland Collection of Films on Art. 1991.)","Film made to mark the centenary of the death of Baron Haussmann. A scrutinization of objects in the city of Paris that are so familiar that they are no longer seen: a wooden shutter, the angle of a street, a carving on a facade, etc. In this film, Haussmann's scheme is considered as a rigorous and coherent means of controlling the growth of Paris, the city that became the yardstick by which all other European cities were judged. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6286"">Video/C 6286Ж","French History and Culture"
"Ѭ href=""#top"">To the topЖ
Ж","","Art
","Camille Claudel (1986)","Director, Bruno Nuytten. A historically accurate depiction of one of the most important collaborations in the history of art, that of legendary sculptor Rodin, and the creative prodigy Camille Claudel. 149 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+518"">DVD 518Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:1154"">VHS 999:1154Ж","French History and Culture"
"[Cézanne, Paul] Cézanne: The Man and the Mountain. (Portrait of an Artist; 6 )","Focuses on the central theme of Cezanne's painting: his fascination with nature and his love-hate relationship with his birthplace, Aix-en-Provence, most specifically the nearby mountain, Sainte Victoire, which he painted repeatedly throughout his life. Recognizes Cezanne as the ""father of modern painting."" 60 min. c1985. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1092"">Video/C 1092Ж","French History and Culture"
