"Source:","http://www.lib.berkeley.edu/MRC/katrina.html"
"
Hurricane Katrina
"
"
Ѭ href=""http://www.lib.berkeley.edu/MRC/level2.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/about.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/access.html"">Ж

Ѭ href=""http://www.lib.berkeley.edu/MRC/moviedb.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/FilmBibMenu.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/Catalogs/"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/filmstudies/index.html"">Ж","
"
"Killer Hurricane: Anatomy of Katrina","Taking viewers inside the worst natural disaster in recent American history, this program reconstructs major events that unfolded prior to, during, and in the aftermath of Hurricane Katrina's landfall. Beginning with the National Hurricane Center's efforts to track the storm, the video illustrates Katrina's merciless path across the Gulf Coast region in chilling detail. Compelling, on-the-scene accounts from survivors in the hardest-hit areas - and exclusive interviews with federal and state authorities, including FEMA officials - create a comprehensive picture of Katrina's tragic effects on infrastructure, economic conditions, and human lives. Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж c2005. 44 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8886"">DVD 8886Ж"
"Land of Opportunity","A character-driven documentary that interweaves the stories of a diverse group of people struggling to rebuild post-Katrina New Orleans. Juxtaposing different perspectives, from urban planners to immigrant workers to public housing residents, we see how the story of this city is the story of urban America. Filmed over a period of five years, this is a ground-level view of a situation that has been widely discussed but rarely seen with such texture and complexity. Extras include: Back On the Block (3 min.): In the summer of 2010, Tr'Vel Lyons returns to New Orleans and reflects on how it has changed, and St. Joe (9 min.): originally commissioned by New Orleans artist Bob Tannen, this video is a visual dirge to the bricks that built public housing in New Orleans. Producer, director, editor Luisa Dantas. Dist. Ѭ href=""http://www.newday.com/films/landofopportunity.html"">New Day FilmsЖ. 2010. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7053"">DVD X7053Ж"
"Law & Disorder","Behind the enduring images of heroic rescues undertaken by the New Orleans Police Department in the aftermath of Hurricane Katrina, there is another story of law enforcement in crisis, even out of control. This year-long, ongoing collaboration among Frontline, ProPublica, and the New Orleans Times-Picayune investigates charges that NOPD officers inappropriately used lethal force against New Orleans citizens and then tried to cover up their actions. Director, Thomas Jennings. Originally broadcast as an episode of Frontline on August 25, 2010. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5417"">DVD X5417Ж"
"The Storm","In August 2005, Hurricane Katrina -- a category 5 hurricane -- hit the U.S. Gulf coast, devastating New Orleans and causing the largest displacement of people since the Great Depression. This film examines the first critical hours of local, state, and federal emergency response to the hurricane. 2005. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5159"">DVD 5159Ж"
"Storm that Drowned a City","Featuring eyewitness testimony, takes an in-depth look at what made Hurricane Katrina so deadly and analyzes how, despite technically sophisticated flood and storm defenses, this event has resulted in unprecedented destruction for the Gulf Coast. In less than 12 hours on August 29, 2005, Hurricane Katrina devastated the Louisiana coast, leading to more than a thousand deaths and transforming a city of over one million into an uninhabitable swamp. Combining a penetrating analysis of what went wrong with a dramatic, minute-by-minute unfolding of events told through eyewitness testimony, investigates such questions as: What made this storm so deadly? Will powerful hurricanes like Katrina strike more often? How accurately did scientists predict its impact, and why did the levees protecting New Orleans fail? Originally broadcast on Nova in 2005. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5531"">DVD 5531Ж"
"Treme: The Complete First Season","Performers: John Goodman, Wendell Pierce, Steve Zahn, Melissa Leo, Michiel Huisman, Lucia Micarelli, Khandi Alexander, Rob Brown, Kim Dickens, Clarke Peters. In this television series amid the ruins of New Orleans, ordinary people--musicians, chefs, residents--find themselves clinging to a unique culture and wondering if the city that gave birth to that culture still has a future. Contents: Disc 1. Do you know what it means / director, Agnieszka Holland ; written by David Simon & Eric Overmyer. Meet de boys on the battlefront / director, Jim McKay ; teleplay, David Mills -- Disc 2. Right place, wrong time / director, Ernest Dickerson ; teleplay, Eric Overmyer. At the foot of Canal Street / director, Anthony Hemingway ; teleplay, George Pelecanos. Shame, shame, shame / director, Christine Moore ; teleplay, Lolis Eric Elie -- Disc 3. Shallow water, oh mama / director, Brad Anderson ; teleplay, Tom Piazza. Smoke my peace pipe / director, Simon Cellan-Jones ; teleplay, David Mills & Davis Rogan. All on a Mardi Gras Day / director, Anthony Hemingway; teleplay, Eric Overmyer -- Disc 4. Wish someone would care / director, Dan Attias ; teleplay, George Pelecanos. I'll fly away / director, Agnieszka Holland ; teleplay, David Simon. Originally broadcast in 2010. 632 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5589"">DVD X5589Ж"
"Trouble the Water","Aspiring New Orleans-based rapper Kimberly Rivers Roberts ((a.k.a.: Black Kold Madina) films her experiences in the 9th Ward the day before, during & in the two years after Hurricane Katrina. As the hurricane began to rage and the floodwaters filled their world, Kim and her husband Scott continued to film their harrowing retreat to higher ground and the dramatic rescues of friends and neighbors. The couple returned to the devastation of their neighborhood in New Orleans, only to be met by appalling repeated failures of the government. Special features: Deleted and extended scenes ; conversations with the directors, subjects, film critic Richard Roeper, and executive producer, Danny Glover ; theatrical trailer. Directed and produced by Tia Lessin and Carl Deal. 2008. 96 min. 

â€¢149;Awards
â€¢149;American Library Association Video Round Table: Notable Videos for Adults
â€¢149;Full Frame Documentary Festical - Best Picture

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2784"">DVD X2784Ж"
"Trying Days","A is a look at government action and inaction after Hurricane Katrina, and how the people of New Orleans organized to fight the injustice at the heart of the rebuilding process. Media Insurgente was a film collective that operated from 2005-07. Its mission was to capture important contemporary struggles for social justice. 23:35 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2751"">DVD X2751Ж"
"A Village Called Versailles (Làng Versailles (Vec Sai))","A documentary about Versailles, a community in eastern New Orleans first settled by Vietnamese refugees. After Hurricane Katrina, Versailles residents impressively rise to the challenges by returning and rebuilding before most neighborhoods in New Orleans, only to have their homes threatened by a new government-imposed toxic landfill just two miles away. Director, S. Leo Chiang. 2009. 67 min. 

â€¢149;Awards
â€¢149;American Library Association Video Round Table: Notable Videos for Adults



Related web sites:
â€¢149;Ѭ href=""http://www.newday.com/films/avillagecalledversailles.html"">Description from New Day Films catalogЖ



Reviews and articles:
â€¢149;Lam, Mariam B. ""A Village Called Versailles."" Visual Anthropology Review, 2010, Vol. 26 Issue 1, p52-53, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=50636939&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ


","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3195"">DVD X3195Ж"
"Wade in the Water","Through a mixture of private videos, and uncensored interviews, the children of New Orleans' violent Central City neighborhood have created a riveting look at life in New Orleans through the eyes of its children. The film class at Singleton Charter School invited students to take video cameras home and tell their stories expressing their thoughts in the chaos after Katrina. Through their own remarkably honest and unusual footage, we enter the kids shuttered housing projects, flooded homes and darkened streets to discover a New Orleans that was a disaster long before Katrina, a place where role models are scarce and gun violence is normal. Dist.: Ѭ href=""http://www.cinemaguild.com/"">Cinema GuildЖ. 2007. 75 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2112"">DVD X2112Ж"
"When the Levees Broke: A Requiem in Four Acts","An extensive documentary covering a wide variety of perspectives on the pivotal events that preceded and followed Katrina's passage through New Orleans, a catastrophe during which the divide between race and class lines has never been more pronounced. Special feature (Discs 1 & 2): Optional audio commentary by filmmaker Spike Lee. Directed by Spike Lee. Originally produced as a television documentary in 2006. 255 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6725"">DVD 6725Ж"
"When the Levees Broke: A Requiem in Four Acts","An extensive documentary covering a wide variety of perspectives on the pivotal events that preceded and followed Katrina's passage through New Orleans, a catastrophe during which the divide between race and class lines has never been more pronounced. Special feature (Discs 1 & 2): Optional audio commentary by filmmaker Spike Lee. Directed by Spike Lee. Originally produced as a television documentary in 2006. 255 min. 
â€¢149;Awards

â€¢149;American Library Association Video Round Table: Notable Videos for Adults
â€¢149;Emmy Awards - Exceptional Merit in Nonfiction Filmmaking; Outstanding Directing for Nonfiction Programming
â€¢149;Peabody Award
â€¢149;Venice Film Festival - Human Rights Film Network Award; Venice Horizons Documentary Award



Ѭ href=""http://www.lib.berkeley.edu/MRC/spikelee.html#levees"">See separate bibliography of reviews and articles about this filmЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6725"">DVD 6725Ж"
"Ѭ href=""http://www.lib.berkeley.edu/MRC/level2.html"">Ж"
