"Source:","http://www.lib.berkeley.edu/MRC/euroimmigrants.html"
"
The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US



"
"â€¢149;Ѭ href=""#immigrants"">Immigrants and Cultural Outsiders Within EuropeЖ","â€¢149;Ѭ href=""#gypsies"">Gypsies (Romanies, et al.)Ж","The Movies, Race, and Ethnicity:
"Beautiful People (UK, 1999)","Directed by Jasmin Dizdar. Cast: Linda Bassett, Charlotte Coleman, Edin Dzandzanovic, Nicolas Farrell, Julian Firth, Walentine Giorgiewa, Dado Jehan. ""In London, during October 1993, England is playing Holland in the preliminaries of the World Cup. The Bosnian War is at its height, and refugees from the ex-Yugoslavia are arriving. Football rivals, and political adversaries from the Balkans all precipitate conflict and amusing situations. Meanwhile, the lives of four English families are affected in different ways by encounter with the refugees; one of the]families improbably becomes involved with a Balkan refugee through the England vs. Holland match."" [Ѭ href=""http://www.imdb.com/title/tt0159272/plotsummary"">IMDBЖ] 117 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1948"">DVD 1948Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0159272/"">Credits and other information from the Internet Movie DatabaseЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Bend It Like Beckham (UK / Germany / USA, 2002)","Directed by Gurinder Chadha. Cast: Parminder Nagra, Keira Knightley, Jonathan Rhys Meyers, Anupam Kher, Archie Panjabi, Shaznay Lewis, Frank Harper, Juliet Stevenson. Eighteen year-old Jesminder's parents want her to be a nice, conventional Indian girl. But she just wants to play soccer like her hero, David Beckham. For Jess, that means kicking a ball around the local park with the lads until she's spotted by Jules, who invites her to join the local women's team. 112 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1948"">DVD 1948Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0286499/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasiansbib.html#beckham"">See separate bibliography of reviews and articles about this filmЖ","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Bhaji on the Beach (UK, 1995)","Directed by Gurinder Chadha. A comedy about a group of Indian women, living in England, who are brought together by a day at the beach. In the course of their day together , their ordinary lives become an extraordinary celebration. A unique look at female friendship. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1331"">vhs 999:1331Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?Bhaji+on+the+Beach+(1993)"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasiansbib.html#bhaji"">See separate bibliography of reviews and articles about this filmЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Black Dju! (Luxembourg, 1996)","Directed by Pol Cruchten. From the sun of the Cape Verde Island, its a very big step to rainy, land-locked Luxembourg, but that's the journey Dju Dele Dibonga takes to track down his dad, whose yearly visits and monthly guest worker checks have stopped. Dju has to face overzealous immigration cops and an outraged police lieutenant who eventually joins in the hunt, becoming Dju's partner in this tale of love and friendship. In Portuguese and French with English subtitles. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1987"">vhs 999:1987Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0137389/"">Credits and other information from the Internet Movie DatabaseЖ","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Black Girl (La Noire de--) (Senegal/France, 1966)","Directed by Sembene Ousmane. A young Senegalese servant girl accompanies a white family in its move to France. Harsh treatment leads her to lose all self-esteem and she commits suicide. The couple returns to Dakar to offer the girl's parents money, but they refuse it. The film raises questions on neo-colonialism, migrant workers and passivity vs. protest. In French with English subtitles. 56 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5341"">DVD 5341Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3114"">vhs 999:3114Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0060758"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/AfricanBib.html#blackgirl"">See separate bibliography of reviews and articles about this filmЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Born in Absurdistan (ne en Absurdistan) (Austria, 1999)","Directed by Franco Brusati. Cast: Julia Stemberger; Karl Markovics, Meltem Cumbul, Ahmet Ugurlu, Josef Hader. In the hospital the new-born babies of an Austrian couple and a Turkish family of immigrant workers are mixed up and go home with the wrong parents. By the time the mistake comes to light, the Turkish family has been deported so the Austrian couple begins a confusing odyssey through Turkey to track down the family to their native village in order to exchange their children. 104 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2122"">DVD 2122Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0235413/"">Credits and other information from the Internet Movie DatabaseЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Bread and Chocolate (Pane e Cioccolata) (Italy, 1973)","Directed by Franco Brusati. A comic but poignant portrait of an Italian immigrant working odd jobs in prosperous Switzerland and trying desperately to fit in. Though his work becomes increasingly degrading, he tenaciously refuses to give up and go home. This hapless Everyman is eternally rejected yet ever-hopeful. 109 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1062"">DVD 1062Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1560"">vhs 999:1560Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0070506/"">Credits and other information from the Internet Movie DatabaseЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Brick Lane (UK / India, 2007)","Directed by Sarah Gavron. Cast: Tannishtha Chatterjee, Satish Kaushik, Christopher Simpson. Follows the life of Nazneen a young Muslim girl who leaves her Bangladeshi village after an arranged marriage at seventeen. She and her husband move to London's East End. There she tries to devote herself to duty and family, yet is drawn to Karim, a young hothead. The story is set in 1980s Britain, during a climate of rising racial tensions. Based on the novel by Monica Ali. 102 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1115"">DVD X1115Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0940585/"">Credits and other information from the Internet Movie DatabaseЖ","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Brothers in Trouble (UK, 1996)","Directed by Udayan Prasad. Paints a vivid portrait of the secret lives and loves of a group of illegal Pakistani immigrants in 1960's Britain. When Hussein, the leader of a house overcrowded with desperate, lonely men, brings home his British, pregnant girlfriend, the delicate balance that maintains the men's lives is undone. 98 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2343"">vhs 999:2343Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0112586"">Credits and other information from the Internet Movie DatabaseЖ
","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
"Bye-Bye (France / Belgium / Switzerland, 1995)","Director, Karin Dridi. Cast: Sami Bouajila, Nozha Kouadra, Philippe Ambrosini. After a family tragedy, two young French-Arab brothers leave Paris and end up on the door step of their uncle and his family in Marseilles. Once there, the two are pulled apart as one is seduced by the streets and its life of drugs and crime, while the other desperately seeks to rescue his brother without falling to its temptations. 107 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3497"">vhs 999:3497Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0112607/"">Credits and other information from the Internet Movie DatabaseЖ","The Movies, Race, and Ethnicity:
Immigrants and Cultural Outsiders Outside the US"
