"Source:","http://www.lib.berkeley.edu/MRC/mixedracevid.html"
"
People of Mixed Race
Interracial Marriage/Dating/Families



"
"Children of Mixed Race = Who You Wanna Be. 1997.","A study of the various types of identities that interracial people have had to invent for themselves. Based on interviews with racially mixed students at the University of California, Berkeley, who speak about their perceptions of their own personal identities. An Ethnic Studies 150 Project by Sean Lightholder, UCB, 1997. 38 min.  

â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx2/mixedrace.asx"">View this video onlineЖ 
Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4251"">DVD 4251Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6093"">Video/C 6093Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Coffee Colored Children.","A semi-autobiographical story set in England of racism, prejudice, and self-definition experienced by bi-racial children of a Caucasian/Nigerian marriage. A film by Ngozi Onwurah. 17 min.  


Related web sites:
â€¢149;Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ


","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2407"">DVD X2407Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3280"">Video/C 3280Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc102"">s/c102Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Crossing the Line","This documentary analyzes how mixed race comedians mediate multiracial identities and humor. Crossing lines of racial, ethnic, and cultural acceptability by their very existence, multiracial comedians reveal that meanings of race vary across ethnic combination, gender, place, and time. The film features the experiences, perspectives, and performances of American comedians of more than one racial ancestry. The timeliness of multiracial comedians' roles as crossracial mediators is underscored as they provide insight into controversies over how comedians express race (i.e., Michael Richards' use of the N-word, Rosie O' Donnell's slurs), and other debated meanings of race in an increasingly diverse society. Exploring these questions exposes the very nature of where pain and laughter come from in a racially divided world. Special features: Disc 2, (77 min.) Special educational features: extended interviews with Paul Spickard and Reginald Daniel; extended comedy routines by Jim Ruel, Tessie Chua; game/interactive class activity, Where's the line? Based on Darby Li Po Price's Mixed laughter : mediating multiracial identities in American ethnic comedy (Ph.D. diss., University of California, Berkeley, 1998) (Main 308t 1998 863) 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X899"">DVD X899Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Days of Waiting: The Life and Art of Estelle Ishigo.","Documentary about artist Estelle Peck Ishigo, a Caucasian woman interned during World War II with her Japanese American husband at Heart Mountain Relocation Center, Wyo. Vivid portrayal through her words and drawings and through photographs of the deprivations and humiliations of camp life, and the difficulties of readjustment at war's end. 30 min. 

Related web sites:
â€¢149; Ѭ href=""http://asianamericanmedia.org/rf_cms/index.php?cmd=showPage&page_id=1.4.1.2.44&section=1.4"">Center for Asian American Media catalog descriptionЖ


","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2177"">Video/C 2177Ж","Reviews and articles:

â€¢149; Journal of American History v82, n3 (Dec, 1995):1324 (2 pages).
â€¢149; American Historical Review v98, n4 (Oct, 1993):1181 (4 pages).

","People of Mixed Race
Interracial Marriage/Dating/Families"
"Do 2 Halves Really Make a Whole?","This video features the diverse viewpoints of people with multiracial Asian heritages and their personal experiences in growing up as multiracial Asian Americans. African and Japanese American poet and playwright, Velina Hasu Houston, lives an amalgamated existence and encourages others to take pride in all that they are. Performance artist, Dan Kwong, struggles with two strong Asian heritages, Japanese and Chinese American, while Brenda Wong Aoki uses her unique ethnic mix of four cultural heritages to intersect social circles. 29 min. 

Related web sites:
â€¢149; Ѭ href=""http://asianamericanmedia.org/rf_cms/index.php?cmd=showPage&page_id=1.4.1.2.50&section=1.4"">Center for Asian American Media catalog descriptionЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3831"">Video/C 3831Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Domino: Interracial People and the Search for Identity","Portrays the stories of six interracial people, exploring issues of identity, cultural isolation, and the search for community. Through these personal stories, each person recounts how their identity is affected by their parents' history, hierarchies of race, gender roles, and class. Ultimately, these six individuals demonstrate how living intimately with two cultures can be a source of strength and enrichment. 45 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4997"">Video/C 4997Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Doubles: Japan and America's Intercultural Children.","After World War II, despite orders forbidding it, fraternization between U.S. soldiers and Japanese women resulted in a number of children born in and out of wedlock. This film focuses on interview with American soldiers, Japanese women, and their biracial children thirty years after the Allies occupied Japan. Includes documentary footage of the allied occupation between 1945 and 1952. Producer/director, Regge Life. 59 min. .","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4072"">Video/C 4072Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"En Ryo Identity: A Reclamation","This experimental documentary addresses the complexities inherent in establishing and asserting a biracial identity. Berges also explores mainstream media constructions and stereotypical images of Asian American identity juxtaposed with Hollywood representations of Asians and interviews with his Japanese American grandmother on her internment camp experiences. 23 min. 

Related web sites:
â€¢149; Ѭ href=""http://asianamericanmedia.org/rf_cms/index.php?cmd=showPage&page_id=1.4.1.2.58&section=1.4"">Center for Asian American Media catalog descriptionЖ


","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3826"">Video/C 3826Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"Family Matters.(Way We Live: Introduction to Sociology; 15)","The traditional or nuclear family of the 1950s and 1960s is what most of us think of when asked to define ""family."" But the idea that there is a typical family is perhaps little more than a myth. This lesson considers the diversity of family forms that exist today and cultural shifts that are changing the definition of ""family."" You will meet the Scott-Chung family and a lesbian couple who discuss their decision to start a family. 2005. 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4811"">DVD 4811Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
"First Person Plural","A personal and political film about the filmmaker's experiences being adopted from South Korea at the age of nine and raised by an American Caucasian family. In this personal documentary she chronicles her struggle to reconcile the demands of two families, two cultures and two nations. 1999. 59 min. 

Related web sites:
â€¢149; Ѭ href=""http://asianamericanmedia.org/rf_cms/index.php?cmd=showPage&page_id=1.4.1.2.65&section=1.4"">Center for Asian American Media catalog descriptionЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2958"">DVD X2958Ж","People of Mixed Race
Interracial Marriage/Dating/Families"
