"Source:","http://www.lib.berkeley.edu/MRC/politicalmovies.html"
"
U.S. Politics and the Movies & Television



"
"â€¢149;Ѭ href=""#presidents"">The PresidentЖ","â€¢149;Ѭ href=""#politicians"">Politicians and PolitickingЖ","â€¢149;Ѭ href=""#coldwar"">The Cold War Goes to the MoviesЖ","â€¢149;Ѭ href=""#counterculture"">Sixties Counterculture Takes on the EstablishmentЖ","â€¢149;Ѭ href=""#misc"">Miscellaneous PoliticsЖ","U.S. Politics and the Movies & Television"
"Young Mr. Lincoln (1939)","Directed by John Ford. Cast: Henry Fonda, Alice Brady, Marjorie Weaver, Arleen Whelan. Ten formative years in the life of one of America's greatest statesmen are brought vividly to the screen by Henry Fonda in this fictionalized biography of Abraham Lincoln's early years as a lawyer in Springfield, Illinois. 137 min. ; also ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5100"">DVD 5100Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9362"">DVD 9362Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1039"">vhs 999:1039Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0032155"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ


","Ѭ href=""http://www.lib.berkeley.edu/MRC/johnford.html#lincoln"">See separate bibliography of reviews and articles about this filmЖ


See also:
â€¢149;Krukones, Michael G. ""Motion Picture Presidents of the 1930s: Factual and Fictional Leaders for a Time of Crisis."" In: Hollywood's White House : the American presidency in film and history / edited by Peter C. Rollins and John E. O'Connor. Lexington : University Press of Kentucky, c2003. (Main (Gardner) Stacks and Pacific Film Archive PN1995.9.U64 H65 2003)

","U.S. Politics and the Movies & Television"
"Politicians and PolitickingЖ","Advise and Consent (1962)","Producer/director, Otto Preminger. Cast: Henry Fonda, Charles Laughton, Don Murray, Walter Pidgeon, Peter Lawford, Gene Tierney, Franchot Tone, Lew Ayres, Burgess Meredith, Eddie Hodges, Paul Ford, George Grizzard, Inga Swenson. Blackmail, suicide and scandal follow the President's appointment of an unpopular Secretary of State, and put the stability of the entire U.S. Government at risk in this highly praised political drama. Based on the novel by Allen Drury. 139 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3927"">DVD 3927Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0055728"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Kelley, Beverly Merrill. ""Elitism in Advise and Consent."" In: Reelpolitik II : political ideologies in '50s and '60s films / Beverly Merrill Kelley. Lanham, MD : Rowman & Littlefield, c2004. (Main (Gardner) Stacks PN1995.9.P6 K43 2004)
â€¢149; Poe, G. Tom. ""Secrets, Lies And Cold War Politics: ""Making Sense"" of Otto Preminger's Advise and Consent."" Film History 1998 10(3): 332-345. Ѭ href=""http://www.jstor.org/stable/3815227"">Full-text of this article / review is available:UC users onlyЖ


","U.S. Politics and the Movies & Television"
"All the King's Men (1949)","Director, Robert Rossen. Cast: Broderick Crawford, John Ireland, Joanne Dru, John Derek, Mercedes McCambridge. An honest man from a small town is elected mayor and then governor, but power corrupts him absolutely and he ruins his own life and those of his friends before being assassinated. Based on the book by Robert Penn Warren. 109 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5484"">DVD 5484Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:264"">vhs 999:264Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0041113"">Credits and other information from the Internet Movie DatabaseЖ



â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ




Ѭ href=""http://www.lib.berkeley.edu/MRC/politicsbib.html#kingsmen"">See separate bibliography of reviews and articles about this filmЖ


","U.S. Politics and the Movies & Television"
"All the King's Men(2006)","Directed by Steven Zaillian. Cast: Sean Penn, Jude Law, Kate Winslet, James Gandolfini, Mark Ruffalo, Patricia Clarkson, Kathy Baker, Jackie Earle Haley, Anthony Hopkins. Willie Stark is an uncorrupted small-town mayor in 1950s Louisiana. He gets picked by the political machine to run as a wild card candidate in the upcoming gubernatorial race. But, when Willie realizes that he is being manipulated, he veers off on his own to become the darling of the electorate's downtrodden and forgotten hicks. Covering the campaign for a local paper is Jack Burden, whose editorial pieces become so admiring of Willie that he's fired. But, when Stark wins, Burden hires onto the new governor's team as a personal aide. Once in office, Governor Stark antagonizes the state legislature, the oil companies, and the moneyed classes with his share-the-wealth promises to the sweaty masses. Legislators become so outraged that they start serious impeachment talk, a move supported by the admired and retired Judge Irwin, who also happens to be Jack's godfather. Based on the life of Huey Pierce Long, governor of Louisiana and senator. Special features: The making of All the king's men (featurette) ; An American classic (featurette) ; La. confidential: on location with All the king's men (featurette) ; Shake hands with the devil (featurette) ; The legend and lore of Huey Long (featurette) ; deleted scenes. 128 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6716"">DVD 6716Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0405676/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"The Arena (TV, 1956)","Directed by Franklin Schaffner. Cast: Wendell Corey, Chester Morris, John Cromwell, Leonra Dana, Edgar Stehli, Harry Holcombe. This political parable written by Rod Serling tells of a young senator named Norton newly appointed to fill out the term of one who has just died. Norton comes with a chip on his shoulder -- his father had been a senator from the same state until he was forced out of politics by the same man Norton now has to deal with because he's a colleague. Norton acquires the ammo to avenge his father but wrestles with whether or not he should use it. Originally broadcast on the television series Studio One on April 8, 1956. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X596"">DVD X596Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0040051/"">Credits and other information from the Internet Movie DatabaseЖ","U.S. Politics and the Movies & Television"
"Bob Roberts (1992)","Directed by Tim Robbins. Cast: Tim Robbins, Giancarlo Esposito, Ray Wise, Gore Vidal, John Cusack, Peter Gallagher, Susan Sarandon, Fred Ward. A satirical comedy in which a radical folksinger turned senatorial candidate blends singing, music videos and scandal on the campaign trail. Special DVD features: Commentary with Tim Robbins ; commentary with Tim Robbins and Gore Vidal ; commentary with political editors, Alex Cockburn and Jeffrey St. Clair ; deleted scenes ; theatrical trailer ; TV spots ; photo gallery ; cast and crew information ; production notes. 102 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1040"">DVD X1040Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1189"">vhs 999:1189Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0103850"">Credits and other information from the Internet Movie DatabaseЖ



Reviews and articles:
â€¢149;Troy, Gil. ""Bob Roberts."" American Historical Review, 1993, Vol. 98 Issue 4, p1186-1188, 3p Ѭ href=""http://www.jstor.org/stable/2166618"">Full-text of this article / review is available:UC users onlyЖ

","U.S. Politics and the Movies & Television"
"Bobby (2006)","Directed by Emilio Estevez. Cast: Harry Belafonte, Joy Bryant, Nick Cannon, Emilio Estevez, Laurence Fishburne, Brian Geraghty, Heather Graham, Anthony Hopkins, Helen Hunt, Joshua Jackson, David Krumholtz, Ashton Kutcher, Shia LaBeouf, Lindsay Lohan, William H. Macy, Demi Moore, Freddy Rodriguez, Martin Sheen, Christian Slater, Sharon Stone, Elijah Wood. Revisits the night presidential-hopeful Robert F. Kennedy was assassinated at the Ambassador Hotel in 1968. As the lives of those who were present dramatically intersect, Bobby shows how the gunshots that rang out that night forever changed the course of American history. Special features: 'Bobby' : the making of an American epic ; Eyewitness accounts from the Ambassador Hotel ; theatrical trailer. 119 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7463"">DVD 7463Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0308055/"">Credits and other information from the Internet Movie DatabaseЖ



Reviews and articles:
â€¢149;Briley, Ron. ""Bobby."" Journal of American History, Dec2007, Vol. 94 Issue 3, p1041-1042, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=28142215&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","U.S. Politics and the Movies & Television"
"Bulworth (1998)","Directed by Warren Beatty. Cast: Warren Beatty, Halle Berry, Oliver Platt, Paul Sorvino, Jack Warden, Isaiah Washington. A suicidally disillusioned liberal politician puts a contract out on himself and takes the opportunity to be bluntly honest with his voters by affecting the rhythms and speech of hip-hop music and culture. 108 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1037"">DVD X1037Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0118798"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/politicsbib.html#bulworth"">See separate bibliography of reviews and articles about this filmЖ
","U.S. Politics and the Movies & Television"
"The Candidate (1972)","Directed by Michael Ritchie. Cast: Robert Redford, Peter Boyle, Melvin Douglas. Bill McKay is enlisted by campaign maestro Marvin Lucas to run for U.S. Senator. McKay agrees, but only if he can say exactly what he thinks. That approach is all well and good when McKay does not seem to have a chance, but things change when his honesty unexpectedly captivates the electorate. As McKay inches up in the polls, Lucas and company start to do what it takes to win, leaving McKay to ponder the consequences of his political seduction. 114 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6424"">DVD 6424Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0068334"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Alkana, Linda. ""The Absent President: Mr. Smith, The Candidate, and Bulworth."" In: Hollywood's White House : the American presidency in film and history / edited by Peter C. Rollins and John E. O'Connor. Lexington : University Press of Kentucky, c2003. (Main (Gardner) Stacks and Pacific Film Archive PN1995.9.U64 H65 2003)




See also:
â€¢149;""The Candidate."" In: Best American screenplays. First series : complete screenplays / edited by Sam Thomas ; foreword by Frank Capra. New York : Crown Publishers, c1986. (Main (Gardner) Stacks PN1997.A1 B36 1986)

","U.S. Politics and the Movies & Television"
"Charlie Wilson's War (2007)","Directed by Mike Nichols. Cast: Tom Hanks, Amy Adams, Julia Roberts, Philip Seymour Hoffman. In the early 1980s, Charlie Wilson is best known as a womanizing US congressional representative from Texas. He seemed to be in the minor leagues, except for the fact that he is a member of two major foreign policy and covert-ops committees. However, once Charlie is prodded by his major conservative supporter, Joanne Herring, Wilson learns about the plight of the people who are suffering from the effects of the brutal Soviet occupation of Afghanistan. With the help of the maverick CIA agent, Gust Avrakotos, Wilson dedicates his canny political efforts to supply the Afghan mujahideen with the weapons and support needed to defeat the Soviet Union. Ultimately, Charlie learns that while military victory can be obtained, there are other consequences and prices to that fight that are ignored to everyone's sorrow. Based on a true story. Based on the book by George Crile. 102 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9627"">DVD 9627Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0472062/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:

â€¢149;Nadel, Alan. ""Charlie Wilson's War."" Journal of American History; Jun2008, Vol. 95 Issue 1, p286-287, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=32796620&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Patterson, Hannah. ""Charlie Wilson's War."" Sight & Sound, Mar2008, Vol. 18 Issue 3, p61-62, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=31783773&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Rozen, Laura. ""The spook stays in the picture."" Mother Jones; Jan/Feb2008, Vol. 33 Issue 1, p22, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=fqh&AN=28125864&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Sklar, Robert. ""Charlie Wilson's War."" Cineaste, Spring2008, Vol. 33 Issue 2, p48-49, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=31423284&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","U.S. Politics and the Movies & Television"
"Citizen Kane (1941)","Directed by Orson Welles. Cast: Orson Welles, Joseph Cotten, William Alland, Everett Sloane, Agnes Moorehead. When one of the world's richest and most influential men dies muttering the word ""Rosebud"", a newspaper's managing editor insists that Kane's obituary film is missing something and ""needs an angle."" He orders his top reporter Thompson (Alland) to discover what ""Rosebud"" means. Thompson searches for, finds, and interviews five key figures, but ulimately does not solve the mystery. At one point in his career Kane runs for governor against corrupt political boss Jim Gettys. Gettys discovers that Kane has a mistress and uses this information to blackmail him into quitting the race. Despite the hurt that scandal will bring to his family and the mistress, Kane refuses, convinced that he has the love of the electorate. He is mistaken, however, and loses the race. Because Kane was purportedly based on newspaper mogul William Randolph Hearst, efforts were made to surpress the film, by 'Hearst hatchet woman' Louella Parsons, among others. 119 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+852"">DVD 852Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:85"">VHS 999:85Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0033467/"">Credits and other information from the Internet Movie DatabaseЖ



â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ


","Ѭ href=""http://www.lib.berkeley.edu/MRC/wellesbib.html#kane"">See separate bibliography of reviews and articles about this filmЖ","Ѭ href=""http://www.americanrhetoric.com/MovieSpeeches/moviespeechcitizenkane2.html"">Charles F. Kane campaigns for governorЖ (online audio via AmericanRhetoric.com","U.S. Politics and the Movies & Television"
"Daffy Duck for President. (196?)","Animated short. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3137"">DVD 3137Ж","U.S. Politics and the Movies & Television"
"Election (1999)","Directed by Alexander Payne. Cast: Matthew Broderick, Reese Witherspoon, Chris Klein, Jessica Campbell, Mark Harelik, Phil Reeves. In this satirical comedy, a hotly contested high school election becomes a metaphor for the current state of American politics. Tracy Flick, a straight-A go-getter is determined to become president of Carver High's student body. Popular teacher Jim McAllister decides to derail Tracy's obsessive overachieving by recruiting an opposition candidate. 103 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+620"">DVD 620Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0126886"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"A Face in the Crowd (1957)","Directed by Elia Kazan. Cast: Andy Griffith, Patricia Neal, Anthony Franciosa, Walter Matthau, Lee Remick, Kay Medford, Bennett Cerf, Virginia Graham, Burl Ives, John Cameron Swayze, Mike Wallace, Walter Winchell. Lonesome Rhodes, a big ol' teddy bear of a man, sits in a dusty, squalid Arkansas jail, swapping stories with his fellow drifters and plunking on his guitar. It's not much of a life -- until a chance encounter skyrockets Lonesome to TV fame and more money, and power than even the greediest man can handle.
""A Face in the Crowd addresses many of the same issues [as All the King's Men] in its tale of Lonesome Rhodes (Andy Griffith), a hillbilly singer who parlays his television popularity into a political movement promoting the presidential campaign of the right-wing Senator Fuller, ""last of the isolations."" Rhodes is betrayed by an open microphone that allows the audience for his nationwide broadcasts to hear his contemptuous statements about the ""sheep"" who believe his speeches."" [from The Columbia companion to American history on film : how the movies have portrayed the American past / edited by Peter ... New York : Columbia University Press, c2003. Main Stack PN1995.9.U64.C65 2003] 126 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3923"">DVD 3923Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0050371"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ



Reviews and articles:

â€¢149;Ecksel, Robert. ""Fascism, American Style: Revisiting Kazan and Schulberg's A Face in the Crowd."" Bright Lights Film Journal, Aug2008, Issue 61, p9-9, 1p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=34118792&site=ehost-live"">Full-text of this article / review is available:Ж
â€¢149;Hoberman, J. ""The Long Road of Lonesome Rhodes: Reconsidering ""A Face in the Crowd."" Virginia Quarterly Review, Fall2008, Vol. 84 Issue 4, p116-127, 12p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=34687906&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Kelley, Beverly Merrill. ""Fascism in A Face in the Crowd."" In: Reelpolitik II : political ideologies in '50s and '60s films / Beverly Merrill Kelley. Lanham, MD : Rowman & Littlefield, c2004. (Main (Gardner) Stacks PN1995.9.P6 K43 2004)
â€¢149;Winchell, Mark Royden. ""A Face in the Crowd."" In: God, man, and Hollywood : politically incorrect cinema from ""The birth of a nation"" to ""The Passion of the Christ"" / Mark Royden Winchell. Wilmington, Del. : ISI Books, c2008. (Main (Gardner) Stacks PN1995.9.S6 W53 2008)
â€¢149; Yates, J. ""Smart man's burden: 'Nashville', 'A face in the crowd' and popular culture."" Journal of Popular Film and Television Vol V nr 1 (1976); p 19-28

","U.S. Politics and the Movies & Television"
"George Wallace (1997)","Directed by John Frankenheimer. Cast: Gary Sinise, Mare Winningham, Angelina Jolie, Terry Kinney, William Sanderson. Governor of Alabama, George Wallace was an infamous politician and segregationist. He had a lust for power and status that made him bedfellows with racists and became one of the most destructive and most hated American politicians of his time. Follows George from his early days as a state circuit judge to his presidential run, when he was paralyzed by a would-be assassin. Based on the book by Marshall Frady. Originally broadcast by TNT Aug. 24, 1997. 185 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X941"">DVD X941Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0119189/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"Great McGinty (1940)","Directed by Preston Sturges; Brian Donlevy, Muriel Angelus, Akim Tamiroff. In this comedy Dan McGinty is a hungry hobo who wows the ballot-stuffers by voting 37 times in an election for mayor. He immediately becomes the protege of a political boss. The boss guides and schemes McGinty to alderman, mayor and ultimately governor. McGinty flees the country and winds up as a bartender in a seedy Central American dive where the tale has a gleeful surprise ending. 82 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6582"">DVD 6582Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:810"">vhs 999:810Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0032554"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sturges.html"">Preston Sturges bibliographyЖ




See also:
â€¢149;""The Great McGinty."" In: Five screenplays / by Preston Sturges ; edited with an introduction by Brian Henderson. Berkeley : University of California Press, c1985. (Main (Gardner) Stacks PN1997.A1 S84 1985)


","U.S. Politics and the Movies & Television"
"The Last Hurrah (1962)","Directed by John Ford; Cast: Spencer Tracy, Jeffrey Hunter, Dianne Foster, Pat O'Brien, Basil Rathbone, Donald Crisp, James Gleason. Frank Skeffington, the political boss of a New England town, fights his last campaign. This flavorful melodrama is based on Edwin O'Connor's novel of politics, loosely patterned after the life of Boston's Mayor Curley. 121 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+304"">DVD 304Ж","â€¢149; Ѭ href=""%20http://us.imdb.com/Title?0051845"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Kelley, Beverly Merrill. ""Populism in the Last Hurrah."" In: Reelpolitik II : political ideologies in '50s and '60s films / Beverly Merrill Kelley. Lanham, MD : Rowman & Littlefield, c2004. (Main (Gardner) Stacks PN1995.9.P6 K43 2004)


","U.S. Politics and the Movies & Television"
"Mr. Smith Goes to Washington (1939)","Directed by Frank Capra; Cast: James Stewart, Jean Arthur, Claude Rains, Edward Arnold. A naive Jefferson Smith is appointed as a U.S. Senator by a corrupt political party machine. When Smith stumbles across a pending bill which promotes graft, he himself is falsely implicated in the scheme. Smith fights back with a heroic one-man filibuster, ending in the exposure of the guilty parties. 130 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7188"">DVD 7188Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+202"">DVD 202Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0031679"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ



","Ѭ href=""http://www.lib.berkeley.edu/MRC/capra.html#mrsmith"">See separate bibliography of reviews and articles about this filmЖ
Online audio via AmericanRhetoric.com

â€¢149; Ѭ href=""http://www.americanrhetoric.com/MovieSpeeches/moviespeechmrsmithgoestowashingtonoath.html"">Senator Smith takes his oath of officeЖ
â€¢149; Ѭ href=""http://www.americanrhetoric.com/MovieSpeeches/moviespeechmrsmithgoestowashingtonboyscamp.html"">Senator Smith introduces National Boys Camp billЖ
â€¢149; Ѭ href=""http://www.americanrhetoric.com/MovieSpeeches/moviespeechmrsmithgoestowashingtonfilibuster1.html"">Senator Smith opens filibusterЖ
â€¢149; Ѭ href=""http://www.americanrhetoric.com/MovieSpeeches/moviespeechmrsmithgoestowashingtonendfilibuster.html"">Senator Smith collapses and ends filibusterЖ

","U.S. Politics and the Movies & Television"
"The Cold War Goes to the MoviesЖ","

See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/Warfilm.html#wwIII"">Cold War/Nuclear War MoviesЖ


","U.S. Politics and the Movies & Television"
"Comrade X(1940)","Directed by King Vidor. Cast: Clark Gable, Hedy Lamarr, Oscar Homolka, Felix Bressart, Eve Arden. When the Russian chief of police tells Moscow's foreign correspondents that one of them is the anonymous writer Comrade X, it doesn't worry American reporter McKinley Thompson. He's positive no one would know it's him until Vanya, his bumbling valet, finds his secret camera. Threatening to reveal his identity, Vanya blackmails McKinley into taking his revolutionist daughter out of Russia before she is executed. All he has to do is lure the diehard Communist from the country she loves, get her to marry him and live in Brooklyn. 90 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3155"">DVD X3155Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3526"">vhs 999:3526Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0032349/"">Credits and other information from the Internet Movie DatabaseЖ

See also:
â€¢149;Small, Melvin. ""Buffoons and Brave Hearts: Hollywood Portrays the Russians, 1939-1944."" California Historical Quarterly, Vol. 52, No. 4 (Winter, 1973), pp. 326-337 Ѭ href=""http://www.jstor.org/stable/25157468"">Full-text of this article / review is available:UC users onlyЖ


","U.S. Politics and the Movies & Television"
"Fail-Safe (1964)","Director: Sidney Lumet. Cast: Henry Fonda, Dan O'Herlihy, Walter Matthau, Frank Overton, Edward Binns, Larry Hagman, Fritz Weaver. A computer malfunction causes nuclear equiped American bombers to destroy Moscow and the president of the United States has to take terrible measures to appease the Soviets and prevent all-out nuclear war. 111 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4722"">DVD 4722Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0058083/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/lumet.html#failsale"">See separate bibliography of reviews and articles about this filmЖ","U.S. Politics and the Movies & Television"
"Fellow Traveller(TV, 1989)","Directed by Philip Saville. Cast: Ron Silver, Hart Bochner, Imogen Stubbs, Daniel J. Travanti. In Hollywood during the 1950's, screenwriter Asa Kaufman reflects on his Communist associations and knows that he will soon be forced to testify before committees investigating ""Un-American"" activities. He can no longer find employment in Hollywood anyway, so decides to flee to England and get work there writing children's TV. Soon after arriving, he hears that his best friend since childhood, actor Clifford Byrne, has committed suicide. Asa is sure that this is related to the witch-hunts, and has to find out exactly what the relation is."" [Internet Movie Database] 97 min. 999:3691","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0097346/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:
â€¢149;Hall, Jeanne. ""The Benefits of Hindsight: Re-Visions of HUAC and the Film and Television Industries in ""The Front"" and ""Guilty by Suspicion"" ."" Film Quarterly. Vol. 54, No. 2, Winter, 2000-2001, pp. 15-26 Ѭ href=""http://www.jstor.org/stable/1213625"">Full-text of this article / review is available:UC users onlyЖ

","U.S. Politics and the Movies & Television"
"The Front (1976)","Director, Martin Ritt. Performers: Woody Allen, Zero Mostel, Herschel Bernardi, Michael Murphy. A searing indictment of the McCarthy era blacklisting and Communist witchhunts of the 1950's. Woody Allen plays a hapless ghost writer fated to become a symbolic hero. Directed by Martin Ritt who experienced blacklisting firsthand. 94 min. 999:806
Reviews and articles:

â€¢149;Goldfarb, Lyn; Ilyashov, Anatoli. ""Working Class Hero: An Interview with Martin Ritt."" Cineaste, vol. 18, no. 4, pp. 20-23, 1991 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=9602220058&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Hall, Jeanne. ""The Benefits of Hindsight: Re-Visions of HUAC and the Film and Television Industries in ""The Front"" and ""Guilty by Suspicion"" ."" Film Quarterly. Vol. 54, No. 2, Winter, 2000-2001, pp. 15-26 Ѭ href=""http://www.jstor.org/stable/1213625"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Miller, Gabriel. The films of Martin Ritt: fanfare for the common man . Jackson : University Press of Mississippi, c2000. (Main (Gardner) Stacks PN1998.3.R578 M55 2000)

","U.S. Politics and the Movies & Television"
"The Good German (2006)","Director: Steven Soderbergh. Cast: George Clooney, Cate Blanchett, Tobey Maguire, Beau Bridges, Dominic Comperatore, Tony Curran, Gianfranco L'Amore, Christian Oliver, Leland Orser, Dave Power, Don Pugsley, Jack Thompson, Robin Weigert. Director of photography, Peter Andrews ; editor, Mary Ann Bernard ; music, Thomas Newman ; costume designer, Louise Frogley ; production designer, Philip Messina. Takes place in the ruins of post-WWII Berlin, where U.S. Army war correspondent Jake Geismar becomes involved with Lena Brandt, a former lover whose missing husband is the object of a manhunt led by both the American and Russian armies. Intrigue mounts as Jake tries to uncover the secrets Lena may be hiding in her desperation to get herself and her husband out of Berlin. Tully is an American soldier working in the U.S. army motor pool who is assigned to drive Jake around Berlin. Tully has black market connections that may be Lena's way out. But he could lead them all into even darker territory. 107 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9631"">DVD 9631Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0452624/"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/soderbergh.html#goodgerman"">See separate bibliography of reviews and articles about this filmЖ","U.S. Politics and the Movies & Television"
"The Good Shepherd (2006)","Director: Robert De Niro. Cast: Matt Damon, Angelina Jolie, Alec Baldwin, Tammy Blanchard, Billy Crudup, Robert De Niro, Keir Dullea, Michael Gambon, Martina Gedeck, William Hurt, Timothy Hutton, Gabriel Macht, Lee Pace, Joe Pesci, John Turturro. Edward, the only witness to his father's suicide and a member of the Skull and Bones Society while a student at Yale, is a morally upright young man who values honor and discretion. These are the qualities that help him become recruited for a career in the newly founded Office of Strategic Services (CIA). While working there, his ideals gradually turn to suspicion influenced by the Cold War paranoia present within the office. Eventually, he becomes an influential veteran operative, while his distrust of everyone around him increases. His dedication to his work does not come without a price though, leading him to sacrifice his ideals and eventually his family. 168 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7494"">DVD 7494Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0343737/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
