"Source:","http://www.lib.berkeley.edu/MRC/politicalmovies.html"
"
U.S. Politics and the Movies & Television



"
"â€¢149;Ѭ href=""#presidents"">The PresidentЖ","â€¢149;Ѭ href=""#politicians"">Politicians and PolitickingЖ","â€¢149;Ѭ href=""#coldwar"">The Cold War Goes to the MoviesЖ","â€¢149;Ѭ href=""#counterculture"">Sixties Counterculture Takes on the EstablishmentЖ","â€¢149;Ѭ href=""#misc"">Miscellaneous PoliticsЖ","U.S. Politics and the Movies & Television"
"Dave (1993)","Directed by Ivan Reitman. Cast: Kevin Kline, Sigourney Weaver, Ivan Reitman, Frank Langella, Ving Rhames, Kevin Dunn, Ben Kingsley. An uncanny Presidential lookalike is recruited as a temporary replacement for the missing president. His unusual style of governing and decision making tip off the opposition that something is definitely ""out-of-order"" in Washington. Real-life Washington politicos and pundits join the fun as Dave uses ordinary-guy savvy to deal with the extraordinary demands of the Oval Office. 110 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5303"">DVD 5303Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0106673/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"Death of a President.(2006)","Directed by Gabriel Range. Cast: Parham, Seena Jon, Christian Stolte, Chavez Ravine, Patricia Buckley, Patrick Clear, Malik Bader, Tony Dale. A raging crowd of protesters are waiting for President George W. Bush's procession. As the President gives a patriotic speech inside a hotel, the demonstrators' fury increases to the breaking point. The tension mounts until the horrible instant where the President is assassinated. Following the assassination, the FBI hunts for the assassin. All the suspects are interviewed and released except one, the Syrian man who is convicted and put on death row. There is circumstantial evidence against him, but is he really guilty of the crime? Or does his being Middle Eastern provide a convenient excuse to label the death of the President as an Act of Terror? 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7432"">DVD 7432Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0853096/"">Credits and other information from the Internet Movie DatabaseЖ","U.S. Politics and the Movies & Television"
"Frost/Nixon (2008)","Directed by Ron Howard. Cast: Cast Frank Langella, Michael Sheen, Kevin Bacon, Rebecca Hall, Toby Jones, Matthew Macfadyen, Oliver Platt, Sam Rockwell, Clint Howard, Patty McCormack, Andy Milder. Richard Nixon is the disgraced president with a legacy to save. David Frost is a jet-setting television personality with a name to make. This is the legendary battle between the two men and the historic encounter that changed both their lives. For three years after resigning from office, Nixon remained silent. But in the summer of 1977, the steely, cunning former commander-in-chief agreed to sit for one all-inclusive interview. As cameras roll, a charged battle of wits begins. Based on the stage play by Peter Morgan. Bonus features: Deleted scenes ; The making of Frost/Nixon ; The real interview ; The Nixon library ; feature commentary with director Ron Howard. 123 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1744"">DVD X1744Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0870111/"">Credits and other information from the Internet Movie DatabaseЖ

","See also:","â€¢149; Briley, Ron. ""Frost/Nixon."" Journal of American History, Jun2009, Vol. 96 Issue 1, p322-323, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=42838411&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Doherty, Thomas. ""Frost/Nixon."" Cineaste, Spring2009, Vol. 34 Issue 2, p68-71, 4p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=36829101&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Kemp, Philip. ""Frost/Nixon."" Sight & Sound, Feb2009, Vol. 19 Issue 2, p59-60, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=36125820&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Pedler, Martyn. ""Fake politics for the real America."" Metro; Mar2009, Issue 160, p182-186, 5p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=39884560&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Tueth, Michael V. ""Mano a Mano."" America, 3/16/2009, Vol. 200 Issue 9, p26-28, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=36879423&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","See also:","â€¢149;The Frost/Nixon interviews, May 1997 ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8266"">DVD 8266Ж","â€¢149;Ѭ href=""http://www.guardian.co.uk/theguardian/2007/sep/07/greatinterviews1"">Edited transcript of David Frost's interview with Richard Nixon, May 1977Ж","â€¢149;Frost, David. Frost/Nixon : behind the scenes of the Nixon interviews / Sir David Frost with Bob Zelnick. New York : Harper Perennial, c2007. ( Main (Gardner) Stacks E855 .F75 2007)","â€¢149;Morgan, Peter. Frost/Nixon London : Faber and Faber, 2006. ( Main (Gardner) Stacks PR6113.O745 F76 2006)","â€¢149;Reston, James. The conviction of Richard Nixon : the untold story of the Frost/Nixon interviews / James Reston, Jr. New York : Harmony Books, c2007. (Main (Gardner) Stacks E856 .R47 2007)","U.S. Politics and the Movies & Television"
"Gabriel Over the White House (1933)","Directed by Gregory LaCava. Cast: Walter Huston, Karen Morley, Franchot Tone, Arthur Byron, Dickie Moore. United States President Judson Hammond, a corrupt politician, is visited by the Angel Gabriel during recuperation from a near-fatal automobile accident. President Hammond miraculously becomes virtuous, although his zeal for reform is as misguided as his previous indifference was destructive. From the novel by Thomas Frederic Tweed (London edition) entitled Rinehard. 78 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1007"">DVD X1007Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3420"">vhs 999:3420Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0024044"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/politicsbib.html#gabriel"">See separate bibliography of reviews and articles about this filmЖ","U.S. Politics and the Movies & Television"
"Hidden Agenda (UK, 1990)","Director, Ken Loach. Cast: Frances McDormand, Brian Cox, Brad Dourif, Mai Zetterling, John Benfield, Des McAleer, Jim Norton, Maurice Roeves. When an American human rights lawyer is assassinated in Belfast, it remains for the man's girlfriend, as well as a tough, no nonsense, police detective to find the truth-- which they soon discover to be contained in an audio tape which the man had with him, exposing political manipulations at the highest levels of government. But such underlying agendas require careful considerations to avoid worse things than murder. 109 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5813"">DVD X5813Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0099768/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"In the Line of Fire (1993)","Director, Wolfgang Petersen. Cast: Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott, Gary Cole, Fred Dalton Thompson, John Mahoney. Frank Horrigan, a veteran Secret Service agent haunted by his failure to protect JFK from assassination gets a chance to redeem himself when a brilliant psychopath threatens to kill the current president and take Horrigan with him. Special DVD features: Director's commentary ; deleted scenes ; The ultimate sacrifice : In the line of fire ; behind-the-scenes with the Secret Service ; ""How'd they do that?"" featurette ; catching the counterfeiters ; theatrical trailers ; TV spots ; talent files ; production notes. 127 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4863"">DVD X4863Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0107206/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Politics and the Movies & Television"
"JFK (1991)","Directed by Oliver Stone; Cast: Kevin Costner, Kevin Bacon, Tommy Lee Jones, Laurie Metcalf, Gary Oldman, Michael Rooker, Jay O. Sanders, Sissy Spacek. Director Oliver Stone seamlessly blends archival film with acted sequences in his version of the assassination of President John F. Kennedy, which alleges that there was a massive plot and cover-up surrounding JFK's death. Based on the books ""On the trail of the assassins"" by Jim Garrison and ""Crossfire: the plot that killed Kennedy"" by Jim Marrs. 209 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+772"">DVD 772Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1260"">vhs 999:1260Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0102138"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/stone.html#jfk"">See separate bibliography of reviews and articles about this filmЖ","U.S. Politics and the Movies & Television"
"John Adams (TV, 2008)","Directed by Tom Hooper. Cast: Paul Giamatti, Laura Linney, Danny Huston, John Bedford Lloyd, Justin Theroux, Ritchie Coster, Guy Henry, Stephen Dillane, David Morse, Zeljko Ivanek, John Dossett, Jean-Hugues Anglade, Judith Magre, Steven Hinkle, Madeline Taylor, Neal Huff, Tom Wilkinson, Tom Hollander, Sarah Polley, Ebon Moss-Bachrach, Rufus Sewell, Samuel Barnett, Andrew Scott. While our new nation was suffering attacks from both within and without, John Adams had a vision of a nation of liberty and justice for all. He guided his peers --General George Washington, Benjamin Franklin and Thomas Jefferson --in setting the values and agenda for a glorious, free America. Adams and his wife Abigail refined these ambitious democratic ideals, and their partnership became one of the most moving love stories in American history. Special features: Discs 1-3: Facts are stubborn things: an exclusive onscreen historical guide; disc 3: Documentary: ""David McCullough: painting with words"" (a rare and personal glimpse at the life and works of author David McCullough); ""The making of 'John Adams'"" featurette. Originally broadcast on HBO as a seven-part mini-series in 2008. 501 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1696"">DVD X1696Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0472027/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards

â€¢149;Broadcast Film Critics Association Awards - Best Picture Made for Television
â€¢149;Emmy Awards - Outstanding Miniseries
â€¢149;Golden Globes, USA - Best Mini-Series or Motion Picture Made for Television


","U.S. Politics and the Movies & Television"
"Man of the Year (2006)","Directed by Barry Levinson. Cast: Robin Williams, Christopher Walken, Laura Linney, Lewis Black, Jeff Goldblum, David Alpay, Faith Daniels, Tina Fey, Amy Poehler, Doug Murray. Tom Dobbs makes an offhand comment on his late night talk show that he would be a better president than the leader who currently occupies the White House. A grassroots campaign conducted by his legions of fans finds him unexpectedly ushered into the Oval Office and forced to live up to his promise. Unfortunately for Dobbs, he finds out that his surprise victory was actually the result of a voting computer glitch and not winning the majority vote leaves the outspoken funnyman struggling with the decision to stay the course in the Oval Office or head back behind the microphone where he is truly in his element. Special features: ""Commander and chief"" featurette; ""Robin Williams: a stand up guy"" featurette. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8200"">DVD 8200Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0483726/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Fahy, Patrick. ""Man of the Year."" Sight & Sound, Mar2008, Vol. 18 Issue 3, p71-72, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=ibh&AN=31783782&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","U.S. Politics and the Movies & Television"
"Nixon (1995)","Directed by Oliver Stone; Cast: Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, James Woods. Drama about the fall of President Richard Nixon portrayed as a complex man whose chance at greatness was ultimately destroyed by his passion for power-- when his involvement in conspiracy jeopardizes the nation's security and the presidency of the United States. 191 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+775"">DVD 775Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0113987"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/stone.html#nixon"">See separate bibliography of reviews and articles about this filmЖ
","U.S. Politics and the Movies & Television"
