"Source:","http://www.lib.berkeley.edu/MRC/spanishfilm.html"
"
Spanish and Portuguese Cinema
Ж
"
"Contents:","â€¢149;Ѭ href=""#span"">Spanish CinemaЖ","â€¢149;Ѭ href=""#port"">Portuguese CinemaЖ

SEE ALSO:Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinAmfilm.html#Brazil"">Brazilian CinemaЖ

","Spanish and Portuguese Cinema"
"Alas de Mariposa (Butterfly Wings) (1991)","Directed by Juanma Bajo Ulloa. Cast: Silvia Munt, Fernando Valverde, Susana Garcia, Laura Vaquero. Carmen, hoping for a boy to carry on her husband's name, becomes pregnant but guilt and fear keep her from breaking the news to her shy and sensitive six-year-old daughter. The birth of the new baby however soon triggers a series of nightmarish events. 105 min. ;  is in Spanish with no subtitles","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2862"">vhs 999:2862Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3558"">vhs 999:3558Ж","â€¢149;Ѭ href=""%20http://us.imdb.com/Title?0101290"">Credits and other information from the Internet Movie DatabaseЖ","Spanish and Portuguese Cinema"
"La aldea maldita (1942)","Directed by Florián Rey. Cast: Florencia Becquer, Julio Rey de las Heras, Pablo Hidalgo. In this unforgettable depiction of Castilian rural life, Juan leaves his impoverished village seeking a better life elsewhere, leaving behind his wife, who departs to the city. Many years later they both return to the village. In Catalan without English subtitles. PAL format. 62 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8646"">DVD 8646Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0034441/"">Credits and other information from the Internet Movie DatabaseЖ","Spanish and Portuguese Cinema"
"La Alegría de la Huerta (1965)","Cast: Victor Martin, Soledad Arjona, Victor Martinez, Pepe Ruiz, Tito Garcia, David Muro, Mario Valdivielso. A Spanish operetta which presents a complicated love story with many pitfalls and intrigues. Videocassette release of the film originally presented on Spanish television. In Spanish without titles. PAL format. 67 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1774"">vhs 999:1774Ж","Spanish and Portuguese Cinema"
"Alma Gitana (1996)","Directed by Chus Gutiérrez. Cast: Pedro Alonso, Amara Carmona, Peret, Rafael Alvarez, Loles Leon. A young man who wants to become a professional dancer falls in love with a gypsy girl but comes to realize how much he conflicts with her completely different cultural background. Based on the novel ""El Bailaor"" by Timo Lozano. In Spanish without titles. PAL format. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1785"">vhs 999:1785Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0115519/"">Credits and other information from the Internet Movie DatabaseЖ","Spanish and Portuguese Cinema"
"Los Amantes del Círculo Polar (Lovers of the Arctic Circle) (Spain / France, 1998)","Directed by Julio Medem. Cast: Najwa Nimri, Fele Martinez, Nancho Novo, Maru Valdivielso. Ana and Otto come to live under the same roof when Ana's mother and Otto's father marry. As the two grow older, they begin to discover an attraction for each other. But when destiny tears the family apart their journey comes to an abrupt halt, until years later, they meet again with one last chance to be reunited before the passion cools forever. 108 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8641"">DVD 8641Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2888"">vhs 999:2888Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0133363"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/spanishfilmbib.html#artic"">See separate bibliography of reviews and articles about this filmЖ","Spanish and Portuguese Cinema"
"El amor brujo (1986)","Directed by Carlos Saura. Cast: Antonio Gades, Cristina Hoyos, Juan Antonio Jimenez, Laura del Sol, Emma Penella. A modern take on composer Manuel de Falla's gypsy ballet, dressed up in pink sunsets and hellishly red fires. Set in a dusty Andalusian village, El amor brujo (Love the Magician) is a seductive melodrama of a man whose beloved is haunted by the ghost of another. 103 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9170"">DVD 9170Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0090636/"">Credits and other information from the Internet Movie DatabaseЖ","Spanish and Portuguese Cinema"
"El Año de las Luces (1986)","Directed by Fernando Trueba. Cast: Jorge Sanz, Maribel Verdu, Manuel Alexandre, Rafaela Aparicio, Jose Sazatornil, Santiago Ramos. The story of Manolo who ends up in a tuberculosis sanatorium that is designed for younger children. Manolo's problem is that he is experiencing the first stirrings of sexual desire. His first overture to one of the nurses meets with rejection, but he really asks for trouble when he falls for another pretty nurse and she herself becomes attracted to him. In Spanish without subtitles. 115 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3544"">vhs 999:3544Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0090679/"">Credits and other information from the Internet Movie DatabaseЖ
","Spanish and Portuguese Cinema"
"Reviews and articles:","â€¢149;Perriam, Chris. ""Jorge Sanz: El Galán Sumiso. Problematising Masculinities in Mainstream Cinema in Spain."" Forum for Modern Language Studies; Jan2001, Vol. 37 Issue 1, p26-37, 12p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=44439646&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","Spanish and Portuguese Cinema"
"La Ardilla Roja (The Red Squirrel) (1993)","Directed by Julio Medem. Cast: Emma Suarez, Nancho Novo, Maria Barranco, Karra Elejalde, Carmelo Gomez. Jota, a troubled former pop star is the sole witness to the crash of a motorcycle ridden by a young woman. After learning of the woman's amnesia Jota pretends to be her lover, naming her Lisa and creating a fictitious life for her. Then the two take a vacation to the Red Squirrel campsite. But there may be more to Lisa than meets the eye... 104 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2923"">vhs 999:2923Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0106305"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/spanishfilmbib.html#ardilla"">See separate bibliography of reviews and articles about this filmЖ
","Spanish and Portuguese Cinema"
"Aro Tolbukhin. En la mente del asesino (Aro Tolbukhin in the Mind of a Killer) (Spain | Mexico, 2002)","Directed by Isaac-Pierre Racin, Agustí Villaronga, Lydia Zimmermann. Aro Tolbukhin is a Hungarian inmigrant that sets fire to seven people in an infirmary in Guatemala. The movie looks back at his life to see what made him do it, from his arrival in Guatemala to his childhood in Hungary. Presented at the International Latino Film Festival held in the San Francisco Bay Area. 98 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3919"">vhs 999:3919Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0291022/"">Credits and other information from the Internet Movie DatabaseЖ","Spanish and Portuguese Cinema"
