"Source:","http://www.lib.berkeley.edu/MRC/imageslatinos.html"
"

LatinosЖ
"At Home with Desalojos Realtors(2004)","Directed and produced by Yaromil Fong-Olivares. Cast: Belia Mayeno-Sabedra, Nassima Kaddoura. A mock infomercial about the gentrification of San Francisco's Mission District. ""Make yourself at home, but don't get too comfortable..."" The filmmaker, a Dominican immigrant of Chinese decent, hopes to shed light on the dangers posed by gentrification. 4 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7017"">DVD X7017Ж"
"Ballad of a Soldier (2002)","Directed by Kinan Valdez. Cast: David Barrera, Maria Candelaria, Luis Valdez, Alma Martinez, Oscar Marillo. Johnny, a 20-year chicano living in rural California spends a last night with his family and friends before shipping out to Vietnam. Based on the play Soldado razo by Luis Valdez. Presented at the International Latino Film Festival held in the San Francisco Bay Area. Based on the play Soldado razo by Luis Valdez. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3957"">vhs 999:3957Ж"
"The Ballad of Gregorio Cortez (1982)","Directed by Robert M. Young. Cast: Edward James Olmos, James Gammon, Tom Bower. On June 12, 1901, Gregorio Cortez, a young Mexican family man, shoots and kills a sheriff in self-defense. For the next 11 days, he eludes an inflamed posse of 600 Texas Rangers in a 450 mile chase across Texas. His manhunt captures the nation's interest and his eventual trial is tainted by the extreme emotions of the country.  [preservation copy]; :252","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1448"">DVD X1448Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs999"">vhs999Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0083613/"">Credits and other information from Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinoBib.html#gregorio"">See separate bibliography of reviews and articles about this filmЖ
"
"Los Bastardos(Mexico | France | USA, 2008)","Directed by Amat Escalante. Cast: Jesus Moises Rodriguez, Ruben Sosa, Nina Zavarin. Two Mexican day-laborers in Los Angeles, who normally stand on the corner by the home improvement store waiting for work to come, reach their breaking point and take a troubled housewife hostage in her own home. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1368"">DVD X1368Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0841922/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Bloom, Livia. ""Los Bastardos."" Film Comment, Jul/Aug2009, Vol. 45 Issue 4, p76-76 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=43028335&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Decock, Jean. ""Los Bastardos."" French Review; Feb2009, Vol. 82 Issue 3, p687-692, 6p


"
"A Better Life(2011)","Directed by Chris Weitz. Cast: Demian Bichir, José Julián, Joaquín Cosio, Eddie 'Piolin' Sotelo. Carlos Galindo, a gardener in East L.A., always dreamed of a better life for his wife and newborn son when he crossed the border into the U.S. But when his wife left him, Carlos's only goal became to keep his son away from gangs and immigration agents while trying to give him the opportunities he never had. A story that follows father and son as they embark on a physical and spiritual journey where they discover that family is the most important part of the American dream. 98 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1368"">DVD X1368Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt1554091/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Cohen, David S. ""A Better Life."" Script , Jul/Aug2011, Vol. 17 Issue 4, p38-42, 5p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=62168021&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Haun, Harry. ""Sueño Americano."" Film Journal International, Jun2011, Vol. 114 Issue 6, p12-15, 4p; Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=61218930&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Kozlowski, Carl ""Spotlighting the Undocumented."" Progressive; Oct2011, Vol. 75 Issue 10, p38-39, 2p
â€¢149;Toumarkine, Doris. ""A Better Life."" Film Journal International, Jul2011, Vol. 114 Issue 7, p89-90, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=62830409&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

"
"Big Stakes(1922)","Directed by Clifford S. Elfelt. Cast: J.B. Warner, Elinor Fair. An American cowboy and a Mexican lawman clash over a beautiful woman. A fun ride across the plains of western cinema, which, for 1922, presents a complex look at Mexican and American stereotypes. Adapted from Earl Wayland Bowman's American Magazine story ""High stakes"" by Frank Howard Clark. 68 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1368"">DVD X1368Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0012940/"">Credits and other information from the Internet Movie DatabaseЖ
"
"Blasphemy: the Movie (2001)","Directed by John Mendoza. Cast: Carlos Leon, Tony Perez, Irene Olga Lopez, Karmin Murcelo. Set during Christmas, Blasphemy tells the story of what happens when Martin Garcia reveals to his devoutly religious parents that he doesn't believe in God. A chorus of Gods and prophets add to the chaos by commenting as the film unfolds. Presented at the International Latino Film Festival held in the San Francisco Bay Area. 81 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3908"">vhs 999:3908Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0283267/"">Credits and other information from the Internet Movie DatabaseЖ
"
"The Border (1949)","Directed by Tony Richardson. Cast: Jack Nicholson, Harvey Keitel, Valerie Perrine, Warren Oates. ""U.S. Border Patrol agent Charlie Smith just wants to do a good job and provide for his wife. But between her demands for a more affluent lifestyle and the importuning of Charlie's partner Cat to take part in illegal activities in exchange for bribes, Charlie gets caught up in helping smuggle illegal immigrants across the Texas border. When one of them, a young Mexican girl named Maria, loses her baby to abductors who plan to sell the child, Charlie decides to take a stand for her and against the corruption he's fallen into."" [IMDB] 107 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6822"">DVD X6822Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0083678/"">Credits and other information from the Internet Movie DatabaseЖ

","See also:","DD>â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/ukbib.html#richardson"">Tony Richardson bibliographyЖ","â€¢149;Beckhama, Jack M. ""Border Policy/Border Cinema: Placing Touch of Evil, The Border, and Traffic in the American Imagination"" Journal of Popular Film and Television Volume 33, Issue 3, 2005 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=19513810&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Fojas, Camilla. ""Bordersploitation: Hollywood Border Crossers and Buddy Cops."" symploke, Volume 15, Numbers 1-2, 2007, pp. 80-99 Ѭ href=""http://muse.jhu.edu/journals/symploke/v015/15.1-2.fojas.pdf"">Full-text of this article / review is available:UC users onlyЖ"
"Border Incident (1949)","Directed by Anthony Mann. Cast: Ricardo Montalban, George Murphy, Howard Da Silva, James Mitchell, Arnold Moss, Alfonso Bedoya. The Mexico-California border is the power-keg setting for a tale of government agents versus greed and murder. 95 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5848"">DVD 5848Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0041198/"">Credits and other information from the Internet Movie DatabaseЖ


","See also:","â€¢149;Auerbach, Jonathan. ""Noir Citizenship: Anthony Mann's Border Incident."" Cinema Journal. Summer 2008. Vol. 47, Iss. 4; p. 102 (19 pages) Ѭ href=""http://muse.jhu.edu/journals/cinema_journal/v047/47.4.auerbach.pdf"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Basinger, Jeanine. Anthony Mann Twayne Publishers, 1979 (MAIN: PN1998.A3 .M321143; MOFF: PN1998.A3 .M321143)","â€¢149;Darby, William. Anthony Mann : the film career Jefferson, N.C. : McFarland & Co., c2009. (Main (Gardner) Stacks PN1998.3.M36 D37 2009)","â€¢149;Smith, Robert E. ""Mann in the dark : the films noir of Anthony Mann."" In: Film noir reader / edited by Alain Silver and James Ursini. 1st Limelight ed. New York : Limelight Editions, 1996. (MAIN: PN1995.9.F54 F57 1996; PFA : PN1995.9.F54 F57 1996)","â€¢149;Wicking, Christopher; Pattison, Barrie. ""Interviews with Anthony Mann."" Screen 1969 10: 32-54 Ѭ href=""http://screen.oxfordjournals.org/cgi/reprint/10/4-5/32"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Willemen, Paul. ""Anthony Mann: Looking at the Male."" Framework: The Journal of Cinema & Media, Summer81, Issue Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:pao-us:&rft_dat=xri:pao:article:z310-1981-000-15-000005:1"">Full-text of this article / review is available:UC users onlyЖ"
"Borderline (1980)","Directed by Jerrold Freedman. Cast: Charles Bronson, Bruno Kirby, Bert Remsen, Michael Lerner, Kenneth McMillan, Ed Harris, John Ashton, A. Wilford Brimley. When Jeb Maynard's best friend is killed by a smuggler bringing illegal immigrants into America from Mexico his only thought is that of revenge. His only clue to the identity of the murderer is that he has an unusual boot print. 99 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6838"">DVD X6838Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0080465/"">Credits and other information from the Internet Movie DatabaseЖ

See also:
â€¢149;Fojas, Camilla. ""Bordersploitation: Hollywood Border Crossers and Buddy Cops."" symploke, Volume 15, Numbers 1-2, 2007, pp. 80-99 Ѭ href=""http://muse.jhu.edu/journals/symploke/v015/15.1-2.fojas.pdf"">Full-text of this article / review is available:UC users onlyЖ

"
