"Source:","http://www.lib.berkeley.edu/MRC/Warfilm.html"
"
War and War-Era Movies


"
"Contents:","â€¢149;Ѭ href=""#revolution"">US Revolutionary WarЖ","â€¢149;Ѭ href=""#civil"">US Civil WarЖ","â€¢149;Ѭ href=""#wwI"">World War IЖ","â€¢149;Ѭ href=""#spain"">Spanish Civil WarЖ","â€¢149;Ѭ href=""#wwII"">World War IIЖ","â€¢149;Ѭ href=""#korea"">Korean WarЖ","â€¢149;Ѭ href=""#wwIII"">Cold War & World War IIIЖ","â€¢149;Ѭ href=""#viet"">Vietnamese WarЖ","â€¢149;Ѭ href=""#bosnia"">Bosnia/Herzegovina/Croatia/Serbia/YugoslaviaЖ","â€¢149;Ѭ href=""#mideast"">Middle East / North AfricaЖ","â€¢149;Ѭ href=""#irish"">Irish Civil WarsЖ","â€¢149;Ѭ href=""#misc"">Miscellaneous Wars and Military EngagementsЖ","â€¢149;Terrorism in Film & TV SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/terrorismmovies.html"">separate listing of works on international terrorismЖ","War and War-Era Movies"
"","See also the following MRC Videographies:","War and War-Era Movies"
"â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesjews.html"">The Movies, Race, and Ethnicity: JewsЖ (for Holocaust dramas)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/propaganda.html"">Propaganda and DisinformationЖ (Social, Political, and War Propaganda)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/animation.html"">Animation (for WWII-era animation)Ж","War and War-Era Movies"
"Bibliography on this topic: ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/Warfilmbib.html"">Bibliography of books on war movies in the UC Berkeley libraryЖ","War and War-Era Movies"
"See also:","â€¢149;The Combat Film (American Cinema; 6). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3714"">Video/C 3714Ж","War and War-Era Movies"
"","War and War-Era Movies"
"","War and War-Era Movies"
"Reviews and articles:","â€¢149;Seiler, Cotton. ""The American Revolution."" In: The Columbia companion to American history on film : how the movies have portrayed the American past / edited by Peter C. Rollins. New York : Columbia University Press, c2003. (Media Center PN1995.9.U64.C65 2003; Doe Refe PN1995.9.U64.C65 2003; Moffitt PN1995.9.U64.C65 2003; PFA PN1995.9.U64.C65 2003)","U.S. Revolutionary WarЖ"
"1776 or Hassian Renegades(1909)","Directed by D.W. Griffith 84 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:595"">vhs 999:595Ж","U.S. Revolutionary WarЖ"
"America (1924) (1924)","Directed by D.W. Griffith; Cast: Neil Hamilton, Erville Alderson, Carol Dempster, Lionel Barrymore, Louis Wolheim. Torn between his revolutionary political beliefs and his love for the daughter of a Virginia Tory, Nathan Holden struggles with his fellow patriots for independence. But at the crossroads of this path to freedom stands Captain Walter Butler. A murderous redcoat, Butler ravages the fledgling colonies with a band of barbaric Mohawks. 140 min. ; also on ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+60"">DVD 60Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1885"">vhs 999:1885Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0014672"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/GriffithBib.html#america"">See separate bibliography of reviews and articles about this filmЖ
","U.S. Revolutionary WarЖ"
"Bunker Hill Bunny(1950)","Directed by Friz Freleng. Animated short. In the Revolutionary War ""Battle of Bagel Heights"" of 1776, Patriot Bugs and (Yosemite) Sam Von Schamm, the enemy, try to capture each other's forts. ""Who am I? I'm Sam Von Schamm the Hessian, that's who I am!"" Sam declares. ""You ornery fur-bearin' rebel, you'll pay for this,"" he emotes, adding, ""Ya better say yer prayers, ya flea-bitten varmint, I'm a-gonna blow ya to smithereenies!"" After being blown up himself at least three times, Sam admits: ""I'm a Hessian without no aggression. If ya can't beat 'em, join 'em."" ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж","U.S. Revolutionary WarЖ"
"The Howards of Virginia(1940)","Directed by Frank Lloyd. Cast: Cary Grant, Martha Scott, Cedric Hardwicke, Alan Marshal, Richard Carlson, Paul Kelly. A beautiful, aristocratic Virginian marries a staunchly democratic land surveyor, but they are forced to choose between their love and their political beliefs when the Revolutionary War begins. Based on: The tree of liberty / Elizabeth Page ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3949"">vhs 999:3949Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0032612/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Revolutionary WarЖ"
"The Patriot(2000)","Directed by Roland Emmerich. Cast: Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs. A hero of the French and Indian conflict, Benjamin Martin had renounced fighting forever to raise his family in peace. However, when British troops arrive at his South Carolina home and endanger his family, he takes up arms alongside his idealistic patriot son, Gabriel.
Special features: Commentary by director Roland Emmerich and producer Dean Devlin, visual effects interactive featurette, battlefield featurette: ""The art of war,"" the true patriots featurette, conceptual art to film comparisons, deleted scenes with commentary by filmmakers, photo galleries, theatrical trailers, talent files, interactive menus with animation, production notes, scene selections with motion images. 165 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+378"">DVD 378Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0187393"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/Warfilmbib.html#patriot"">See separate bibliography of reviews and articles about this filmЖ","U.S. Revolutionary WarЖ"
"The Swamp Fox (TV, Walt Disney Presents)","The Swamp Fox is the Revolutionary War hero Francis Marion. This patriot fought the British using unusual methods as he matched wits with the Tories in stories of adventure and action. Contents: Episode 1. Birth of the Swamp Fox (broadcast Oct. 23, 1959) -- Episode 2. Swamp Fox: Brother against brother (broadcast Oct. 30, 1959) -- Episode 3. Swamp Fox: Tory vengeance (broadcast Jan. 1, 1960). Leslie Nielsen (The Swamp Fox); John Sutton, Joy Page, Tim Considine, Barbara Eiler. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X17"">DVD X17Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0561211/"">Credits and other information from the Internet Movie DatabaseЖ
","U.S. Revolutionary WarЖ"
"â€¢149;Browne, Alicia R.; Kreiser, Lawrence A., Jr. ""The Civil War and Reconstruction."" In: The Columbia companion to American history on film : how the movies have portrayed the American past New York : Columbia University Press, c2003. (Doe Reference Reference Hall; Media Resources Center; Moffitt PN1995.9.U64 C65 2003)","â€¢149;Cripps, Thomas. ""The absent presence in American civil war films."" Historical Journal of Film, Radio & Television; Oct1994, Vol. 14 Issue 4, p367, 10p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=9411303453&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Ehrlich, E. ""Genres: The Civil War in early film: origin and development of a genre."" In: The South and film / Warren French, editor Jackson : University Press of Mississippi, 1981 (Main Stack PN1995.9.S66.S6; Moffitt PN1995.9.S66.S6)","â€¢149;Gallagher, Gary W. Causes won, lost, and forgotten : how Hollywood & popular art shape what we know about the Civil War Chapel Hill : University of North Carolina Press, c2008. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10273423"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks E468.9 .G35 2008)","â€¢149;McPherson, Tara. """"Both Kinds of Arms"": Remembering the Civil War."" Velvet Light Trap: A Critical Journal of Film & Television; Spring95, Issue 35, p3-18, 16p","â€¢149;Memory and myth : the Civil War in fiction and film from Uncle Tom's cabin to Cold mountain / edited by David B. Sachsman, S. Kittrell Rushing, Roy Morris, Jr. West Lafayette, Ind. : Purdue University Press, c2007. (Main (Gardner) Stacks PS374.C53 M46 2007)","â€¢149;Trodd, Zoe. ""'The Cracks between': Cinematic and Proto-Cinematic Counter-Memories of the American Civil War."" In: Violating time : history, memory and nostalgia in cinema / edited by Christina Lee. New York : Continuum, 2008. (Main (Gardner) Stacks PN1995.9.T55 V56 2008)","U.S. Civil WarЖ"
"Abraham Lincoln (1930)","Directed by D.W. Griffith; Cast: Walter Huston, Una Merkel, Ian Keith, Frank Campeau, Hobart Bosworth, Henry B. Walthall. Abraham Lincoln is D.W. Griffith's first talking picture. It begins with Lincoln's life just prior to his White House ascent. His romance with Ann Rutledge and the famed Lincoln-Douglas debate receive special attention, and Griffith is in his element when picturing the battle scenes of the Civil War. The film concludes with Lincoln's assassination at Ford's Theatre. 84 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X622"">DVD X622Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1882"">vhs 999:1882Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0020620"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/GriffithBib.html#abe"">See separate bibliography of reviews and articles about this filmЖ
","U.S. Civil WarЖ"
"Andersonville (TV, 1996)","Director, John Frankenheimer. Cast: Jarrod Emick, Frederic Forrest, Ted Marcoux, Cliff De Young, Jan Triska. The Civil War explodes and a small group of Union soldiers fall into the hands of the Confederate army. Overnight, they find themselves herded aboard a prison train bound for the deepest regions of the South, to a slice of Hell carved out of the Georgia clay known as Andersonville. A moving drama that tells the most tragic tales ever to come out of the Civil War. 167 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7993"">DVD 7993Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0115097/"">Credits and other information from the Internet Movie DatabaseЖ","U.S. Civil WarЖ"
"Birth of a Nation (1915)","Directed by D.W. Griffith. Cast: Lillian Gish, Mae Marsh, Henry Walthall, Miriam Cooper, Mary Alden, Ralph Lewis, George Seigmann, Walter Long. Adapted from Thomas Dixon's novel, The Clansman. A Civil War spectacular, Portraying ""life in the South"" during and after the Civil War as revealed in a story depicting the war itself, the conflict between the defeated Southerners and emancipated renegade Negroes, the despoiling of the South during the carpetbagger period, and the revival of the Southern white man's honor through the efforts of the Ku Klux Klan. 124 min. ; ;  (187 min.),  213 min.)","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3012"">DVD 3012Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+29"">DVD 29Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1685"">vhs 999:1685Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1686"">vhs 999:1686Ж","Ѭ href=""http://us.imdb.com/title/tt0004972/"">â€¢149; Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Ѭ href=""http://sunsite.berkeley.edu/videodir/asx/d1541.asx"">View this video onlineЖ 
UC Berkeley users only - Requires Ѭ href=""http://www.microsoft.com/windows/windowsmedia/default.mspx"">Windows Media PlayerЖ or Ѭ href=""http://www.microsoft.com/windows/windowsmedia/player/wmcomponents.mspx"">Flip4MacЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/onlinecopyright.html"">© noticeЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/GriffithBib.html#birth"">See separate bibliography of reviews and articles about this filmЖ
","U.S. Civil WarЖ"
"Civil War Films of D. W. Griffith (Griffith Masterworks)","In the border states (1919, 16 min.), The house with closed shutters (1910, 17 min.), The fugitive (191, 17 min.), His trust (1910, 14 min.), His trust fulfilled (1910, 11 min.), Swords and hearts (1911, 16 min.), The battle (1911, 17 min.) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1541"">DVD 1541Ж","U.S. Civil WarЖ"
"Reviews and articles:","â€¢149;Ehrlich, E. ""Genres: The Civil War in early film: origin and development of a genre."" In: The South and film / Warren French, editor Jackson : University Press of Mississippi, 1981 (Main Stack PN1995.9.S66.S6; Moffitt PN1995.9.S66.S6)","U.S. Civil WarЖ"
"Civil War Films of the Silent Era","Contents: The Coward / director, Reginald Baker ; cast, Frank Keenan, Charles Ray, Margaret Gibson (i.e. Patricia Palmer), Gertrude Claire (1915, 77 min.) -- The Drummer of the 8th (1913, 24 min.) -- Granddad (1913, 29 min.) Commemorating the 50th anniversary of the American Civil War was a deluge of literature, drama and movies. The years 1911-1915 also marked the passage of movies from nickelodeon theaters to movie palaces showing carefully-prepared feature films. These silent films originally produced between 1913 and 1915 feature plots centered on the Civil War and include one feature film and two nickelodeon films by pioneering producer Thomas H. Ince. 134 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+443"">DVD 443Ж","U.S. Civil WarЖ"
"Reviews and articles:","â€¢149;Ehrlich, E. ""Genres: The Civil War in early film: origin and development of a genre."" In: The South and film / Warren French, editor Jackson : University Press of Mississippi, 1981 (Main Stack PN1995.9.S66.S6; Moffitt PN1995.9.S66.S6)","U.S. Civil WarЖ"
"Cold Mountain (2003)","Directed by Anthony Minghella. Cast: Jude Law, Nicole Kidman, Renee Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone. Inman, a young Confederate soldier, who is injured during the explosive 1864 battle of Petersburg, Virginia, is struggling to make his way home to Cold Mountain, NC, where his beloved Ada awaits him. In Inman's absence, Ada befriends Ruby, who helps her keep up her late father's farm. As Inman struggles to make it home, Ada must find the will to survive as the war drags on and letters go unanswered. 153 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2777"">DVD 2777Ж","â€¢149;Ѭ href=""%20http://us.imdb.com/title/tt0159365/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/Warfilmbib.html#coldmountain"">See separate bibliography of reviews and articles about this filmЖ","U.S. Civil WarЖ"
"Friendly Persuasion (1956)","Directed by William Wyler. Cast: Gary Cooper, Dorothy McGuire, Marjorie Main, Robert Middleton, Anthony Perkins, Richard Eyer, Phyllis Love. A heart-warming story about the day-to-day experiences of a Quaker family living in Indiana during the Civil War, showing their pacifist religious beliefs, their worldly temptations, their petty feuds, and their reactions in a time of crisis. 137 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5562"">DVD 5562Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0049233/"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/wylerbib.html#persuasion"">See separate bibliography of reviews and articles about this filmЖ","U.S. Civil WarЖ"
"The General (Silent, 1927)","Directed by Buster Keaton and Clyde Bruckman, Cast: Keaton, Marion Mack, Charles Smith, Frank Barnes. Engineer Johnnie loves Annabelle Lee and his train, ""The General"". But when the Civil War begins he is turned down for service because he's more valuable as an engineer, Annabelle thinks it's because he's a coward. Union spies capture The General with Annabelle on board, and Johnny must rescue both his loves. 75 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+112"">DVD 112Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:58"">vhs 999:58Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0017925/"">Credits and other information from the Internet Movie DatabaseЖ
","Ѭ href=""http://www.lib.berkeley.edu/MRC/keaton.html#general"">See separate bibliography of reviews and articles about this filmЖ","U.S. Civil WarЖ"
