"Source:","http://www.lib.berkeley.edu/MRC/moviesaboutmovies.html"
"

Movies About Filmmaking and Hollywood /
Movie Parodies and Homages


Contents:
"The Aviator (2004)","Directed by Martin Scorsese. Cast: Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly, Alec Baldwin, Alan Alda, Ian Holm, Danny Huston, Gwen Stefani, Jude Law, Adam Scott, Matt Ross, Kelli Garner, Frances Conroy, Brent Spiner, Stanley DeSantis, Edward Herrmann, Willem Dafoe. Follows the life of Howard Hughes as the twentysomething millionaire, having already made a fortune improving the design of oil-drilling bits, who comes to Hollywood with an interest in getting into the picture business. It doesn't take long for Hughes to jump from producer to director of his first major film project, a World War I air epic. The film was a massive hit, and the eccentric inventor became a mogul in Hollywood, making Jean Harlow a star and enjoying a romance with Katharine Hepburn. But Hollywood's old-boy network never fully accepted Hughes, and in time his passion for flying began to reclaim his attentions. In time he began designing new planes, setting air speed records, flying around the world, and risking his life testing aircraft. Hughes also found time to romance Ava Gardner and founded his own airline, Trans-World Airlines. As his ideas became bolder and more eccentric, he gained many powerful enemies. 170 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3996"">DVD 3996Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0338751/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards

â€¢149;British Academy of Film and Television Arts Awards - Best Film
â€¢149;Broadcast Film Critics Association Awards - Best Director
â€¢149;Golden Globes, USA - Best Motion Picture - Dramatic


Ѭ href=""http://www.lib.berkeley.edu/MRC/martinscorsese.html#aviator"">See separate bibliography of reviews and articles about this filmЖ
","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Baadasssss!","Produced and directed by Mario Van Peebles Cast: Joy Bryant, T.K. Carter, Terry Crews, Ossie Davis, David Alan Grier, Nia Long, Paul Rodriguez, Saul Rubinek, Vincent Schiavelli, Khleo Thomas, Mario Van Peebles, Karimah Westbrook, Rainn Wilson. A candid portrait of Melvin Van Peeble's struggles as a young, black director during the society-shifting 70's. Determined to make a film that matters, Melvin deals with two-faced backers, a rag-tag crew, threatening creditors, and various shades of Hollywood hypocrisy. With everything on the line, his only choice is to stick to his guns and do whatever it takes to get his neo-blaxploitation epic to the audience for which it was envisioned. 2004. 109 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3540"">DVD 3540Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0367790/"">Credits and other information from the Internet Movie DatabaseЖ","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"The Bad and the Beautiful (1952)","Directed by Vincente Minnelli. Cast: Lana Turner, Kirk Douglas, Walter Pidgeon, Dick Powell, Barry Sullivan, Gloria Grahame, Gilbert Roland, Leo G. Carroll, Vanessa Brown. Biting drama that tells the story of a ruthless, manipulatve movie producer who lets nothing and nobody stand in his way. Now he's broke and needs the help of the very people he used and betrayed on his climb to the top. 119 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3007"">DVD 3007Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0044391/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ



Reviews and articles:

â€¢149;Jordan, Jessica Hope. The sex goddess in American film, 1930-1965 : Jean Harlow, Mae West, Lana Turner, and Jayne Mansfield / Jessica Hope Jordan. Amherst, N.Y. : Cambria Press, 2009. (Main (Gardner) Stacks PN1995.9.F44 J67 2009)
â€¢149;Nicholls, Mark. ""My Victims, My Melancholia: Raging Bull and Vincente Minnelli's The Bad and the Beautiful"" In: Martin Scorsese's Raging bull / edited by Kevin J. Hayes. Cambridge, UK ; New York : Cambridge University Press, c2005. (Ѭ href=""http://hdl.handle.net/2027/heb.07612"">Full-text available onlineЖ [UC Berkeley users only]; Print: Main (Gardner) Stacks PN1997.R2253 M37 2005)




See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/minnelli.html"">Vincente Minnelli bibliographyЖ


","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"The Barefoot Contessa (1954)","Directed by Joseph L. Mankiewicz. Cast: Humphrey Bogart, Ava Gardner, Edmond O'Brien, Marius Goring, Valentina Cortesa, Rossano Brazzi, Warren Stevens, Bessie Love, Elizabeth Sellars. With extraordinary beauty, talent and grace, Spanish dancer Maria Vargas was born to be a star. Aided by American movie director Harry Dawes, she attains great success and fortune in Hollywood's land of dreams. But, though she gives her all for stardom, there is one thing Maria will never compromise - her soul. 130 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2451"">DVD X2451Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0046754/"">Credits and other information from the Internet Movie DatabaseЖ

","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Barton Fink (1991)","Directed by Joel Coen. Cast: John Turturro, John Goodman, Judy Davis, Michael Lerner, John Mahoney, Jon Polito. It's Hollywood in the 40's, and Barton Fink, the New York playwright, has arrived to work as a screenwriter. He is assigned a low-brow wrestling movie, and quickly develops writer's block, which is aggravated by the seedy hotel he is staying in and his aggressively jovial neighbor, Charlie. Barton's struggle to create a truly great screenplay leads from the strange and unproductive to the chaotic and surreal.70 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3336"">DVD 3336Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0101410"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;Cannes Film Festival - Palme d'Or; Best Director; Best Actor (John Turturro)



Ѭ href=""http://www.lib.berkeley.edu/MRC/coenbib.html#barton"">See separate bibliography of reviews and articles about this filmЖ
","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Be Kind Rewind (1991)","Directed by Michel Gondry. Cast: ack Black, Mos Def, Danny Glover, Mia Farrow, Melonie Diaz. Two local outcasts attempt to save a local video store. Amateur film director Mike must find a way to save the business after his magnetized friend, Jerry, erases every movie in the store. Using an outdated video camera and their own special effects, the two embark on an adventure to remake all the movies, from ""Ghostbusters"" to ""Driving Miss Daisy,"" turning the two town misfits into local celebrities. 102 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3751"">DVD X3751Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0799934/"">Credits and other information from the Internet Movie DatabaseЖ
","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Behind the Screen (1916)","Directed by Charlie Chaplin. Cast: Chaplin, Edna Purviance, Albert Austin, Henry Bergman, Lloyd Bacon, Charlotte Mineau. Three movies are being shot simultaneously and Charlie is an overworked scene shifter. The foreman is waited on hand and foot until all the shifters but Charlie go on strike. A girl looking for work pretends to be a man and helps Charlie. Charlie discovers her gender and falls in love with her. The foreman thinks they are homosexual and in the ensuing fight they become involved in a long pie throwing scene from one of the movies in production. The frustrated workers dynamite the studio. A satire of life at a silent movie studio, a thinly veiled satire of Mack Sennett's Keystone Company. 15 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9"">DVD 9Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:695"">VHS 999:695Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0006414/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Stamp, Shelley. ""Cinema Sees Itself: Behind the Screen and A Movie Star."" In: American cinema of the 1910s : themes and variations / edited by Charlie Keil and Ben Singer. New Brunswick, N.J. : Rutgers University Press, c2009. (Ѭ href=""http://site.ebrary.com/lib/berkeley/Doc?id=10281504"">Full-text available onlineЖ (UC Berkeley users only); Print Main (Gardner) Stacks PN1993.5.U6 A85733 2009)

","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Benny's Video (1992)","Directed by Michael Haneke. Cast: Arno Frisch, Angela Winkler, Ulrich Muhe, Ingrid Stassner. Benny likes to watch violent movies, including a home-made video of a pig being slaughtered. Benny soon loses his mind, killing a girl and filming the murder with his video camera. 106 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5587"">DVD 5587Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0103793/"">Credits and other information from the Internet Movie DatabaseЖ
","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"Beware of a Holy Whore (Warnung vor Einer Heiligen Nutte) (West Germany, 1970)","Directed by Rainer Werner Fassbinder. Cast: Lou Castel, Eddie Constantine, Hanna Schygulla, Marquard Bohm, Rainer Werner Fassbinder, Ulli Lommel. In a Spanish coastal hotel, the cast and crew of a film wait for the director, the star and the production money. When the director finally arrives he makes life miserable for everyone. The group is left to petty bickering, attempts at amusement and desperate contacts to make it through the filming of the movie. 103 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1624"">DVD 1624Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVHS+999:1186"">VHS 999:1186Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0067962/"">Credits and other information from the Internet Movie DatabaseЖ","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
"The Big Picture (1989)","Directed by Christopher Guest. Cast: Kevin Bacon, Emily Longstreth, J.T. Walsh, Jennifer Jason Leigh, Teri Hatcher, Martin Short. Nick Chapman graduates from film school and his short film wins a prize. This gives him a high enough profile that he can get Hollywood to back the film he has long dreamed of making. But Nick soon is seduced by Hollywood and makes one concession after another until his original movie is lost altogether. A behind-the-scenes look at the cost of making it in Hollywood. 102 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5940"">DVD 5940Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0096926/"">Credits and other information from the Internet Movie DatabaseЖ","Movies About Filmmaking and Hollywood /
Movie Parodies and Homages"
