"Source:","http://www.lib.berkeley.edu/MRC/chuckjones.html"
"
The Films of Chuck Jones"
"
"Bear Feat (1949)","Pa sees a want ad calling for vaudeville acts and tries to whip the family into shape for the job. Pa winds up being the only one getting whipped. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X942"">DVD X942Ж"
"A Bear for Punishment (1951)","It's Father's Day, and Junyer and Ma have a bunch of big surprises in store for good ol' Pa, including a pipe filled with gunpowder. To top it off, there's a gala Father's Day pageant, and Pa sits cringing through Junyer's recitation and aghast at Ma's tap-dancing rendition of ""I'm Just Wild About Father."" ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3137"">DVD 3137Ж"
"Bewitched Bunny (1954)","Disguised as a truant officer, Bugs attempts to rescue Hansel and Gretel from Witch Hazel. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X937"">DVD X937Ж"
"The Bird Came C.O.D. (1942)","Conrad Cat, making his first appearance in a Warner Bros, cartoon, has trouble getting a prop tree he's delivering to a theater into the door. Once inside, he falls victim to an intimidating little bird who hops out of a magician's hat. Video Disc 154"
"Boyhood Daze (1957)","Young Ralph Phillips is scolded for breaking a window and sent to his room, where he lets his imagination run riot and fantasizes he is in prison, next that he is in Africa, and then that he is a space ace pilot who single-handedly thwarts a Martian invasion. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X942"">DVD X942Ж"
"Brave Little Bat (1941)","When his car breaks down out in the country, Sniffles the mouse takes shelter in an old mill, where he meets up with ""Batty,"" a non-stop-talking little bat who later save Sniffles from a hungry cat. Video Disc 154"
"Bugs Bunny and the Three Bears (1944)","The bears tempt Goldilocks with carrot soup, the scent of which brings Bugs on the scene. Bugs romances Mama bear and she becomes infatuated with him. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8513"">DVD 8513Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж"
"Bugs' Bonnets (1956)","In a variation on the phrase ""The Clothes Make the Man"", Bugs and Elmer get various hats dropped on their heads and begin taking on the personas associated with the hats like, Gangster, Cop, Judge, Pilgrim, and Game Warden, among others. Bugs dons a G.I. helmet, but Elmer emerges with a General Douglas MacArthur-style hat, corncob pipe and dark glasses. ""I've been outranked!"" Bugs exclaims. After a furious exchange of hats, Elmer wears a bridal headpiece and falls in love with Bugs (wearing a groom's topper). ""You know, I always helps a picture to have a romantic ending,"" Bugs concludes. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X937"">DVD X937Ж"
"Bully for Bugs (1953)","Bugs Bunny takes a wrong turn at Albuquerque and winds up in a Mexican bullring fighting one heck of a big bullying bull. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж"
"Bunny Hugged (1951)","Bugs is the mascot of wrestler Ravishing Ronald, who's getting mauled by the villain wrestler (Ronald's signs reading ""Help!"", ""S.O.S.!"" and ""Foul!"" earn no respite). Bugs laments, ""There goes my bread and butter!"" He decides to take the wrestler's place against The Crusher, and uses ""strategy"" to avoid getting crushed. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3137"">DVD 3137Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8513"">DVD 8513Ж"
