"Source:","http://www.lib.berkeley.edu/MRC/australianfilm.html"
"
Australian and New Zealand Cinema


Ж
"Broken English (New Zealand 1997)","Directed by Gregor Nicholas. Cast: Aleksandra Vujcic, Julian Arahanga, Rade Serbedzua. Free-spirited Nina is a Bosnian refugee living with her family in suburban New Zealand. When she begins an intensely passionate affair with a Maori co-worker it sends shock waves through the tightly-knit migrant communities. But the explosive violence of her tyrannical father drives the couple apart and threatens to destroy the family he desperately struggles to control. 92 min. 999:1914","â€¢149;Ѭ href=""http://us.imdb.com/Title?Broken+English+(1996)"">Credits and other information from the Internet Movie DatabaseЖ
","Ѭ href=""http://www.lib.berkeley.edu/MRC/australianbib.html#brokenenglish"">See separate bibliography of reviews and articles about this filmЖ","Australian and New Zealand Cinema"
"The Chant of Jimmie Blacksmith (1978)","Directed by Fred Schepisi. Based on a true story focusing on the racism and hypocricy of a small Australian town at the turn of the century. Jimmie Blacksmith, a young Aborigine, is shunned by the town's white population despite his Christian education. He marries a white girl but when she gives birth to a ""white"" child, she is encouraged to leave her husband. When his employer refuses him food and payment, this final act of injustice pushes Jimmie over the edge. Driven by hate, and demanding retribution, he enters his employers house wielding an axe. Based on the novel by Thomas Keneally (MAIN: PR9619.3.K46 .C4) PAL format. 114 min. ;  (PAL format)","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X653"">DVD X653Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2201"">vhs 999:2201Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0077318"">Credits and other information from the Internet Movie DatabaseЖ

Ѭ href=""http://www.lib.berkeley.edu/MRC/australianbib.html#blacksmith"">See separate bibliography of reviews and articles about this filmЖ","Australian and New Zealand Cinema"
"Children of the Revolution (1996)","Directed by Peter Duncan. Cast: Judy Davis, Sam Neill, Richard Roxburgh, Rachel Griffiths, Geoffrey Rush, F. Murray Abraham. After a mad, passionate fling on a whirlwind trip to Moscow, party girl Joan Fraser returns home pregnant. And when little Joe is born, everyone wonders who ""Daddy"" is! Soon, the ball starts rolling on a hilarious sequence of events that includes a clueless husband, a lovesick double agent and even Joseph Stalin himself. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8533"">DVD 8533Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0115886/"">Credits and other information from the Internet Movie DatabaseЖ
","Australian and New Zealand Cinema"
"Cinema of Unease","A personal journey by Sam Neill to the landscape of his native New Zealand where he examines the emerging national film culture and pays tribute to film pioneers Rudall Hayward and John O'Shea, while focusing on the extraordinary growth of New Zealand cinema in the last two decades. 1997. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM443"">Video/C MM443Ж","Australian and New Zealand Cinema"
"The Coca-Cola Kid (1985)","Directed by Dusan Makavejev. Cast: Eric Roberts, Greta Scacchi, Bill Kerr. Becker, a wiz-kid marketing man, is sent to Australia to boost the famous soft drink's wavering sales. T. George McDowell is the ruling soda czar in this mini ""pop monopoly."" When Becker's offer to merge in the hope of tripling profits is rejected, an unlikely chain of events ignites and leads to an amusing solution to the cola war. Based on short stories by Frank Moorhouse. 94 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3080"">DVD X3080Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:942"">vhs 999:942Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0088931/"">Credits and other information from the Internet Movie DatabaseЖ
","Australian and New Zealand Cinema"
"Cousin(Australia, 1998)","Directed by Adam Elliot. An award winning animated film about the childhood remembrances of a little boy born with cerebral palsy. 4 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7473"">DVD 7473Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0211319/"">Credits and other information from the Internet Movie DatabaseЖ","Australian and New Zealand Cinema"
"Dead Alive (aka Braindead) (New Zealand, 1992)","Directed by Peter Jackson. Cast: Timothy Balme, Diana Penalver, Elizabeth Moody. A hapless young man's overbearing mother gets him into a heap of trouble when she catches a bizarre zombie virus and starts turning innocent passersby into walking corpses. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7576"">DVD 7576Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0103873/"">Credits and other information from the Internet Movie DatabaseЖ
","Australian and New Zealand Cinema"
"Dead Calm (1989)","Directed by Bruce Beresford. Cast: Sam Neill, Nicole Kidman, Billy Zane. John and Rae Ingram rescue the only surviving crew member of a crippled schooner only to find themselves the targets of a deranged killer. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2449"">vhs 999:2449Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0097162/"">Credits and other information from the Internet Movie DatabaseЖ","Australian and New Zealand Cinema"
"Dead Heart (1996)","Directed by Nick Parsons. Cast: Bryan Brown, Ernie Dingo, Angie Milliken, David Gulpilil. In this drama Lorkin, a local lawman in Australia, tries to reconcile the aboriginal tradition requiring revenge for murder vs. Australian law. The trouble begins when an Aboriginal prisoner is discovered dead in the town jail. More trouble brews when an Aborigine bootlegger takes the schoolteacher's bored wife out to a sacred area for an illicit tryst. Later he is found dead. Despite the lacking evidence, Lorkin suspects a murder and demands justice. His investigation leads him down a dangerous path culminating in a tense and unexpected climax. 106 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+930"">DVD 930Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0116047"">Credits and other information from the Internet Movie DatabaseЖ","Australian and New Zealand Cinema"
"The Efficiency Expert (aka Spotswood)(1992)","Directed by Mark Joffe. Cast: Anthony Hopkins, Ben Mendelsohn, Alwyn Kurtz, John Walton, Tony Collete, Russell Crowe, Daniel Willie. The Ball's Moccasins company is cash poor, but efficiency expert Erroll Wallace has come to rescue the eccentric family-run enterprise. With his charts, stopwatch and clipboard at the ready, Wallace aimes to streamline this, and maximize that, but can a bunch of cuckoos run a factory like clockwork? 97 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X230"">DVD X230Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3167"">vhs 999:3167Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0102969"">Credits and other information from the Internet Movie DatabaseЖ","Australian and New Zealand Cinema"
