"Source:","http://www.lib.berkeley.edu/MRC/serials.html"
"
Movie Serials, Series and Sequels
"
"
Ѭ href=""http://www.lib.berkeley.edu/MRC/level2.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/about.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/access.html"">Ж

Ѭ href=""http://www.lib.berkeley.edu/MRC/moviedb.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/FilmBibMenu.html"">Ж
Ѭ href=""http://www.lib.berkeley.edu/Catalogs/"">Ж
Ѭ href=""http://www.lib.berkeley.edu/MRC/filmstudies/index.html"">Ж","

"
"â€¢149;Ѭ href=""#serials"">SerialsЖ","â€¢149;Ѭ href=""#series"">Series and SequelsЖ"
"See also:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/remakes.html"">RemakesЖ"
"","Serials"
"The Adventures of Dr. Fu Manchu (TV, 1956)","Cast: Glenn Gordon, Lester Matthews, Clark Howat, Carla Balenda. Based on the story by Sax Rohmer. The golden god of Dr. Fu Manchu / writer, Richard Landru director, Franklin Adreon -- The master plan of Dr. Fu Manchu / writer, Arthur Orloff ; director, William Witney. Television dramas about the villainous Chinese master criminal Dr. Fu Manchu and his nemesis Sir Nayland Smith. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8283"">Video/C 8283Ж","Serials"
"See also:","â€¢149; Mask of Fu Manchu (1932; feature film) ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6521"">DVD 6521Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1242"">vhs 999:1242Ж","Serials"
"Adventures of Captain Marvel (1941)","Directed by Robert F. Hill and Scott Sidney. Cast: Tom Tyler, Frank Coghlan, Jr., William Benedict, Louise Currie ... [et al.]. The Adventures of Captain Marvel marked the first time that a comic book superhero's exploits were transformed to the silver screen. An action-packed mystery thriller which unfolds in 12 riveting episodes, considered by many to be the finest cliffhanger serial ever made. ch. 1. Curse of the Scorpion -- ch. 2. Guillotine -- ch. 3. Bomb -- ch. 4. Death takes the wheel -- ch. 5. Scorpion strikes -- ch. 6. Lens of death -- ch. 7. Human targets -- ch. 8. Boomerang -- ch. 9. Dead man's trap -- ch. 10. Doom ship -- ch. 11 Valley of death -- ch. 12. Captain Marvel's secret. 216 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4220"">DVD X4220Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0033317/"">Credits and other information from the Internet Movie DatabaseЖ
","Serials"
"Adventures of Tarzan (1921)","Directed by Robert F. Hill and Scott Sidney. Cast: Elmo Lincoln, Louise Lorraine, Scott Pembroke, Frank Whitson, George Monberg. In this 1921 film serial major players are Tarzan, Jane, Tarzan's arch enemy Rokoff and Queen La of Opar. Tarzan's companions are Tantor the elephant and two ape friends: a female called Ara and a male named Og. Tarzan, now allied with the French Secret Service, pursues his arch enemy, international criminal and blackmailer Rokoff and his cohort, rogue French officer Gernot, who have come to Africa to plunder its treasures. Rokoff also steals from Tarzan the formula for a deadly gas. Contents: Disc 1. Prologue-- Tarzan of the apes -- Return of Tarzan -- City of gold -- Stalking death -- Flames of hate -- Ivory tomb. -- Disc 2. Hidden foe -- Dynamite trail -- Jungle's prey -- Flaming. Special features: Stills and memorabilia; Edgar Rice Burroughs interview; deleted scenes; 15-minute extended ""trailer"" of Squadron DVD release Beatrice Fairfax. 217 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3066"">DVD X3066Ж","Serials"
"Adventures of Tarzan (1921)","Directed by Robert F. Hill and Scott Sidney. Cast: Elmo Lincoln, Louise Lorraine, Scott Pembroke, Frank Whitson, George Monberg. Fifteen chapters of a silent motion picture serial adapted from the concluding chapters of Burroughs' The Return of Tarzan. Tarzan travels to the city of Opar to foil the evil Rokoff and save Jane. The scene of Tarzan (Elmo Lincoln) fighting and killing the lion was a real one. The lion attacked Lincoln, who was forced to fight for his life and manged to kill the animal after stabbing it several times. The scene was left in the film. 186 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3784"">vhs 999:3784Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0011908/"">Credits and other information from the Internet Movie DatabaseЖ","Serials"
"See also:","â€¢149;Ѭ href=""#tarzanseries"">Tarzan seriesЖ","Serials"
