"Source:","http://www.lib.berkeley.edu/MRC/corporationsmovies.html"
"
Corporations, Wall Street, and Sundry Capitalism
in the Movies
"L'Argent (Money) (France, 1928)","Directed by Marcel L'Herbier. Cast: Brigitte Helm, Alfred Abel, Pierre Alcover, Yvette Guilbert, Antonin Artaud. Business tycoons Saccard and Gunderman lock horns when the former tries to raise capital for his faltering bank. To inflate his stock, Saccard concocts a duplicitous publicity stunt involving the unwitting aviator Hamelin and a flight across the Atlantic, much to the dismay of his wife Line. The Hamelins become pawns in a high-stakes chess game played out by unscrupulous speculators. Based on L'Argent by â€¢201;mile Zola. Special features: newly improvised musical accompaniment by French composer and pianist Jean-Francois Zygel ; About L'argent (1928) ; Jean Drâ€¢233;ville's 40 min ""making of"" documentary ; Marcel L'Herbier: Poet of the silent art (2007) ; a 54 min documentary profile ; archival footage of Brigitte Helm arriving in Paris and screen-tests of the actors ; a demonstration of L'Herbier's innovative sound techniques. 165 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6013"">DVD X6013Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0085180/"">Credits and other information from the Internet Movie DatabaseЖ
","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Au bonheur des dames (France, 1930)","Directed by Julien Duvivier. Cast: Dita Parlo, Ginette Maddie, Andrâ€¢233;e Brabant, Pierre de Guingand. Denise, an orphaned girl, moves to Paris where she hopes to find work at her uncle's store. But the glamorous department store 'Aux Bonheur des Dames' across the street crunches all the little businesses around. She finds a position there despite the fact that the store is threatening to put her uncle out of business. Based on a novel by Emile Zola. Bonus features: Introduction by French film collector Serge Bromberg; featurette on recording the music score; La ventre d'un magasin: a short documentary about a department store. 89 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2002"">DVD X2002Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0020656/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Walter, Klaus Peter. ""La Ranâ€¢231;on du progrâ€¢232;s: Naturalistic discourse and two adaptation of Zola's Au bonheur des dames."" In: Zola and film : essays in the art of adaptation / edited by Anna Gural-Migdal and Robert Singer ; with a foreword by Brigitte Emile-Zola. Jefferson, N.C. : McFarland & Co., c2005. (Main (Gardner) Stacks PQ2538 .Z64 2005)
â€¢149;Wolter, Jennifer. ""Viewing Au boneur des dames in the context of occupied France."" In: Zola and film : essays in the art of adaptation / edited by Anna Gural-Migdal and Robert Singer ; with a foreword by Brigitte Emile-Zola. Jefferson, N.C. : McFarland & Co., c2005. (Main (Gardner) Stacks PQ2538 .Z64 2005)


","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Baby Boom (1987)","Directed by Charles Shyer. Cast: Diane Keaton, Harold Ramis, Sam Wanamaker, James Spader, Pat Hingle, Britt Leach, Kristina & Michelle Kennedy, Sam Shepard. An over-achieving businesswoman's life is changed by the arrival of a twenty-two pound bundle named Elizabeth. She tries to juggle a high-pressure career and instant motherhood in this fast-paced comedy about a woman who discovers what's really important in life. 110 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2589"">DVD X2589Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0092605/"">Credits and other information from the Internet Movie DatabaseЖ
","See also:","â€¢149;Beach, Christopher. ""Yuppies and Other Strangers: Class Satire and Culture Class in Contemporary Film Comedy."" In: Class, language and American film comedy / Christopher Beach. Cambridge, U.K. ; New York : Cambridge University Press, 2002. (Ѭ href=""http://site.ebrary.com/lib/berkeley/docDetail.action?docID=10021925"">Full text available onlineЖ [UCB users only]; Print: Main (Gardner) Stacks PN1995.9.C55 B43 2002]","â€¢149;Desjardins, Mary. ""Baby Boom: the comedy of surrogacy in film and television."" Velvet Light Trap (Spring 1992): 21(10). Ѭ href=""http://go.galegroup.com/ps/i.do?id=GALE%7CA90190398&v=2.1&u=ucberkeley&it=r&p=LitRC&sw=w"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Ward, Carol M. ""The Hollywood Yuppie: 1980-1988."" In: Beyond the stars: stock characters in American popular film. / edited by Paul Loukides and Linda K. Fuller. Bowling Green, Ohio : Bowling Green University Popular Press, c1990- (PN1995.9.C36 B49 1990 vol 1)","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"The Bad Sleep Well (Warui yatsu hodo yoku nemuru) (1960)","Directed by Akira Kurosawa. Akira Kurosawa, the acclaimed Japanese director, adopts the American gangster-film style to weave a fascinating tale of corporate greed. The story focuses on a grieving son, (Toshiro Mifune), who seeks revenge for his father's murder as he infiltrates the corrupt construction company that was responsible for his father's death. 152 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2834"">DVD 2834Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2283"">vhs 999:2283Ж","â€¢149;Ѭ href=""%20http://us.imdb.com/title/tt000054460"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:
â€¢149; Maxfield, James. ""The Moral Ambiguity of Kurosawa's Early Thrillers."" Film Criticism v. 18 (Fall '93) p. 20-35.


","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Barbarians at the Gate(TV, 1993)","Directed by Ben Younger. Cast: James Garner, Jonathan Pryce, Peter Riegert, Joanna Cassidy. In the 1980s, everyone was making the big bucks and F. Ross Johnson, CEO of RJR Nabisco, wants to make his fortune. He decides to buy out the Nabisco shareholders and take over his company in order to escape the tyranny of the stockholders. Johnson is introduced to the master of the leveraged buyout, Henry Kravis, but afraid of losing the company to this sharp dealer, he decides to make his move with Peter Cohen. Kravis mounts his own buy-out campaign, which leads to a battle for control of Nabisco. Based on the book: Barbarians at the gate / by Bryan Burrough and John Helyar. 107 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3878"">DVD X3878Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0106356/"">Credits and other information from the Internet Movie DatabaseЖ
","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Boiler Room(2000)","Directed by Ben Younger. Cast: Giovanni Ribisi, Vin Diesel, Nia Long, Nicky Katt, Scott Caan, Ben Affleck. Seth runs a small-time casino operation out of his apartment. With his streetwise business smarts, he's recruited to join the city's newest and hottest stock brokerage firm, and quickly takes to his new job's instant riches and fast-life pleasures. When he wins the eye and heart of Greg's ex-girlfriend, everything seems too good to be true. Special features: Deleted scenes/alternate ending; commentary by director, producer, and cast member; isolated score with composer comentary, original theatrical trailer, cast and crew filmographies. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5714"">DVD 5714Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0181984/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Gillespie, Nick. ""Boiler Room Boilerplate"" Reason, May2000, Vol. 32 Issue 1, p4, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=3005702&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Schickel, Richard. ""It's All in the Selling."" Time, 02/28/2000, Vol. 155 Issue 8, p96, 2/3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=2808606&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Weiss, Gary. ""How Real is Boiler Room?"" BusinessWeek, 02/28/2000, Issue 3670, p146-146, 1p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=2797968&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ


","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"The Bonfire of the Vanities (1990)","Directed by Hal Hartley. Cast: Tom Hanks, Bruce Willis, Melanie Griffith, Morgan Freeman. A Wall Street wheeler-dealer has everything going his way. But one night, in the right car with the wrong woman, he took a wrong turn at the wrong place, and nothing has gone right ever since! Based on the novel by Tom Wolfe. 126 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7619"">DVD 7619Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0099165/"">Credits and other information from the Internet Movie DatabaseЖ
Ѭ href=""http://www.lib.berkeley.edu/MRC/depalma.html#vanities"">See separate bibliography of reviews and articles about this filmЖ","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"The Boss of It All (Direktâ€¢248;ren for det hele (Denmark | Sweden | Iceland | Italy | France | Norway | Finland | Germany, 2006) )","Directed by Lars von Trier. Cast: Jens Albinus, Peter Gantzler, Fridrik Thor Fridiksson, Benedikt Erlingsson, Iben Hjejle, Henrik Prip, Mia Lyhne, Casper Christensen, Louise Meritz, Jean-Marc Barr, Sofie Grâ€¢229;bâ€¢248;l, Anders Hove. When decisions needed to be made at the office, the owner invented a nonexistent company president to hide behind. Now, forced to bring the ""Boss"" face-to-face with potential purchasers and employees, he hires a failed actor to play the part. Much to everyone's surprise, the unmasked boss plays the ultimate part by becoming a hero. Special features: Mockumentaries: ""The actors (and the journalist) of it all"" and ""The foreigners of it all;"" ""The making of The boss of it all"" featurettes; ""The director of it all"" featurette; ""Automavision: the new dogma"" featurette. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4073"">DVD X4073Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0469754/"">Credits and other information from the Internet Movie DatabaseЖ

See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/vontrierbib.html"">Lars von Trier bibliographyЖ

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"The China Syndrome (1979)","Directed by James Bridges. Cast: Jane Fonda, Jack Lemmon, Michael Douglas, Richard Herd, Peter Donat, Scott Brady. It started as just another assignment. Reporter Kimberly Wells and cameraman Richard Adams were covering the daily routine at an Los Angeles power plant when the unthinkable occurred: a nuclear accident that could have wiped out Southern California. And Richard caught it all on tape. When their TV station refuses to air the footage, Wells and Adams recruit plant supervisor Jack Godell to expose the terrifying truth: the facility is a ticking bomb. But with millions of dollars at stake, company officials cannot let the story break. When the trio attempts to broadcast live from the plant's control room, the utility company does everything in its power to silence Godell permanently, as the world watches. Special features: Two exclusive documentaries featuring new interviews with stars Jane Fonda and Michael Douglas ; deleted scenes ; filmographies ; previews. Associate producer, James Nelson ; executive producer, Bruce Gilbert. 122 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8912"">DVD 8912Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0078966/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards

â€¢149;British Academy of Film and Television Arts Awards - Best Actor (Jack Lemmon); Best Actress (Jane Fonda)
â€¢149;Cannes Film Festival - Best Actor (Jack Lemmon)



Ѭ href=""http://www.lib.berkeley.edu/MRC/disasterbib.html#chinasyndrome"">See separate bibliography of reviews and articles about this filmЖ","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Citizen Kane (1941)","Directed by Orson Welles. Cast: Welles, Joseph Cotten, William Alland, Everett Sloane, Agnes Moorehead. When one of the world's richest and most influential men dies muttering the word ""Rosebud"", a newspaper's managing editor insists that Kane's obituary film is missing something and ""needs an angle."" He orders his top reporter Thompson (Alland) to discover what ""Rosebud"" means. Thompson searches for, finds, and interviews five key figures, but ulimately does not solve the mystery. Because Kane was purportedly based on newspaper mogul William Randolph Hearst, efforts were made to surpress the film, by 'Hearst hatchet woman' Louella Parsons, among others. 119 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+852"">DVD 852Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:85"">vhs 999:85Ж","â€¢149;Ѭ href=""http://us.imdb.com/M/title-exact?Citizen+Kane+(1941)"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards & Honors
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ

","Ѭ href=""http://www.lib.berkeley.edu/MRC/wellesbib.html#kane"">See separate bibliography of reviews and articles about this filmЖ

","See also:","See also:The Battle Over Citizen Kane  <","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+555"">DVD 555Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4210"">Video/C 4210Ж","â€¢149;""Citizen Kane."" In: Best American screenplays 2 : complete screenplays / edited by Sam Thomas. New York : Crown Publishers, c1990. (Main (Gardner) Stacks PN1997.A1 B364 1990)","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
