"Source:","http://www.lib.berkeley.edu/MRC/corporationsmovies.html"
"
Corporations, Wall Street, and Sundry Capitalism
in the Movies
"Lamerica (Italy / France, 1994)","Directed by Gianni Amelio. Cast: Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli, Elida Janushi, Sefer Pema, Idajet Sejdia, Marieta Ljarja. After 50 years of communist rule, a poverty stricken Albania finds itself overrun with exploitative capitalists, in particular two Italian businessmen looking to prosper in the changing economy. Forced to name an Albanian citizen as their company's acting chairman, they find the perfect pawn in a deranged former political prisoner. But when he suddenly disappears the Italians begin a journey that will ultimately reshape the integrity of their souls. Special DVD features: Deleted scenes (9 min.), alternate ending (5 min.); photo album; poster gallery; Italian theatrical trailers (2 min.). 135 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8996"">DVD 8996Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2660"">vhs 999:2660Ж","â€¢149; Ѭ href=""http://us.imdb.com/title/tt0110299"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Agovino, Michael J. ""Mind fixed on the moment, eyes on the past."" Migration World Magazine; 1996, Vol. 24 Issue 3, p49, 1p
â€¢149;Crowdus, Gary, et al. ""Gianni Amelio, Beyond Neorealism: Preserving a Cinema of Social Conscience."" Cineaste; Dec95, Vol. 21 Issue 4, p6, 8p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=9601120848&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;D'Eliz-Zunino, Renee ""The myth of whiteness and a changing Italy: historic memory and colonialist attitudes in Lamerica."" In: At home and abroad : historicizing twentieth-century whiteness in literature and performance / edited by La Vinia Delois Jennings. Knoxville : University of Tennessee Press, c2009. (Main (Gardner) Stacks PN56.3.W45 A8 2009)
â€¢149;Delaney, Kate. ""Are We There Yet? Immigration to ""America"" in Post-Cold War Cinema."" European Contributions to American Studies; Oct2005, Vol. 60, p49-56, 8p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=45925290&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Iordanova, Dina. ""Balkan film representations since 1989: the quest for admissibility."" Historical Journal of Film, Radio & Television; 1998, Vol. 18 Issue 2, p263-280, 18p Ѭ href=""http://www.tandfonline.com/doi/pdf/10.1080/01439689800260171"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;O'Healy, â€¢193;ine. ""Lamerica."" In: The cinema of Italy
Edited by Giorgio Bertellini ; [preface by Gian Piero Brunetta]. London ; New York: Wallflower, 2004. (Main; Moffitt: PN1993.5.I88 C5677 2004)
â€¢149;Parvulescu, Constantin. ""Inside the Beast's Cage: Gianni Amelio's Lamerica and the Dilemmas of Post-1989 Leftist Cinema."" Italian Culture, vol. 28, no. 1, pp. 50-67, 2010 Mar Ѭ href=""http://www.ingentaconnect.com/content/maney/itc/2010/00000028/00000001/art00004"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Vitti, Antonio. The films of Gianni Amelio : the search for a cinema of social conscience, true to his roots Pesaro : Metauro, 2009. (Main (Gardner) Stacks PN1998.3.A52 V58 2009)




See also:
â€¢149;Amelio, Gianni Lamerica : sceneggiatura originale dell'omonimo film di Amelio / Gianni Amelio, Andrea Porporati, Alessandro Sermoneta. Mantova : Circolo del cinema, 1999.
â€¢149;Amelio, Gianni. Mantova : Circolo del cinema, 1999. (Main (Gardner) Stacks PN1997.L21123 A54 1999)

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Local Hero (UK, 1983)","Directed by Bill Forsyth. Cast: Peter Riegert, Denis Lawson, Fulton Mackay, Burt Lancaster. A comedy about the interaction between Americans representing a Texas oil company and the inhabitants of a small village in Scotland. 111 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4175"">DVD X4175Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0085859/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Benedictus, David. Local hero / David Benedictus ; based on a screenplay by Bill Forsyth. Harmondsworth, Middlesex, England ; New York, N.Y., U.S.A. : Penguin Books, 1983. (NRLF (UCB) PR6052.Be47 L6 1983)


","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Lover Come Back (1961)","Directed by Delbert Mann. Cast: Rock Hudson, Doris Day, Tony Randall, Edie Adams, Jack Oakie, Jack Kruschen. Business gets mixed with pleasure when two advertising executives go after the same account. 117 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8875"">DVD 8875Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0055100/"">Credits and other information from the Internet Movie DatabaseЖ
Reviews and articles:

â€¢149;Bingham, Dennis. """"Before She Was a Virgin . . ."": Doris Day and the Decline of Female Film Comedy in the 1950s and 1960s."" Cinema Journal. Spring 2006. Vol. 45, Iss. 3; p. 3 (29 pages) Ѭ href=""http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&res_dat=xri:iipa:&rft_dat=xri:iipa:article:citation:iipa00376820"">Full-text of this article / review is available:UC users onlyЖ
â€¢149; Krutnik, Frank. The Enterprise Of Seduction: Sex and Selling In 'Lover Come Back'. Journal of Popular Film & Television 1995 22(4): 180-191 12p.Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=A000417178.01&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Mad Men(TV series)","SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html"">Television videographyЖ","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Mama, There's a Man in Your Bed (Romuald et Juliette) (France, 1989)","Directed by Coline Serreau. Cast: Daniel Auteuil, Firmine Richard, Pierre Vernier, Maxime Leroux, Gilles Privat. A manager of a dairy products company is being framed by two employees who are preparing for a boardroom coup. The manager finds an unexpected ally with the cleaning lady, who has overheard incriminating evidence against the two men. Eventually the manager realises that he has also fallen in love with his ally. 107 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3929"">DVD X3929Ж","â€¢149;Ѭ href=""Coline%20Serreau"">Credits and other information from the Internet Movie DatabaseЖ
","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"The Man in the Gray Flannel Suit (1956)","Directed by Nunnally Johnson. Cast: Gregory Peck, Jennifer Jones, Fredric March, Gene Lockhart, Marisa Pavan, Lee J. Cobb, Ann Harding, Keenan Wynn. An veteran of World War II (still haunted by its memories) gets a job in a public relations firm. With added tension at work and increasing personal problems, the rising young executive must decide as his boss did--what is the most important thing in life, family or success? This exceptional drama, acclaimed for its extraordinary realism is a classic commentary on the American Dream. From the novel by Sloan Wilson. (Main (Gardner) Stacks Main (Gardner) Stacks PS3573.Wi475 M3) 153 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4690"">DVD 4690Ж","â€¢149; Ѭ href=""http://us.imdb.com/Title?0049474"">Credits and information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Boozer, Jack. ""The Classical Corporate Executive Film."" In: Career Movies : American Business and the Success Mystique Austin : University of Texas Press, 2002. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10172711"">Full text available onlineЖ [UC Berkeley users only]; Print: Main (Gardner) Stacks PN1995.9.B87 B66 2002)
â€¢149;Cheever, Abigail. ""'The Man He Almost Is': Performativity and the Corporate Narrative."" In: Real phonies : cultures of authenticity in post-World War II America / Abigail Cheever. Athens : University of Georgia Press, c2010. (Ѭ href=""http://site.ebrary.com/lib/berkeley/docDetail.action?docID=10367029&p00"">Full text available onlineЖ [UC Berkeley users only]; Print: Main (Gardner) Stacks PS228.S36 C47 2010)
â€¢149;Lopate, Phillip. ""Hollywood Looks At The Business Office."" New Labor Forum. New York: Dec 31, 2001. , Iss. 9; pg. 79 Ѭ href=""http://proquest.umi.com/pqdlink?did=507641751&sid=1&Fmt=3&clientId=1566&RQT=309&VName=PQD"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Sharrett, Christopher. ""The Man in the Gray Flannel Suit."" Cineaste; Spring2006, Vol. 31 Issue 2, p66-68, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=20356781&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Rosenberg, Emily S. ""'Foreign Affairs' after World War II: Connecting sexual and international politics."" Diplomatic History; Winter94, Vol. 18 Issue 1, p59, 12pѬ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=9410122170&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Spector, Bert. ""The Man in the Gray Flannel Suit in The Executive Suite: American Corporate Movies in the 1950's Academy of Management Annual Meeting Proceedings, 2007, p1-6, 6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=26530842&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ


","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Margin Call (2011)","Directed by J.C. Chandor. Cast: Kevin Spacey, Paul Bettany, Jeremy Irons, Zachary Quinto, Penn Badgley, Simon Baker, Mary McDonnell, Demi Moore, Stanley Tucci, Aasif Mandvi, Ashley Williams, Susan Blackwell, Maria Dizzia. Who cares about the suffering--existential, financial, or other--of those who blindly mismanaged our monies into this ever-expanding, verily bottomless pit of debt? No one, but this drama may help viewers understand A) the birth of current financial woes, and B) what it might have been like, in those first few hours within the confines of an early investment trading firm casualty. Fueled by a mass layoff, a thumb drive, and a rocket-scientist-cum-analyst who really understands the numbers, the last night of good times on Wall Street unfolds as rung by rung, up the executive ladder, travels news that is -- apocalyptic. For viewers who still have no idea of how 2008's meltdown happened, this film is one fiction that will make it ever so much more real. Special features: Director and producer feature commentary [optional audio]; Deleted scenes [with optional commentary] (5 min.); Revolving door: Making ""Margin Call"" (6 min.); Missed calls: Moments with cast & crew (1 min.); From the deck: photo gallery [slide show] (4 min.); Also from Lionsgate (8 min.). 107 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6868"">DVD X6868Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt1615147/"">Credits and information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Clover, Joshua. ""Playing by Numbers."" Film Quarterly, Spring2012, Vol. 65 Issue 3, p7-9, 3p Ѭ href=""http://www.jstor.org/stable/10.1525/FQ.2012.65.3.07"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Cooper, Rand Richards. ""Dead Men Walking."" Commonweal, 12/2/2011, Vol. 138 Issue 21, p19-20, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=69826571&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Feld, Bruce. ""Margin Call"" Film Journal International, Oct2011, Vol. 114 Issue 10, p51-52, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=66814726&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Thompson, Hal. ""Wall Street in Wide Screen."" Financial History. Fall2011, Issue 101, p26-28. 3p. Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=67182526&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Verini, Bob ""They Gave Us the Business."" Script , Nov/Dec2011, Vol. 17 Issue 6, p32-37, 6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=67182526&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Westwood, Christine. ""Crash Course."" Film Journal International, Apr2011, Vol. 114 Issue 4, p24-46, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=59761093&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Michael Clayton (2007)","Directed by Tony Gilroy. Cast: George Clooney, Tom Wilkinson, Tilda Swinton, Sydney Pollack, Michael O'Keefe. Michael Clayton is an in-house fixer at one of the largest corporate law firms in New York. A former criminal prosecutor, Clayton takes care of the law firm's dirtiest work at the behest of the firm's co-founder, Marty Bach. Burned out with his job as a fixer, his divorce, a failed business venture, and mounting debt have left Clayton inextricably tied to the firm. When the firm's top litigator goes from advocate to whistleblower, its up to Michael to undo the damage. 119 min. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9291"">DVD 9291Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0465538/"">Credits and other information from the Internet Movie DatabaseЖ
â€¢149;Awards

â€¢149;Academy Awards, USA - Best Supporting Actress (Tilda Swinton)
â€¢149;National Board of Review, USA - Best Actor (George Clooney)
â€¢149;San Francisco Film Critics Circle - Best Actor (George Clooney)



Reviews and articles:

â€¢149;Alleva, Richard. ""The Fixer."" Commonweal, 11/9/2007, Vol. 134 Issue 19, p20-21, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=27438064&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Blake, Richard A. ""A Man for Our Season."" America, 11/26/2007, Vol. 197 Issue 17, p19-23, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=27542455&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Denby, David. ""Michael Clayton."" New Yorker, 11/12/2007, Vol. 83 Issue 35, p19-21, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=27413034&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Jones, Kent. ""Michael Clayton."" Film Comment, Jan/Feb2008, Vol. 44 Issue 1, p40-40, 1/6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=28334148&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Kamir, Orit ""Michael Clayton, Hollywood's Contemporary Hero-Lawyer: Beyond Outsider within and Insider Without."" 42 Suffolk University Law Review 829 (2008-2009) Ѭ href=""http://heinonline.org/HOL/Page?handle=hein.journals/sufflr42&id=843&collection=journals&index="">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Kemp, Philip. ""Michael Clayton."" Sight & Sound, Oct2007, Vol. 17 Issue 10, p60-62, 2pѬ href=""http://search.ebscohost.com/login.aspx?direct=true&db=ibh&AN=26938135&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Nayman, Adam. ""Up in the Air."" Cinema Scope, Winter2010, Issue 41, p72-73, 2p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=47253635&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Rothaupt, Jeanne W.; Flom, Barb. ""Michael Clayton."" Journal of Feminist Family Therapy; 2008, Vol. 20 Issue 3, p277, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=flh&AN=MFS-34718905&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Kamir, Orit. ""Michael Clayton, Hollywood's Contemporary Hero-Lawyer: Beyond Outsider Within and Insider Without."" (Part of Symposium: Legal Outsiders in American Film) Suffolk University Law Review, 2009, Vol. 42 Issue 4, p829-848, 20p Ѭ href=""http://www.heinonline.org/HOL/Page?handle=hein.journals/sufflr42&id=843&collection=journals&index="">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Salter, Chuck. ""Trade Secrets."" Fast Company; Apr2009, Issue 134, p43-45, 3p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=36959557&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ



See also:
â€¢149;Gilroy, Tony. Michael Clayton : [screenplay] / by Tony Gilroy. United States : Warner Bros. Pictures, 2006. (Pacific Film Archive PN1997.M523 G54 2006)


","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Money (L'Argent) (France, 1928)","Directed by Marcel L'Herbier. Cast: Brigitte Helm, Alfred Abel, Pierre Alcover, Yvette Guilbert, Antonin Artaud. Business tycoons Saccard and Gunderman lock horns when the former tries to raise capital for his faltering bank. To inflate his stock, Saccard concocts a duplicitous publicity stunt involving the unwitting aviator Hamelin and a flight across the Atlantic, much to the dismay of his wife Line. The Hamelins become pawns in a high-stakes chess game played out by unscrupulous speculators. Based on L'Argent by â€¢201;mile Zola. Special features: newly improvised musical accompaniment by French composer and pianist Jean-Francois Zygel ; About L'argent (1928) ; Jean Drâ€¢233;ville's 40 min ""making of"" documentary ; Marcel L'Herbier: Poet of the silent art (2007) ; a 54 min documentary profile ; archival footage of Brigitte Helm arriving in Paris and screen-tests of the actors ; a demonstration of L'Herbier's innovative sound techniques. 165 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6013"">DVD X6013Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0085180/"">Credits and other information from the Internet Movie DatabaseЖ
","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"The Navigators (UK | Germany | Spain, 2001)","Directed by Ken Loach. Cast: Dean Andrews, Tom Craig, Joe Duttine, Sean Glenn, Steve Huison, Venn Tracey, John Aston, Juliet Bates, Charlie Brown. In South Yorkshire, as big business takes hold of the British Rail industry, a local depot gang is forced to either adapt to the new managerial double-talk or take chances with receiving severance pay. Agreements set long ago are suddenly undermined by a new managing director who wipes the slate clean. Tensions mount when the men show up at the depot only to find there is no work for them. 95 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5675"">DVD 5675Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0279977/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/ukbib.html#loach"">Ken Loach bibliographyЖ

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Network (1976)","Directed by Sidney Lumet. Cast: Faye Dunaway, William Holden, Peter Finch, Robert Duvall. An incisive satirical comment on the sorry state of telecasting. Veteran newscaster Howard Beale drives up his network's ratings when he rants about the state of the world and threatens to commit suicide on TV. The nightly newscast becomes tawdry entertainment until Beale changes his tune, and when his ratings go down, the programming exec works with the head of a media-savvy terrorist group to assassinate the newsman during a broadcast. 116 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5781"">DVD 5781Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:827"">vhs 999:827Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0074958/"">Credits and other information from the Internet Movie DatabaseЖ

â€¢149;Awards & Honors

â€¢149;Academy Awards - Best Actor (Peter Finch); Best Actress (Faye Dunaway)
â€¢149;British Academy of Film and Television Arts Awards - Best Actor (Peter Finch)
â€¢149;Golden Globes, USA - Best Director; Best Actor, Drama (Peter Finch); Best Actress, Drama (Faye Dunaway)
â€¢149;Los Angeles Film Critics Association Awards - Best Picture; Best Director
â€¢149;Ѭ href=""http://www.loc.gov/film/"">National Film Registry SelectionЖ


","See also:","â€¢149;Boyer, Jay. Sidney Lumet New York : Twayne ; Toronto : Maxwell Macmillan Canada ; New York : Maxwell Macmillan International, c1993. (Main (Gardner) Stacks PN1998.3.L86 B69 1993)","â€¢149;Cunningham, Frank R. Sidney Lumet : film and literary vision Lexington, Ky. : University Press of Kentucky, c2001. (Main (Gardner) Stacks PN1998.3.L86 C8 2001)","â€¢149;Fitzpatrick, Kathleen. ""Network: The Other Cold War."" Film & History, 31.2 2001, 33-39 Ѭ href=""http://machines.pomona.edu/dossier/files/2001/09/fitzpatrick-network.pdf"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Lumet, Sidney. Sidney Lumet : interviews / edited by Joanna E. Rapf. Jackson : University Press of Mississippi, 2006. (Main (Gardner) Stacks PN1998.3.L86 S53 2006)","â€¢149;Tomasulo, Frank P. ""Mediated America: Network."" In: American cinema of the 1970s : themes and variations / edited by Lester D. Friedman. New Brunswick, N.J. : Rutgers University Press, c2007. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10214185"">Full-text available onlineЖ (UC Berkeley users only); Print: Main (Gardner) Stacks PN1993.5.U6 A8577 2007)","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"One Two Three (1961)","Directed by Billy Wilder. Cast: James Cagney, Horst Buchholz, Pamela Tiffin, Arlene Francis. In one of his very best roles, Cagney plays C.R. MacNamara, a brash, top-ranking Pepsi-Cola executive stationed in West Berlin. When his boss's harebrained daughter falls in love and marries a fierce young Communist, Mac must break up the union or risk losing his chance for advancement. Before you can say ""one, two, three,"" events are spinning out of control, and he is obliged to deal with ferocious Russians, heel-clicking Germans and his suspicious, exasperated wife. Based on the play ""Egy, ketto, harom"" by Ferenc Molnar. 110 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1763"">DVD 1763Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2702"">vhs 999:2702Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0055256"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/wilderbib.html"">Billy Wilder bibliographyЖ

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Other People's Money (1991)","Directed by Norman Jewison. Cast: Danny DeVito, Gregory Peck, Penelope Ann Miller, Piper Laurie, Dean Jones, Tom Aldredge, R.D. Call, Mo Gaffney, Bette Henritze. A comedy about a ruthless Wall Street deal maker who pursues the hostile takeover of a small manufacturing company, New England Wire & Cable, and during the buyout attempt becomes enamoured with the company's attorney. Based on the play by Jerry Sterner. 101 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3789"">DVD X3789Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0102609/"">Credits and other information from the Internet Movie DatabaseЖ

","See also:","â€¢149;Feldman, Stuart. ""Business Gets a Bad Rap."" Management Review, Nov92, Vol. 81 Issue 11, p49, 6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=6137128&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Graham, Lise; Peâ€¢241;a, Leticia; Kocher, Claudia. ""Other People's Money: A Visual Technology for Teaching Corporate Restructuring Cross-Functionally."" Journal of Management Education; Feb99, Vol. 23 Issue 1, p53-64, 12p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=1498218&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Patterns (TV, 1955)","Directed by Fielder Cook. Cast: Ed Begley, Richard Kiley, Everett Slone, Elizabeth Montgomery. In this television drama corporate politics gnaw away at a new employee as he watches a tender-hearted colleague berated and bullied by the company president. Originally shown on January 12, 1955 on NBC's Kraft Television Theatre. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2374"">DVD X2374Ж","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Pirates of Silicon Valley (1999)","Directed by Martyn Burke. Cast: Noah Wyle, Anthony Michael Hall, Joey Slotnick, John DiMaggio, Josh Hopkins. This film is a semi-humorous docudrama about the men who pioneered an industry that literally transformed the entire world: Apple Computer founders Steve Jobs and Steve Wozniak and Microsoft's Bill Gates and Steve Ballmer. Looks at their struggles during college, the founding of their companies, and the ingenious actions they took to build up their global corporate personal computer empires. Based on the book: Fire in the Valley by Paul Freiberger and Michael Swaine. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X38"">DVD X38Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0168122/"">Credits and other information from the Internet Movie DatabaseЖ","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Pittsburgh (1942)","Directed by Lewis Seiler. Cast: John Wayne, Marlene Dietrich, Randolph Scott, Frank Craven, Louise Allbritton, Shemp Howard, Thomas Gomez, Ludwig Stossel, Samuel S. Hinds. Charles 'Pittsburgh' Markham rides roughshod over his friends, his lovers, and his ideals in his trek toward financial success in the Pittsburgh steel industry, only to find himself deserted and lonely at the top. When his crash comes, he finds that fate has dealt him a second chance. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6070"">DVD X6070Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0035195/"">Credits and other information from the Internet Movie DatabaseЖ","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"Save the Tiger (1973)","Directed by John G. Avildsen. Cast: Jack Lemmon, Jack Gilford, Laurie Heineman, Patricia Smith, William Hansen, Norman Burton, Thayer David, Harvey Jason, Lara Parker. Harry Stoner is caught in a violent collision with his past and present life. He believes there is nothing significant in his life except survival, and that instinct pushes him beyond moral conduct. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4833"">DVD X4833Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0070640/"">Credits and information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Boozer, Jack. ""The Entrepreneurial Impulse."" In: Career Movies : American Business and the Success Mystique Austin : University of Texas Press, 2002. (Ѭ href=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10172711"">Full text available onlineЖ [UC Berkeley users only]; Print: Main (Gardner) Stacks PN1995.9.B87 B66 2002)

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
"The Secret of My Success (1987)","Directed by Herbert Ross. Cast: Michael J. Fox, Helen Slater, Richard Jordon, Margaret Whitton, Christopher Murney, John Pankow, Gerry Bamman, Carol-Ann Susi, Elizabeth Franz, Drew Snyder, Christopher Durang, Fred Gwynne. In this lampoon of corporate business life, a kid from Kansas comes to New York, conquers the business world and maneuvers his way from the mailroom to the boardroom in a matter of weeks. 111 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3797"">DVD X3797Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0093936/"">Credits and information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149; Ward, Carol M. ""The Hollywood Yuppie: 1980-1988."" In: Beyond the stars: stock characters in American popular film. / edited by Paul Loukides and Linda K. Fuller. Bowling Green, Ohio : Bowling Green University Popular Press, c1990- (PN1995.9.C36 B49 1990 vol 1)

","Corporations, Wall Street, and Sundry Capitalism
in the Movies"
