"Source:","http://www.lib.berkeley.edu/MRC/sanfranmovies.html"
"

San Francisco and the Bay Area in the Movies
"Basic Instinct (1992)","Directed by Paul Verhoeven. Cast: Michael Douglas, Sharon Stone, George Ozundza, Jeanne Tripplehorn. A tough but vulnerable San Francisco detective investigates a murder identical to one described in the latest novel of a cold, calculating and beautiful novelist with an insatiable sexual appetite. See: Ѭ href=""http://www.movie-locations.com/movies/b/basicinst.html"">World Guide to Movie Locations for more information.Ж 123 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+886"">DVD 886Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0103772/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/gangsterbib.html#instincts"">See separate bibliography of reviews and articles about this filmЖ","San Francisco and the Bay Area in the Movies"
"Berkeley (2005)","Directed by Bobby Roth. Cast: Nick Roth, Laura Jordan, Henry Winkler, Sarah Carter, Tom Morello, Jake Newton, Sebastian Tillinger, Bonnie Bedelia. The story of Ben Sweet, an eighteen year old boy who comes to UC Berkeley in 1968 to study accounting and avoid the draft. There begins an odyssey through sex, drugs, rock and roll, and political activism which turns his world upside down and leaves him on a path of exploration and self-discovery, far from the life of his conservative businessman father. 88 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9887"">DVD 9887Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0430918/"">Credits and other information from the Internet Movie DatabaseЖ
","San Francisco and the Bay Area in the Movies"
"Bicentennial Man (1999)","Directed by Chris Columbus. Cast: Robin Williams, Sam Neill, Embeth Davidtz, Wendy Crewson, Oliver Platt. This film follows the 'life' and times of the lead character, an android who is purchased as a household robot programmed to perform menial tasks. Within a few days the Martin family realizes that they don't have an ordinary droid as Andrew begins to experience emotions and creative thought. In a story that spans two centuries, Andrew learns the intricacies of humanity while trying to stop those who created him from destroying him. Based on the novel The Positronic Man, co-written by Isaac Asimov and Robert Silverberg, which is itself based on Asimov's original novella titled The Bicentennial Man. 131 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4124"">DVD X4124Ж","â€¢149; Ѭ href=""http://www.imdb.com/title/tt0182789/"">Credits and other information from the Internet Movie DatabaseЖ
","San Francisco and the Bay Area in the Movies"
"Big Trouble in Little China(1986)","Directed by John Carpenter. Cast: Kurt Russell, Kim Cattrall, Dennis Dun, James Hong, Victor Wong, Kate Burton, Donald Li, Carter Wong, Peter Kwong, James Pax. Jack Burton is a big-talking, wisecracking trucker who goes beneath the streets of San Francisco's Chinatown to battle an army of spirits when his friend's fiancee is kidnapped. 99 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X34"">DVD X34Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0090728/"">Credits and other information from the Internet Movie DatabaseЖ
","San Francisco and the Bay Area in the Movies"
"Birdman of Alcatraz (1962)","Directed by John Frankenheimer. Cast: Burt Lancaster, Karl Malden, Thelma Ritter, Neville Brand, Edmond O'Brien, Betty Field, Telly Savalas. The true story of Robert Stroud, a convicted killer living in solitary confinement, who avoids the depths of despair by becoming a world-renowned authority on birds during his imprisonment on Alcatraz Island. 149 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1306"">DVD 1306Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0055798"">Credits and other information from the Internet Movie DatabaseЖ
","San Francisco and the Bay Area in the Movies"
"The Birds (1963)","Directed by Alfred Hitchcock. Cast: Rod Taylor, Jessica Tandy, Suzanne Pleshette, Tippi Hedren. The unexplainable attack on the residents of Bodega Bay, California, by birds of all shapes and sizes is the subject of this classic Hitchcock thriller. See: Ѭ href=""http://www.movie-locations.com/movies/b/birds.html"">World Guide to Movie Locations for more information.Ж 119 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+199"">DVD 199Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:280"">vhs 999:280Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0056869/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/hitchcockbib.html#birds"">See separate bibliography of reviews and articles about this filmЖ","San Francisco and the Bay Area in the Movies"
"Born to Kill (1947)","Directed by Robert Wise. Cast: Lawrence Tierney, Claire Trevor, Walter Slezak. In Reno a man kills a girl he likes and her boyfriend out of jealousy; it may not be the first time. A woman whose divorce has just come through finds the bodies but decides not to become involved. The two meet next day on the train to San Francisco unaware of this link between them. They are attracted to each other, and the relationship survives his marriage to her half-sister for money and status. It even survives the woman discovering that he was the murderer, though she may not realise how easily someone who has killed this way before can do so again. 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4114"">DVD 4114Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0039211/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Foster, Gwendolyn Audrey. ""Queer Aesthetics of Film Noir: Born to Kill."" Quarterly Review of Film & Video, Jan2011, Vol. 28 Issue 1, p80-85, 6p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=55328756&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ



","See also:","â€¢149;Keenan, Richard C. The films of Robert Wise / Richard C. Keenan. Lanham, Md. : Scarecrow Press, 2007. (Main (Gardner) Stacks PN1998.3.W569 K44 2007)","â€¢149;Leemann, Sergio. Robert Wise on his films : from editing room to director's chair / by Sergio Leemann. Los Angeles : Silman-James Press ; Hollywood, CA : Distributed by Samuel French Trade, c1995. (Main (Gardner) Stacks PN1998.3.W569 L44 1995)","San Francisco and the Bay Area in the Movies"
"Bullitt (1968)","Directed by Peter Yates, Cast: Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon, Robert Duvall, Simon Oakland, Norman Fell. A star witness in a controversial court case is murdered, and the San Francisco police detective assigned to guard him goes after the killers himself. This razor-edged thriller features one of cinema history's most memorable car chases, in which expert auto/motorcycle racer McQueen did his own stunt driving. That sequence highlights the Golden Gate Bridge, Potrero Hill and San Mateo County. Special features before the movie: Behind the scenes documentary - Bullitt: Steve McQueen's commitment to reality (22 min.) -- Original theatrical trailer. 126 min. ; also ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5050"">DVD 5050Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+197"">DVD 197Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0062765"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Leitch, Thomas M. ""Bullitt and the Police Film."" In: Crime films Cambridge ; New York : Cambridge University Press, 2002. (UCB Main PN1995.9.D4 L45 2002; Ѭ href=""http://site.ebrary.com/lib/berkeley/Top?channelName=berkeley&cpage=1&docID=10030923&f00=text&frm=smp.x&hitsPerPage=20&layout=document&p00=gangster+films&sortBy=score&sortOrder=desc"">Full-text of this book available online via ebraryЖ - UC Berkeley users only)

","San Francisco and the Bay Area in the Movies"
"By Hook or by Crook (2001)","Directed by Harry Dodge and Silas Howard. Cast: Silas Howard, Harry Dodge, Stanya Kahn, Carina Gia. Shy's a handsome small-town loner who dumps his diner job and thumbs to San Francisco in pursuit of a life of petty crime. Along the way, he stumbles into the off-kilter Valentine, who is on a quest to locate his birthmother. An unexpected friendship sparks as they steal and grift their way towards understanding themselves and the crazy world around them. 95 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3063"">DVD 3063Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0290498/"">Credits and other information from the Internet Movie DatabaseЖ","San Francisco and the Bay Area in the Movies"
"Cannery Row (1982)","Directed by David S. Ward. Cast: Nick Nolte, Debra Winger, Audra Lindley, Frank McRae, M. Emmet Walsh. In the rundown California town of Monterey where the inhabitants struggle to survive and better themselves, a romance develops between a quiet marine biologist and a runaway supporting herself through prostitution. Based on the books Cannery Row and Sweet Thursday by John Steinbeck. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6392"">DVD X6392Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0083728/"">Credits and other information from the Internet Movie DatabaseЖ","San Francisco and the Bay Area in the Movies"
