"Source:","http://www.lib.berkeley.edu/MRC/transportation.html"
"

Transportation Studies

"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EnvidesignVid.html"">Environmental DesignЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EnvironmentVid.html"">The Environment & Natural ResourcesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/tv.html#commer"">Television: CommercialsЖ (for car commercials/advertising)","Transportation Studies"
"Bigger, Better, Faster","Focuses on the inventors, entrepreneurs, and industrial scientists whose work fueled the 20th century's technological revolution. Topics include aviation and automobiles, mass media and the computer, and the invention of synthetic materials like nylon and synthetic rubber, and the development of the computer from the early years to the Space Program. 1998. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6001"">Video/C 6001Ж","Transportation Studies"
"Boulevards: Good Streets For Good Cities.","Examines the social and practical benefits of well designed boulevards in the inner city. [199-?]. 21 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4394"">Video/C 4394Ж","Transportation Studies"
"British Transport Films Collection","â€¢149;On and Off the Rails","In 1948, the British Transportation Commission set up its own in-house film production unit led for 25 years by Edgar Anstey -- a founding father of the British documentary movement. it became one of the largest industrial film units in Britain. In this selection of films the documentary aficionado will recognise the development of traits and innovations in British non-fiction filmmaking. Disc 1: Blue Pullman (1960, 25 min.) / director, Nick Nicholls -- Elizabethan Express / Tony Thompson (1954, 20 min.) -- Train time / John Shearman (1952, 28 min.) -- Rail 150 / Ronald Craigen (1975, 14 min.) -- The diesel train driver / (1959, 7 min.) -- On track for the eighties / John Legard (1980, 15 min.) -- Cybernetica / Peter Sims (1972, 20 min.) -- Disc 2: Under the river / R.K. Neilson Baxter (1959, 27 min.) -- Snowdrift at Bleath Gill / Kenneth Fairbairn (1955, 10 min.) -- This year: London / John Krish, Jack Holmes (1951, 25 min.) -- This is York / J. B. Holmes (1953, 20 min.) -- The great highway / R, K. Nelson Baxter (1966, 20 min.) -- A Day of One's Own / Kenneth Fairbairn (1956, 20 min.) -- John Betjeman goes by train / Malcolm Freegard (1962, 10 min.). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6211"">DVD 6211Ж","â€¢149;See Britain by Train","In 1948, the British Transportation Commission set up its own in-house film production unit led for 25 years by Edgar Anstey -- a founding father of the British documentary movement. it became one of the largest industrial film units in Britain. In this selection of films the documentary aficionado will recognise the development of traits and innovations in British non-fiction filmmaking. Disc 1: West Country journey / director, Syd Sharples (1953, 26 min.) -- A letter for Wales / Tony Thompson (1960, 25 min.) -- Cyclists special (1955, 16 min.) -- Holiday / John Taylor (1957, 18 min.) -- The heart is Highland / John Taylor (1952, 20 min.) -- Any man's kingdom / Tony Thompson (1956, 20 min.) -- Disc 2: Glasgow belongs to me / Edward McConnell (1966, 17 min.) -- The England of Elizabeth / John Taylor (1957, 27 min.) -- Capital visit / Syd Sharples (1955, 20 min.) -- The heart of England / Michael Clarke (1954, 20 min.) -- East Anglian holiday / Michael Clarke (1954, 20 min.) -- The coasts of Clyde / James Ritchie (1959, 20 min.). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6212"">DVD 6212Ж","â€¢149;Running a Railway","In 1948, the British Transportation Commission set up its own in-house film production unit led for 25 years by Edgar Anstey -- a founding father of the British documentary movement. it became one of the largest industrial film units in Britain. In this selection of films the documentary aficionado will recognise the development of traits and innovations in British non-fiction filmmaking. Disc 1: Operation London Bridge / directors, Norman Prouting, David C. Lochner (1975, 18 min.) -- Wires over the border / David C. Lochner (1974, 18 min.) -- Groundwork for progress / Bill Mason (1959- 30 min.) -- Making tracks / Tony Thompson (1956, 17 min.) -- E for Experiment / Donald Washbourne (1975, 20 min.) -- Modelling for the future (1962, 8 min.) -- Britannia: a bridge / David C. Lochner (1973, 19 min.) -- Disc 2: Terminus / John Schlesinger (1961, 20 min.) -- Fully fitted freight / Ralph Keene (1957, 21 min.) -- Farmer moving South (a Winter journey) / John Taylor (1952, 17 min.) -- I am a litter basket / James Ritchie (1959, 7 min.) -- The Third Sam / Kenneth Fairbairn (1962, 10 min.) -- People like us (1962, 9 min.) -- Future on rail / Edgar Anstey (1957, 10 min.) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6213"">DVD 6213Ж","Transportation Studies"
"Buses And Vans.","A tour of various ""hippie"" vans parked by the panhandle in Golden Gate Park, San Francisco, California. Student architecture project recorded in 1971. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2301"">Video/C 2301Ж","Transportation Studies"
"Chevrolet Sales Promotion Films.","Twelve commercials produced between 1948 and 1952 promoting the Chevrolet automobile. Includes historical footage of automobile racing and information on the evolving design and construction of the Chevrolet automobile. Contents: Last word (10 min.), Inside story (11 min.), You're ahead, Mr. X (with Jeffrey Lynn, 12 min.), Hall of wonders (with Dave Garroway, 12 min.), Making of a commercial (with Dinah Shore, 12 min.), Boxes and balls (10 min.), Proof of the pluses (12 min.), Big winner (10 min.) , What's new (with Pat Boone, 8 min.), Safety built in (9 min.), Millions of masterpieces (10 min.), Rainbow is yours (6 min.) 198?. 122 min. total running time 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3809"">Video/C 3809Ж","Transportation Studies"
"The City","Shows the growth and development of London, and how the Post Office helped ease congestion with its own underground railway. Producer, Alberto Cavalcanti; director, Ralph Elton. 1939. 19 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6061"">DVD 6061Ж","Transportation Studies"
"The City Of The Future.","Explores various attempts to develop a new vision of the city which will find alternative means of transportation and new life-styles to replace our current dependency on automobiles. Examines mixed-use projects in which housing, shops, and employment are clustered together, and plans for integrating green areas and pedestrian and bicycle thoroughfares into city plans. Part of the Understanding cities series. 1983. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2594"">Video/C 2594Ж","Transportation Studies"
"Crossroads: A Story Of West Oakland.","A collage of drawings, photographs, historical footage, interviews and location shooting, this documentary reconstructs the transformation of West Oakland from a pasture land to a port of entry for African Americans from the South. While job opportunities caused mass migration of ethnic groups to the area around the Second World War, the film also shows the population decline in West Oakland after the building of the Cypress Freeway and, later, BART. Southern Pacific Railroad's contribution to the development of the area is highlighted. 1996. 29 min.  [preservation copy]; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4327"">DVD 4327Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4276"">Video/C 4276Ж","Transportation Studies"
"Ecological Design: Inventing The Future.","Beginning in the 1920's with the work of R. Buckminster Fuller, moving through the 1960's and the Counter Culture and ending on the doorstep of the 21st century, the film follows the evolution of ecological design from the visions of a few independent thinkers to the powerful movement it is now becoming. Each designer explores their design process including such artifacts as solar architecture, arcologies, bioshelters, living machines, pillow domes, engineered biospheres, solar aquatics, city farming, domed cities, gossamer vehicles, solar transport, electric vehicles, soft energy systems, solar communities and ecological cities. 1994. 64 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4549"">Video/C 4549Ж","Transportation Studies"
"The Educational Archives, 3: Drivers Ed.","A collection of driver's safety films, ranging in date from the late 1940s to the early 1980s. As state governments required drivers be licensed and educational programs provided to students, films were used to teach the basics and laws of driving. This is a presentation of films shown in driver's education classes all over the United States. Contents: Tomorrow's drivers / Jimmy Stewart, narrator -- Joy ride -- Alco beat -- The bottle & the throttle -- The talking car -- The last prom -- Safety belt for Susie -- I like bikes, but ... -- Highball highway -- The crossroads crash. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1740"">DVD 1740Ж","Transportation Studies"
"The End of Suburbia: Oil Depletion and the Collapse of the American Dream","Through interviews with scientists and policy makers this documentary explores the premise that American suburbs, built on the easy availability of fossil fuels, may become untenable. As oil reserves are exhausted and energy prices skyrocket in the coming years, how will the populations of suburbia react to the collapse of their dream? Are today's suburbs destined to become the slums of tomorrow? 2004. 78 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3193"">DVD 3193Ж","Transportation Studies"
"Ephemeral Films.Ж","

Related web sites:
â€¢149;Ѭ href=""http://www.archive.org/movies/"">Internet Moving Images Archive (Prelinger Archive)Ж

","â€¢149;To New Horizons: Ephemeral Films, 1931-1945. Clips from 19 rarely-seen motion pictures, leftovers from the golden age of American industry.  [preservation copy]; 
Contents: In my merry Oldsmobile (1931) -- Master hands (1936) -- We drivers (1936) -- Chevrolet leader news (1936) -- Relax (1937) -- Precisely so (1937) -- Extra (1938) -- Breakfast pals (1938) -- Three smart daughters (1938) -- Oxydol goes into high (1938) -- 'Round and 'round (1939) -- Back of the mike (1939) -- Leave it to Roll-oh (1940) -- Home movies (1940) -- To new horizons (1940) -- Let yourself go (1940) -- Magic in the air (1941) -- To market, to market (1942) -- News sketches by Max Fleischer (1944/45).","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7462"">DVD 7462Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FD+20"">Video/D 20Ж","â€¢149;You Can't Get There From Here: Ephemeral Films, 1946-1960. Clips from 19 rarely-seen motion pictures, leftovers from the golden age of American consumerism. 
Contents: A report to home builders (1946) -- Shy guy (1947) -- Are you popular? (1947) -- Technicolor for industrial films (1949) -- Meet King Joe (1949) -- Dating: do's and dont's (1949) -- The last date (1950) -- A date with your family (1950) -- Treasures for the making (1951) -- What to do on a date (1951) -- A young man's fancy (1952) -- Ike for president (1952) -- Mother takes a holiday (1952)-- Sniffles and sneezes (1955) -- Two-Ford freedom (1956) -- Design for dreaming (1956) -- The relaxed wife (1957) -- American look (1958) -- A wonderful new world of Fords (1960).","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FD+21"">Video/D 21Ж","Transportation Studies"
"Fat of the Land.","This video shows how internal-combustion vehicles can be converted to run on vegetable oil or on grease. Covers the 2,300 mile cross-county demonstration run by five women in their ""lard car"", a van powered by vegetable oil or grease (mainly grease) and the problems and difficulties encountered in obtaining vegetable oil or grease for fueling this van, and in promoting vehicles powered by vegetable oil or grease in general. Includes interviews with scientists in Colorado who are doing extensive research with vegetable oil as a replacement fuel. 1995. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4648"">Video/C 4648Ж","Transportation Studies"
"Ghosts Along The Freeway.","In the 1950's new freeways gave Americans increased mobility but also became instruments of destruction. This film examines the effects the coming of the ""super highways"" had on two established neighborhoods in the Minneapolis-St. Paul Area. Rondo Avenue was the heart of St. Paul's African-American community, and Lowry Hill once boasted many of Minneapolis' most lavish homes. When the freeway tore through these two communities, the character of these neighborhoods was changed forever. 1991. 10 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4550"">Video/C 4550Ж","Transportation Studies"
"The Grandest Enterprise Under God (The West)","After the Civil War Americans embarked on one of the greatest technological achievements of the age--building the first transcontinental railroad to conquer forbidding mountains, harsh deserts and awesome distances. Railroads soon transformed the West, bringing European farmers, while cowpokes such as Teddy Blue Abbott would ride dusty cattle trails to deliver herds to railheads such as Dodge and Abilene, while buffalo hunters such as Frank Mayer would drive a magnificent animal to near extinction. 1996. 86 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4523"">Video/C 4523Ж","Transportation Studies"
"The Great Air Race of 1924 (American Experience)","Recounts the attempt of four biplanes of the U. S. Army Air Corps to complete the first round-the-world flight. After 175 days two of the planes returned. 1989. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1542"">Video/C 1542Ж","Transportation Studies"
"Great Disasters (ITN/Reuters Stock Footage Library","Newsreel footage of natural and manmade disasters of the 20th century. Includes footage of the 1937 Hindenburg disaster, the 1940 Tacoma Narrows Bridge collapse, the aftermath of Pan Am Flight 103's explosion over Lockerbie and the 1998 high-speed train crash at Eschede. Clips of natural disasters include flooding in New England, hurricanes in Florida, avalanches in France and Austria, earthquakes in Turkey, Taiwan and Mexico City and volcanic eruptions in Hawaii, New Zealand, Montserrat, Guatemala and Nicaragua. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7734"">Video/C 7734Ж","Transportation Studies"
"The Growth of Towns and Cities","This program examines how industrialization in Great Britain led to urbanization, which led to higher rents and overcrowding, which in turn led to governmental controls. It also shows how railways and improved transportation opened up cities, and led to the growth of suburbs. 1992. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8386"">Video/C 8386Ж","Transportation Studies"
"The Heartbeat of America.","Examines how General Motors Corporation went from being the undisputed number one car company in America to suffering the biggest corporate loss on record. Drawing on interviews with current and former GM board members, executives, designers, workers and automotive analysts, the GM saga is revealed. 1993. 96 min. 

Full-text review from:


Ѭ href=""http://www.lib.berkeley.edu/MRC/HeartBeatofAmerica.html"">ABC-CLIO Video Rating Guide for LibrariesЖ



","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3070"">Video/C 3070Ж","Transportation Studies"
"Hell's Highway: The True Story of Highway Safety Films","A look at the graphic, sometimes violent and gruesome driver's education films that were produced between 1959 and 1979 by a small group in Mansfield, Ohio. The films promoted safety by showing color footage of the consequences of reckless driving. Special features: Three complete driver's ed shorts, excerpts from fifteen shocking classroom films, deleted scenes (14 min.), two theatrical trainers, picture gallery. 91 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2210"">DVD 2210Ж","Transportation Studies"
"Humain, trop humain (Human, too Human)","A meditative investigation of the inner workings of an auto assembly plant showing how steel sheeting becomes an automobile. Includes visits with the plant workers. Directed by Louis Malle. 1973. 72 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7511"">DVD 7511Ж","Transportation Studies"
